Date,HRI,HRO,DB,SHI,SHO
1/1/78,,,,,
1/2/78,,,,,
1/3/78,,,,,
1/4/78,,,,,
1/5/78,,,,,
1/6/78,,,,,
1/7/78,,,,,
1/8/78,,,,,
1/9/78,,,,,
1/10/78,,,,,
1/11/78,,,,,
1/12/78,,,,,
1/13/78,,,,,
1/14/78,,,,,
1/15/78,,,,,
1/16/78,,,,,
1/17/78,,,,,
1/18/78,,,,,
1/19/78,,,,,
1/20/78,,,,,
1/21/78,,,,,
1/22/78,,,,,
1/23/78,,,,,
1/24/78,,,,,
1/25/78,,,,,
1/26/78,,,,,
1/27/78,,,,,
1/28/78,,,,,
1/29/78,,,,,
1/30/78,,,,,
1/31/78,,,,,
2/1/78,,,,,
2/2/78,,,,,
2/3/78,,,,,
2/4/78,,,,,
2/5/78,,,,,
2/6/78,,,,,
2/7/78,,,,,
2/8/78,,,,,
2/9/78,,,,,
2/10/78,,,,,
2/11/78,,,,,
2/12/78,,,,,
2/13/78,,,,,
2/14/78,,,,,
2/15/78,,,,,
2/16/78,,,,,
2/17/78,,,,,
2/18/78,,,,,
2/19/78,,,,,
2/20/78,,,,,
2/21/78,,,,,
2/22/78,,,,,
2/23/78,,,,,
2/24/78,,,,,
2/25/78,,,,,
2/26/78,,,,,
2/27/78,,,,,
2/28/78,,,,,
3/1/78,,,,,
3/2/78,,,,,
3/3/78,,,,,
3/4/78,,,,,
3/5/78,,,,,
3/6/78,,,,,
3/7/78,,,,,
3/8/78,,,,,
3/9/78,,,,,
3/10/78,,,,,
3/11/78,,,,,
3/12/78,,,,,
3/13/78,,,,,
3/14/78,,,,,
3/15/78,,,,,
3/16/78,,,,,
3/17/78,,,,,
3/18/78,,,,,
3/19/78,,,,,
3/20/78,,,,,
3/21/78,,,,,
3/22/78,,,,,
3/23/78,,,,,
3/24/78,,,,,
3/25/78,,,,,
3/26/78,,,,,
3/27/78,,,,,
3/28/78,,,,,
3/29/78,,,,,
3/30/78,,,,,
3/31/78,,,,,
4/1/78,,,,,
4/2/78,,,,,
4/3/78,,,,,
4/4/78,,,,,
4/5/78,,,,,
4/6/78,,,,,
4/7/78,,,,,
4/8/78,,,,,
4/9/78,,,,,
4/10/78,,,,,
4/11/78,,,,,
4/12/78,,,,,
4/13/78,,,,,
4/14/78,,,,,
4/15/78,,,,,
4/16/78,,,,,
4/17/78,,,,,
4/18/78,,,,,
4/19/78,,,,,
4/20/78,,,,,
4/21/78,,,,,
4/22/78,,,,,
4/23/78,,,,,
4/24/78,,,,,
4/25/78,,,,,
4/26/78,,,,,
4/27/78,,,,,
4/28/78,,,,,
4/29/78,,,,,
4/30/78,,,,,
5/1/78,,,,,
5/2/78,,,,,
5/3/78,,,,,
5/4/78,,,,,
5/5/78,,,,,
5/6/78,,,,,
5/7/78,,,,,
5/8/78,,,,,
5/9/78,,,,,
5/10/78,,,,,
5/11/78,,,,,
5/12/78,,,,,
5/13/78,,,,,
5/14/78,,,,,
5/15/78,,,,,
5/16/78,,,,,
5/17/78,,,,,
5/18/78,,,,,
5/19/78,,,,,
5/20/78,,,,,
5/21/78,,,,,
5/22/78,,,,,
5/23/78,,,,,
5/24/78,,,,,
5/25/78,,,,,
5/26/78,,,,,
5/27/78,,,,,
5/28/78,,,,,
5/29/78,,,,,
5/30/78,,,,,
5/31/78,,,,,
6/1/78,,,,,
6/2/78,,,,,
6/3/78,,,,,
6/4/78,,,,,
6/5/78,,,,,
6/6/78,,,,,
6/7/78,,,,,
6/8/78,,,,,
6/9/78,,,,,
6/10/78,,,,,
6/11/78,,,,,
6/12/78,,,,,
6/13/78,,,,,
6/14/78,,,,,
6/15/78,,,,,
6/16/78,,,,,
6/17/78,,,,,
6/18/78,,,,,
6/19/78,,,,,
6/20/78,,,,,
6/21/78,,,,,
6/22/78,,,,,
6/23/78,,,,,
6/24/78,,,,,
6/25/78,,,,,
6/26/78,,,,,
6/27/78,,,,,
6/28/78,,,,,
6/29/78,,,,,
6/30/78,,,,,
7/1/78,,,,,
7/2/78,,,,,
7/3/78,,,,,
7/4/78,,,,,
7/5/78,,,,,
7/6/78,,,,,
7/7/78,,,,,
7/8/78,,,,,
7/9/78,,,,,
7/10/78,,,,,
7/11/78,,,,,
7/12/78,,,,,
7/13/78,,,,,
7/14/78,,,,,
7/15/78,,,,,
7/16/78,,,,,
7/17/78,,,,,
7/18/78,,,,,
7/19/78,,,,,
7/20/78,,,,,
7/21/78,,,,,
7/22/78,,,,,
7/23/78,,,,,
7/24/78,,,,,
7/25/78,,,,,
7/26/78,,,,,
7/27/78,,,,,
7/28/78,,,,,
7/29/78,,,,,
7/30/78,,,,,
7/31/78,,,,,
8/1/78,,,,,
8/2/78,,,,,
8/3/78,,,,,
8/4/78,,,,,
8/5/78,,,,,
8/6/78,,,,,
8/7/78,,,,,
8/8/78,,,,,
8/9/78,,,,,
8/10/78,,,,,
8/11/78,,,,,
8/12/78,,,,,
8/13/78,,,,,
8/14/78,,,,,
8/15/78,,,,,
8/16/78,,,,,
8/17/78,,,,,
8/18/78,,,,,
8/19/78,,,,,
8/20/78,,,,,
8/21/78,,,,,
8/22/78,,,,,
8/23/78,,,,,
8/24/78,,,,,
8/25/78,,,,,
8/26/78,,,,,
8/27/78,,,,,
8/28/78,,,,,
8/29/78,,,,,
8/30/78,,,,,
8/31/78,,,,,
9/1/78,,,,,
9/2/78,,,,,
9/3/78,,,,,
9/4/78,,,,,
9/5/78,,,,,
9/6/78,,,,,
9/7/78,,,,,
9/8/78,,,,,
9/9/78,,,,,
9/10/78,,,,,
9/11/78,,,,,
9/12/78,,,,,
9/13/78,,,,,
9/14/78,,,,,
9/15/78,,,,,
9/16/78,,,,,
9/17/78,,,,,
9/18/78,,,,,
9/19/78,,,,,
9/20/78,,,,,
9/21/78,,,,,
9/22/78,,,,,
9/23/78,,,,,
9/24/78,,,,,
9/25/78,,,,,
9/26/78,,,,,
9/27/78,,,,,
9/28/78,,,,,
9/29/78,,,,,
9/30/78,,,,,
10/1/78,,,,,
10/2/78,,,,,
10/3/78,,,,,
10/4/78,,,,,
10/5/78,,,,,
10/6/78,,,,,
10/7/78,,,,,
10/8/78,,,,,
10/9/78,,,,,
10/10/78,,,,,
10/11/78,,,,,
10/12/78,,,,,
10/13/78,,,,,
10/14/78,,,,,
10/15/78,,,,,
10/16/78,,,,,
10/17/78,,,,,
10/18/78,,,,,
10/19/78,,,,,
10/20/78,,,,,
10/21/78,,,,,
10/22/78,,,,,
10/23/78,,,,,
10/24/78,,,,,
10/25/78,,,,,
10/26/78,,,,,
10/27/78,,,,,
10/28/78,,,,,
10/29/78,,,,,
10/30/78,,,,,
10/31/78,,,,,
11/1/78,,,,,
11/2/78,,,,,
11/3/78,,,,,
11/4/78,,,,,
11/5/78,,,,,
11/6/78,,,,,
11/7/78,,,,,
11/8/78,,,,,
11/9/78,,,,,
11/10/78,,,,,
11/11/78,,,,,
11/12/78,,,,,
11/13/78,,,,,
11/14/78,,,,,
11/15/78,,,,,
11/16/78,,,,,
11/17/78,,,,,
11/18/78,,,,,
11/19/78,,,,,
11/20/78,,,,,
11/21/78,,,,,
11/22/78,,,,,
11/23/78,,,,,
11/24/78,,,,,
11/25/78,,,,,
11/26/78,,,,,
11/27/78,,,,,
11/28/78,,,,,
11/29/78,,,,,
11/30/78,,,,,
12/1/78,,,,,
12/2/78,,,,,
12/3/78,,,,,
12/4/78,,,,,
12/5/78,,,,,
12/6/78,,,,,
12/7/78,,,,,
12/8/78,,,,,
12/9/78,,,,,
12/10/78,,,,,
12/11/78,,,,,
12/12/78,,,,,
12/13/78,,,,,
12/14/78,,,,,
12/15/78,,,,,
12/16/78,,,,,
12/17/78,,,,,
12/18/78,,,,,
12/19/78,,,,,
12/20/78,,,,,
12/21/78,,,,,
12/22/78,,,,,
12/23/78,,,,,
12/24/78,,,,,
12/25/78,,,,,
12/26/78,,,,,
12/27/78,,,,,
12/28/78,,,,,
12/29/78,,,,,
12/30/78,,,,,
12/31/78,,,,,
1/1/79,,,,,
1/2/79,,,,,
1/3/79,,,,,
1/4/79,,,,,
1/5/79,,,,,
1/6/79,,,,,
1/7/79,,,,,
1/8/79,,,,,
1/9/79,,,,,
1/10/79,,,,,
1/11/79,,,,,
1/12/79,,,,,
1/13/79,,,,,
1/14/79,,,,,
1/15/79,,,,,
1/16/79,,,,,
1/17/79,,,,,
1/18/79,,,,,
1/19/79,,,,,
1/20/79,,,,,
1/21/79,,,,,
1/22/79,,,,,
1/23/79,,,,,
1/24/79,,,,,
1/25/79,,,,,
1/26/79,,,,,
1/27/79,,,,,
1/28/79,,,,,
1/29/79,,,,,
1/30/79,,,,,
1/31/79,,,,,
2/1/79,,,,,
2/2/79,,,,,
2/3/79,,,,,
2/4/79,,,,,
2/5/79,,,,,
2/6/79,,,,,
2/7/79,,,,,
2/8/79,,,,,
2/9/79,,,,,
2/10/79,,,,,
2/11/79,,,,,
2/12/79,,,,,
2/13/79,,,,,
2/14/79,,,,,
2/15/79,,,,,
2/16/79,,,,,
2/17/79,,,,,
2/18/79,,,,,
2/19/79,,,,,
2/20/79,,,,,
2/21/79,,,,,
2/22/79,,,,,
2/23/79,,,,,
2/24/79,,,,,
2/25/79,,,,,
2/26/79,,,,,
2/27/79,,,,,
2/28/79,,,,,
3/1/79,,,,,
3/2/79,,,,,
3/3/79,,,,,
3/4/79,,,,,
3/5/79,,,,,
3/6/79,,,,,
3/7/79,,,,,
3/8/79,,,,,
3/9/79,,,,,
3/10/79,,,,,
3/11/79,,,,,
3/12/79,,,,,
3/13/79,,,,,
3/14/79,,,,,
3/15/79,,,,,
3/16/79,,,,,
3/17/79,,,,,
3/18/79,,,,,
3/19/79,,,,,
3/20/79,,,,,
3/21/79,,,,,
3/22/79,,,,,
3/23/79,,,,,
3/24/79,,,,,
3/25/79,,,,,
3/26/79,,,,,
3/27/79,,,,,
3/28/79,,,,,
3/29/79,,,,,
3/30/79,,,,,
3/31/79,,,,,
4/1/79,,,,,
4/2/79,,,,,
4/3/79,,,,,
4/4/79,,,,,
4/5/79,,,,,
4/6/79,,,,,
4/7/79,,,,,
4/8/79,,,,,
4/9/79,,,,,
4/10/79,,,,,
4/11/79,,,,,
4/12/79,,,,,
4/13/79,,,,,
4/14/79,,,,,
4/15/79,,,,,
4/16/79,,,,,
4/17/79,,,,,
4/18/79,,,,,
4/19/79,,,,,
4/20/79,,,,,
4/21/79,,,,,
4/22/79,,,,,
4/23/79,,,,,
4/24/79,,,,,
4/25/79,,,,,
4/26/79,,,,,
4/27/79,,,,,
4/28/79,,,,,
4/29/79,,,,,
4/30/79,,,,,
5/1/79,,,,,
5/2/79,,,,,
5/3/79,,,,,
5/4/79,,,,,
5/5/79,,,,,
5/6/79,,,,,
5/7/79,,,,,
5/8/79,,,,,
5/9/79,,,,,
5/10/79,,,,,
5/11/79,,,,,
5/12/79,,,,,
5/13/79,,,,,
5/14/79,,,,,
5/15/79,,,,,
5/16/79,,,,,
5/17/79,,,,,
5/18/79,,,,,
5/19/79,,,,,
5/20/79,,,,,
5/21/79,,,,,
5/22/79,,,,,
5/23/79,,,,,
5/24/79,,,,,
5/25/79,,,,,
5/26/79,,,,,
5/27/79,,,,,
5/28/79,,,,,
5/29/79,,,,,
5/30/79,,,,,
5/31/79,,,,,
6/1/79,,,,,
6/2/79,,,,,
6/3/79,,,,,
6/4/79,,,,,
6/5/79,,,,,
6/6/79,,,,,
6/7/79,,,,,
6/8/79,,,,,
6/9/79,,,,,
6/10/79,,,,,
6/11/79,,,,,
6/12/79,,,,,
6/13/79,,,,,
6/14/79,,,,,
6/15/79,,,,,
6/16/79,,,,,
6/17/79,,,,,
6/18/79,,,,,
6/19/79,,,,,
6/20/79,,,,,
6/21/79,,,,,
6/22/79,,,,,
6/23/79,,,,,
6/24/79,,,,,
6/25/79,,,,,
6/26/79,,,,,
6/27/79,,,,,
6/28/79,,,,,
6/29/79,,,,,
6/30/79,,,,,
7/1/79,,,,,
7/2/79,,,,,
7/3/79,,,,,
7/4/79,,,,,
7/5/79,,,,,
7/6/79,,,,,
7/7/79,,,,,
7/8/79,,,,,
7/9/79,,,,,
7/10/79,,,,,
7/11/79,,,,,
7/12/79,,,,,
7/13/79,,,,,
7/14/79,,,,,
7/15/79,,,,,
7/16/79,,,,,
7/17/79,,,,,
7/18/79,,,,,
7/19/79,,,,,
7/20/79,,,,,
7/21/79,,,,,
7/22/79,,,,,
7/23/79,,,,,
7/24/79,,,,,
7/25/79,,,,,
7/26/79,,,,,
7/27/79,,,,,
7/28/79,,,,,
7/29/79,,,,,
7/30/79,,,,,
7/31/79,,,,,
8/1/79,,,,,
8/2/79,,,,,
8/3/79,,,,,
8/4/79,,,,,
8/5/79,,,,,
8/6/79,,,,,
8/7/79,,,,,
8/8/79,,,,,
8/9/79,,,,,
8/10/79,,,,,
8/11/79,,,,,
8/12/79,,,,,
8/13/79,,,,,
8/14/79,,,,,
8/15/79,,,,,
8/16/79,,,,,
8/17/79,,,,,
8/18/79,,,,,
8/19/79,,,,,
8/20/79,,,,,
8/21/79,,,,,
8/22/79,,,,,
8/23/79,,,,,
8/24/79,,,,,
8/25/79,,,,,
8/26/79,,,,,
8/27/79,,,,,
8/28/79,,,,,
8/29/79,,,,,
8/30/79,,,,,
8/31/79,,,,,
9/1/79,,,,,
9/2/79,,,,,
9/3/79,,,,,
9/4/79,,,,,
9/5/79,,,,,
9/6/79,,,,,
9/7/79,,,,,
9/8/79,,,,,
9/9/79,,,,,
9/10/79,,,,,
9/11/79,,,,,
9/12/79,,,,,
9/13/79,,,,,
9/14/79,,,,,
9/15/79,,,,,
9/16/79,,,,,
9/17/79,,,,,
9/18/79,,,,,
9/19/79,,,,,
9/20/79,,,,,
9/21/79,,,,,
9/22/79,,,,,
9/23/79,,,,,
9/24/79,,,,,
9/25/79,,,,,
9/26/79,,,,,
9/27/79,,,,,
9/28/79,,,,,
9/29/79,,,,,
9/30/79,,,,,
10/1/79,,,,,
10/2/79,,,,,
10/3/79,,,,,
10/4/79,,,,,
10/5/79,,,,,
10/6/79,,,,,
10/7/79,,,,,
10/8/79,,,,,
10/9/79,,,,,
10/10/79,,,,,
10/11/79,,,,,
10/12/79,,,,,
10/13/79,,,,,
10/14/79,,,,,
10/15/79,,,,,
10/16/79,,,,,
10/17/79,,,,,
10/18/79,,,,,
10/19/79,,,,,
10/20/79,,,,,
10/21/79,,,,,
10/22/79,,,,,
10/23/79,,,,,
10/24/79,,,,,
10/25/79,,,,,
10/26/79,,,,,
10/27/79,,,,,
10/28/79,,,,,
10/29/79,,,,,
10/30/79,,,,,
10/31/79,,,,,
11/1/79,,,,,
11/2/79,,,,,
11/3/79,,,,,
11/4/79,,,,,
11/5/79,,,,,
11/6/79,,,,,
11/7/79,,,,,
