month,year,DB_max,SHI_max,HRI_max
6,1978,13,14,
7,1978,15,17,16
8,1978,19,17,16
9,1978,21,,
10,1978,14,11,
11,1978,14,11,
12,1978,,,
1,1979,,,
2,1979,,,
3,1979,6,,
4,1979,6,,
5,1979,13,9,14
6,1979,,15,14
7,1979,,14,13
8,1979,19,22,16
9,1979,15,14,15
10,1979,12,14,11
11,1979,9,,7
12,1979,8,4,7
1,1980,8,3,
2,1980,,3,5
3,1980,,2,
4,1980,,8,
5,1980,11,,
6,1980,15,15,
7,1980,18,19,
8,1980,16,19,13
9,1980,16,12,
10,1980,14,12,
11,1980,,9,
12,1980,9,6,
1,1981,9,1,
2,1981,3,2,2
3,1981,4,4,4
4,1981,7,8,4
5,1981,11,11,
6,1981,14,14,
7,1981,18,20,
8,1981,21,20,
9,1981,19,19,
10,1981,17,18,
11,1981,11,12,11
12,1981,6,8,
1,1982,3,6,5
2,1982,3,,
3,1982,3,4,5
4,1982,4,5,5
5,1982,11,11,9
6,1982,16,16,16
7,1982,16,16,
8,1982,21,19,19
9,1982,21,21,19
10,1982,16,16,15
11,1982,12,13,
12,1982,12,13,9
1,1983,5,6,
2,1983,,,
3,1983,,8,8
4,1983,,8,
5,1983,,11,12
6,1983,,13,12
7,1983,,,
8,1983,,,15
9,1983,,,
10,1983,,,
11,1983,,,
12,1983,,6,
1,1984,,,
2,1984,,,6
3,1984,7,,
4,1984,7,,
5,1984,10,9,
6,1984,,,11
7,1984,,15,11
8,1984,21,22,22
9,1984,,22,22
10,1984,22,,12
11,1984,,,8
12,1984,8,14,10
1,1985,2,,
2,1985,4,,8
3,1985,,,8
4,1985,9,9,
5,1985,,,15
6,1985,13,,
7,1985,13,15,15
8,1985,20,,15
9,1985,20,,
10,1985,15,,20
11,1985,,,
12,1985,6,,
