"Plot Title: 11009081 Breck Halfway Rock Deep Spare"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 11009081, SEN S/N: 11009081)","Coupler Detached (LGR S/N: 11009081)","Coupler Attached (LGR S/N: 11009081)","Host Connected (LGR S/N: 11009081)","Stopped (LGR S/N: 11009081)","End Of File (LGR S/N: 11009081)"
1,07/08/18 12:00:00 PM,27.284,Logged,,,,
2,07/08/18 12:30:00 PM,14.840,,,,,
3,07/08/18 01:00:00 PM,7.970,,,,,
4,07/08/18 01:30:00 PM,7.870,,,,,
5,07/08/18 02:00:00 PM,7.720,,,,,
6,07/08/18 02:30:00 PM,7.745,,,,,
7,07/08/18 03:00:00 PM,7.720,,,,,
8,07/08/18 03:30:00 PM,7.619,,,,,
9,07/08/18 04:00:00 PM,7.569,,,,,
10,07/08/18 04:30:00 PM,7.519,,,,,
11,07/08/18 05:00:00 PM,7.544,,,,,
12,07/08/18 05:30:00 PM,7.519,,,,,
13,07/08/18 06:00:00 PM,7.519,,,,,
14,07/08/18 06:30:00 PM,7.494,,,,,
15,07/08/18 07:00:00 PM,7.469,,,,,
16,07/08/18 07:30:00 PM,7.619,,,,,
17,07/08/18 08:00:00 PM,7.745,,,,,
18,07/08/18 08:30:00 PM,7.670,,,,,
19,07/08/18 09:00:00 PM,8.195,,,,,
20,07/08/18 09:30:00 PM,7.920,,,,,
21,07/08/18 10:00:00 PM,7.845,,,,,
22,07/08/18 10:30:00 PM,7.770,,,,,
23,07/08/18 11:00:00 PM,7.795,,,,,
24,07/08/18 11:30:00 PM,8.020,,,,,
25,07/09/18 12:00:00 AM,8.020,,,,,
26,07/09/18 12:30:00 AM,7.820,,,,,
27,07/09/18 01:00:00 AM,7.820,,,,,
28,07/09/18 01:30:00 AM,7.745,,,,,
29,07/09/18 02:00:00 AM,7.670,,,,,
30,07/09/18 02:30:00 AM,7.519,,,,,
31,07/09/18 03:00:00 AM,7.745,,,,,
32,07/09/18 03:30:00 AM,7.945,,,,,
33,07/09/18 04:00:00 AM,7.745,,,,,
34,07/09/18 04:30:00 AM,7.695,,,,,
35,07/09/18 05:00:00 AM,7.594,,,,,
36,07/09/18 05:30:00 AM,7.444,,,,,
37,07/09/18 06:00:00 AM,7.494,,,,,
38,07/09/18 06:30:00 AM,7.494,,,,,
39,07/09/18 07:00:00 AM,7.695,,,,,
40,07/09/18 07:30:00 AM,7.544,,,,,
41,07/09/18 08:00:00 AM,7.494,,,,,
