"Plot Title: 11018752 Breck Halfway Rock Shallow"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 11018752, SEN S/N: 11018752)","Bad Battery (LGR S/N: 11018752)","Coupler Attached (LGR S/N: 11018752)","Coupler Detached (LGR S/N: 11018752)","Host Connected (LGR S/N: 11018752)","Stopped (LGR S/N: 11018752)","End Of File (LGR S/N: 11018752)"
1,07/08/18 12:00:00 PM,28.655,,,,,,
2,07/08/18 12:30:00 PM,15.282,,,,,,
3,07/08/18 01:00:00 PM,12.883,,,,,,
4,07/08/18 01:30:00 PM,12.690,,,,,,
5,07/08/18 02:00:00 PM,13.076,,,,,,
6,07/08/18 02:30:00 PM,12.980,,,,,,
7,07/08/18 03:00:00 PM,12.787,,,,,,
8,07/08/18 03:30:00 PM,12.304,,,,,,
9,07/08/18 04:00:00 PM,12.013,,,,,,
10,07/08/18 04:30:00 PM,11.819,,,,,,
11,07/08/18 05:00:00 PM,11.334,,,,,,
12,07/08/18 05:30:00 PM,11.041,,,,,,
13,07/08/18 06:00:00 PM,11.041,,,,,,
14,07/08/18 06:30:00 PM,11.236,,,,,,
15,07/08/18 07:00:00 PM,11.041,,,,,,
16,07/08/18 07:30:00 PM,10.846,,,,,,
17,07/08/18 08:00:00 PM,11.139,,,,,,
18,07/08/18 08:30:00 PM,11.722,,,,,,
19,07/08/18 09:00:00 PM,14.134,,,,,,
20,07/08/18 09:30:00 PM,14.421,,,,,,
21,07/08/18 10:00:00 PM,14.325,,,,,,
22,07/08/18 10:30:00 PM,15.569,,,,,,
23,07/08/18 11:00:00 PM,14.421,,,,,,
24,07/08/18 11:30:00 PM,13.461,,,,,,
25,07/09/18 12:00:00 AM,13.076,,,,,,
26,07/09/18 12:30:00 AM,12.787,,,,,,
27,07/09/18 01:00:00 AM,12.690,,,,,,
28,07/09/18 01:30:00 AM,12.497,,,,,,
29,07/09/18 02:00:00 AM,12.304,,,,,,
30,07/09/18 02:30:00 AM,12.401,,,,,,
31,07/09/18 03:00:00 AM,12.304,,,,,,
32,07/09/18 03:30:00 AM,11.722,,,,,,
33,07/09/18 04:00:00 AM,11.819,,,,,,
34,07/09/18 04:30:00 AM,11.625,,,,,,
35,07/09/18 05:00:00 AM,10.846,,,,,,
36,07/09/18 05:30:00 AM,10.553,,,,,,
37,07/09/18 06:00:00 AM,10.553,,,,,,
38,07/09/18 06:30:00 AM,11.431,,,,,,
39,07/09/18 07:00:00 AM,10.161,,,,,,
40,07/09/18 07:30:00 AM,10.161,,,,,,
41,07/09/18 08:00:00 AM,10.161,,,,,,
42,07/09/18 08:30:00 AM,11.334,,,,,,
43,07/09/18 09:00:00 AM,11.431,,,,,,
44,07/09/18 09:30:00 AM,11.528,,,,,,
45,07/09/18 10:00:00 AM,11.625,,,,,,
46,07/09/18 10:30:00 AM,11.819,,,,,,
47,07/09/18 11:00:00 AM,13.461,,,,,,
48,07/09/18 11:30:00 AM,13.365,,,,,,
49,07/09/18 12:00:00 PM,12.594,,,,,,
50,07/09/18 12:30:00 PM,12.980,,,,,,
51,07/09/18 01:00:00 PM,12.980,,,,,,
52,07/09/18 01:30:00 PM,13.365,,,,,,
53,07/09/18 02:00:00 PM,14.325,,,,,,
54,07/09/18 02:30:00 PM,12.594,,,,,,
55,07/09/18 03:00:00 PM,12.594,,,,,,
56,07/09/18 03:30:00 PM,12.207,,,,,,
57,07/09/18 04:00:00 PM,12.013,,,,,,
58,07/09/18 04:30:00 PM,12.110,,,,,,
59,07/09/18 05:00:00 PM,11.236,,,,,,
60,07/09/18 05:30:00 PM,10.944,,,,,,
61,07/09/18 06:00:00 PM,10.748,,,,,,
62,07/09/18 06:30:00 PM,9.866,,,,,,
63,07/09/18 07:00:00 PM,9.472,,,,,,
64,07/09/18 07:30:00 PM,9.373,,,,,,
65,07/09/18 08:00:00 PM,9.077,,,,,,
66,07/09/18 08:30:00 PM,8.879,,,,,,
67,07/09/18 09:00:00 PM,8.779,,,,,,
68,07/09/18 09:30:00 PM,9.669,,,,,,
69,07/09/18 10:00:00 PM,9.768,,,,,,
70,07/09/18 10:30:00 PM,10.357,,,,,,
71,07/09/18 11:00:00 PM,9.472,,,,,,
72,07/09/18 11:30:00 PM,9.669,,,,,,
73,07/10/18 12:00:00 AM,11.041,,,,,,
74,07/10/18 12:30:00 AM,12.883,,,,,,
75,07/10/18 01:00:00 AM,12.690,,,,,,
76,07/10/18 01:30:00 AM,12.787,,,,,,
77,07/10/18 02:00:00 AM,12.497,,,,,,
78,07/10/18 02:30:00 AM,12.013,,,,,,
