"Plot Title: 11018754 Breck Halfway Rock Mid"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 11018754, SEN S/N: 11018754)","Coupler Attached (LGR S/N: 11018754)","Coupler Detached (LGR S/N: 11018754)","Host Connected (LGR S/N: 11018754)","Stopped (LGR S/N: 11018754)","End Of File (LGR S/N: 11018754)"
1,07/08/18 12:00:00 PM,27.272,,,,,
2,07/08/18 12:30:00 PM,15.282,,,,,
3,07/08/18 01:00:00 PM,9.373,,,,,
4,07/08/18 01:30:00 PM,9.965,,,,,
5,07/08/18 02:00:00 PM,10.063,,,,,
6,07/08/18 02:30:00 PM,9.176,,,,,
7,07/08/18 03:00:00 PM,9.472,,,,,
8,07/08/18 03:30:00 PM,8.779,,,,,
9,07/08/18 04:00:00 PM,9.077,,,,,
10,07/08/18 04:30:00 PM,8.779,,,,,
11,07/08/18 05:00:00 PM,8.581,,,,,
12,07/08/18 05:30:00 PM,8.680,,,,,
13,07/08/18 06:00:00 PM,8.481,,,,,
14,07/08/18 06:30:00 PM,8.382,,,,,
15,07/08/18 07:00:00 PM,8.282,,,,,
16,07/08/18 07:30:00 PM,9.472,,,,,
17,07/08/18 08:00:00 PM,8.978,,,,,
18,07/08/18 08:30:00 PM,8.978,,,,,
19,07/08/18 09:00:00 PM,10.651,,,,,
20,07/08/18 09:30:00 PM,9.669,,,,,
21,07/08/18 10:00:00 PM,9.571,,,,,
22,07/08/18 10:30:00 PM,10.063,,,,,
23,07/08/18 11:00:00 PM,10.357,,,,,
24,07/08/18 11:30:00 PM,10.063,,,,,
25,07/09/18 12:00:00 AM,9.077,,,,,
26,07/09/18 12:30:00 AM,10.357,,,,,
27,07/09/18 01:00:00 AM,9.176,,,,,
28,07/09/18 01:30:00 AM,9.669,,,,,
29,07/09/18 02:00:00 AM,9.768,,,,,
30,07/09/18 02:30:00 AM,10.161,,,,,
31,07/09/18 03:00:00 AM,9.571,,,,,
32,07/09/18 03:30:00 AM,8.779,,,,,
33,07/09/18 04:00:00 AM,8.779,,,,,
34,07/09/18 04:30:00 AM,8.680,,,,,
35,07/09/18 05:00:00 AM,8.382,,,,,
36,07/09/18 05:30:00 AM,8.082,,,,,
37,07/09/18 06:00:00 AM,7.983,,,,,
38,07/09/18 06:30:00 AM,8.382,,,,,
39,07/09/18 07:00:00 AM,8.382,,,,,
40,07/09/18 07:30:00 AM,8.082,,,,,
41,07/09/18 08:00:00 AM,7.882,,,,,
42,07/09/18 08:30:00 AM,8.581,,,,,
43,07/09/18 09:00:00 AM,8.879,,,,,
44,07/09/18 09:30:00 AM,8.779,,,,,
45,07/09/18 10:00:00 AM,8.879,,,,,
46,07/09/18 10:30:00 AM,9.373,,,,,
47,07/09/18 11:00:00 AM,9.373,,,,,
48,07/09/18 11:30:00 AM,9.176,,,,,
