"Time"	"Temperature  (*C)"	"Temperature  (*F)"	"A-D  (1-255)"
34933.5197338	26.74	80.14	59
34933.5405671	24.99	76.99	69
34933.5614005	15.76	60.38	125
34933.5822338	15.76	60.38	125
34933.6030671	15.76	60.38	125
34933.6239005	15.61	60.10	126
34933.6447338	15.76	60.38	125
34933.6655671	15.76	60.38	125
34933.6864005	15.61	60.10	126
34933.7072338	15.76	60.38	125
34933.7280671	15.61	60.10	126
34933.7489005	15.28	59.52	128
34933.7697338	15.28	59.52	128
34933.7905671	15.28	59.52	128
34933.8114005	15.76	60.38	125
34933.8322338	16.08	60.96	123
34933.8530671	15.92	60.67	124
34933.8739005	15.44	59.81	127
34933.8947338	15.61	60.10	126
34933.9155671	15.76	60.38	125
34933.9364005	15.76	60.38	125
34933.9572338	15.76	60.38	125
34933.9780671	15.28	59.52	128
34933.9989005	15.28	59.52	128
34934.0197338	15.44	59.81	127
34934.0405671	15.44	59.81	127
34934.0614005	15.61	60.10	126
34934.0822338	15.44	59.81	127
34934.1030671	15.44	59.81	127
34934.1239005	15.44	59.81	127
34934.1447338	15.44	59.81	127
34934.1655671	15.61	60.10	126
34934.1864005	15.61	60.10	126
34934.2072338	15.61	60.10	126
34934.2280671	15.61	60.10	126
34934.2489005	15.61	60.10	126
34934.2697338	15.44	59.81	127
34934.2905671	15.44	59.81	127
34934.3114005	14.97	58.95	130
34934.3322338	14.81	58.67	131
34934.3530671	14.65	58.38	132
34934.3739005	14.65	58.38	132
34934.3947338	15.13	59.24	129
34934.4155671	15.28	59.52	128
34934.4364005	15.61	60.10	126
34934.4572338	15.61	60.10	126
34934.4780671	15.92	60.67	124
34934.4989005	15.76	60.38	125
34934.5197338	15.92	60.67	124
34934.5405671	15.92	60.67	124
34934.5614005	15.92	60.67	124
34934.5822338	15.92	60.67	124
34934.6030671	15.92	60.67	124
34934.6239005	15.92	60.67	124
34934.6447338	16.08	60.96	123
34934.6655671	15.92	60.67	124
34934.6864005	15.76	60.38	125
34934.7072338	16.56	61.82	120
34934.7280671	16.24	61.24	122
34934.7489005	15.92	60.67	124
34934.7697338	16.40	61.53	121
34934.7905671	16.08	60.96	123
34934.8114005	16.24	61.24	122
34934.8322338	15.76	60.38	125
34934.8530671	15.76	60.38	125
34934.8739005	16.08	60.96	123
34934.8947338	16.24	61.24	122
34934.9155671	16.40	61.53	121
34934.9364005	16.40	61.53	121
34934.9572338	16.24	61.24	122
34934.9780671	16.40	61.53	121
34934.9989005	16.40	61.53	121
34935.0197338	16.40	61.53	121
34935.0405671	16.56	61.82	120
34935.0614005	16.56	61.82	120
34935.0822338	16.72	62.10	119
34935.1030671	16.88	62.39	118
34935.1239005	16.72	62.10	119
34935.1447338	16.72	62.10	119
34935.1655671	16.88	62.39	118
34935.1864005	16.88	62.39	118
34935.2072338	16.88	62.39	118
34935.2280671	16.72	62.10	119
34935.2489005	16.08	60.96	123
34935.2697338	15.44	59.81	127
34935.2905671	15.28	59.52	128
34935.3114005	15.13	59.24	129
34935.3322338	14.97	58.95	130
34935.3530671	15.28	59.52	128
34935.3739005	15.28	59.52	128
34935.3947338	15.28	59.52	128
34935.4155671	15.44	59.81	127
34935.4364005	15.61	60.10	126
34935.4572338	15.61	60.10	126
34935.4780671	15.76	60.38	125
34935.4989005	15.76	60.38	125
34935.5197338	16.40	61.53	121
34935.5405671	16.24	61.24	122
34935.5614005	16.72	62.10	119
34935.5822338	16.72	62.10	119
34935.6030671	16.72	62.10	119
34935.6239005	17.36	63.26	115
34935.6447338	16.88	62.39	118
34935.6655671	17.04	62.68	117
34935.6864005	17.04	62.68	117
34935.7072338	17.04	62.68	117
34935.7280671	16.88	62.39	118
34935.7489005	17.36	63.26	115
34935.7697338	17.68	63.83	113
34935.7905671	18.00	64.41	111
34935.8114005	17.84	64.12	112
34935.8322338	18.00	64.41	111
34935.8530671	17.52	63.54	114
34935.8739005	16.72	62.10	119
34935.8947338	16.56	61.82	120
34935.9155671	16.40	61.53	121
34935.9364005	16.56	61.82	120
34935.9572338	16.88	62.39	118
34935.9780671	14.65	58.38	132
34935.9989005	16.56	61.82	120
34936.0197338	15.92	60.67	124
34936.0405671	15.92	60.67	124
34936.0614005	15.28	59.52	128
34936.0822338	15.28	59.52	128
34936.1030671	16.08	60.96	123
34936.1239005	15.92	60.67	124
34936.1447338	15.13	59.24	129
34936.1655671	15.76	60.38	125
34936.1864005	16.24	61.24	122
34936.2072338	15.44	59.81	127
34936.2280671	15.61	60.10	126
34936.2489005	15.61	60.10	126
34936.2697338	15.61	60.10	126
34936.2905671	15.76	60.38	125
34936.3114005	15.76	60.38	125
34936.3322338	16.08	60.96	123
34936.3530671	16.24	61.24	122
34936.3739005	16.24	61.24	122
34936.3947338	16.40	61.53	121
34936.4155671	16.08	60.96	123
34936.4364005	15.76	60.38	125
34936.4572338	15.76	60.38	125
34936.4780671	15.76	60.38	125
34936.4989005	15.92	60.67	124
34936.5197338	15.92	60.67	124
34936.5405671	15.76	60.38	125
34936.5614005	15.76	60.38	125
34936.5822338	16.40	61.53	121
34936.6030671	16.08	60.96	123
34936.6239005	16.08	60.96	123
34936.6447338	16.08	60.96	123
34936.6655671	16.72	62.10	119
34936.6864005	16.72	62.10	119
34936.7072338	16.72	62.10	119
34936.7280671	16.88	62.39	118
34936.7489005	16.56	61.82	120
34936.7697338	16.56	61.82	120
34936.7905671	17.04	62.68	117
34936.8114005	16.40	61.53	121
34936.8322338	16.72	62.10	119
34936.8530671	16.40	61.53	121
34936.8739005	16.24	61.24	122
34936.8947338	15.92	60.67	124
34936.9155671	15.28	59.52	128
34936.9364005	15.44	59.81	127
34936.9572338	14.81	58.67	131
34936.9780671	13.72	56.71	138
34936.9989005	14.18	57.54	135
34937.0197338	14.03	57.26	136
34937.0405671	14.34	57.82	134
34937.0614005	15.13	59.24	129
34937.0822338	14.49	58.10	133
34937.1030671	17.52	63.54	114
34937.1239005	18.48	65.28	108
34937.1447338	18.32	64.99	109
34937.1655671	18.48	65.28	108
34937.1864005	18.48	65.28	108
34937.2072338	16.72	62.10	119
34937.2280671	16.24	61.24	122
34937.2489005	16.24	61.24	122
34937.2697338	16.24	61.24	122
34937.2905671	16.40	61.53	121
34937.3114005	16.88	62.39	118
34937.3322338	16.56	61.82	120
34937.3530671	16.72	62.10	119
34937.3739005	16.40	61.53	121
34937.3947338	16.72	62.10	119
34937.4155671	16.40	61.53	121
34937.4364005	16.24	61.24	122
34937.4572338	15.44	59.81	127
34937.4780671	15.44	59.81	127
34937.4989005	14.49	58.10	133
34937.5197338	14.81	58.67	131
34937.5405671	14.03	57.26	136
34937.5614005	13.57	56.43	139
34937.5822338	14.03	57.26	136
34937.6030671	14.97	58.95	130
34937.6239005	17.04	62.68	117
34937.6447338	17.20	62.97	116
34937.6655671	17.36	63.26	115
34937.6864005	18.16	64.70	110
34937.7072338	18.81	65.87	106
34937.7280671	17.68	63.83	113
34937.7489005	17.04	62.68	117
34937.7697338	17.04	62.68	117
34937.7905671	16.56	61.82	120
34937.8114005	16.72	62.10	119
34937.8322338	16.72	62.10	119
34937.8530671	16.40	61.53	121
34937.8739005	16.40	61.53	121
34937.8947338	16.08	60.96	123
34937.9155671	16.24	61.24	122
34937.9364005	15.44	59.81	127
34937.9572338	15.76	60.38	125
34937.9780671	16.08	60.96	123
34937.9989005	15.28	59.52	128
34938.0197338	14.65	58.38	132
34938.0405671	14.81	58.67	131
34938.0614005	15.44	59.81	127
34938.0822338	15.76	60.38	125
34938.1030671	15.28	59.52	128
34938.1239005	14.81	58.67	131
34938.1447338	15.76	60.38	125
34938.1655671	16.08	60.96	123
34938.1864005	16.40	61.53	121
34938.2072338	16.56	61.82	120
34938.2280671	17.04	62.68	117
34938.2489005	17.20	62.97	116
34938.2697338	17.20	62.97	116
34938.2905671	16.72	62.10	119
34938.3114005	16.08	60.96	123
34938.3322338	16.40	61.53	121
34938.3530671	16.08	60.96	123
34938.3739005	15.76	60.38	125
34938.3947338	16.08	60.96	123
34938.4155671	15.76	60.38	125
34938.4364005	15.92	60.67	124
34938.4572338	14.34	57.82	134
34938.4780671	13.41	56.15	140
