"Time"	"Temperature   (*C)"	"Temperature   (*F)"
9/6/00 2:00:00.0 PM	17.14	62.87
9/6/00 2:30:00.0 PM	17.14	62.87
9/6/00 3:00:00.0 PM	17.14	62.87
9/6/00 3:30:00.0 PM	17.14	62.87
9/6/00 4:00:00.0 PM	17.14	62.87
9/6/00 4:30:00.0 PM	17.31	63.16
9/6/00 5:00:00.0 PM	17.31	63.16
9/6/00 5:30:00.0 PM	16.98	62.58
9/6/00 6:00:00.0 PM	16.98	62.58
9/6/00 6:30:00.0 PM	16.98	62.58
9/6/00 7:00:00.0 PM	17.14	62.87
9/6/00 7:30:00.0 PM	17.14	62.87
9/6/00 8:00:00.0 PM	17.14	62.87
9/6/00 8:30:00.0 PM	17.14	62.87
9/6/00 9:00:00.0 PM	17.14	62.87
9/6/00 9:30:00.0 PM	16.82	62.29
9/6/00 10:00:00.0 PM	16.82	62.29
9/6/00 10:30:00.0 PM	16.82	62.29
9/6/00 11:00:00.0 PM	16.82	62.29
9/6/00 11:30:00.0 PM	16.98	62.58
9/7/00 12:00:00.0 AM	16.82	62.29
9/7/00 12:30:00.0 AM	16.67	62.01
9/7/00 1:00:00.0 AM	16.82	62.29
9/7/00 1:30:00.0 AM	16.82	62.29
9/7/00 2:00:00.0 AM	16.67	62.01
9/7/00 2:30:00.0 AM	16.67	62.01
9/7/00 3:00:00.0 AM	16.51	61.72
9/7/00 3:30:00.0 AM	16.51	61.72
9/7/00 4:00:00.0 AM	16.51	61.72
9/7/00 4:30:00.0 AM	16.19	61.15
9/7/00 5:00:00.0 AM	16.19	61.15
9/7/00 5:30:00.0 AM	16.19	61.15
9/7/00 6:00:00.0 AM	16.34	61.43
9/7/00 6:30:00.0 AM	16.34	61.43
9/7/00 7:00:00.0 AM	16.51	61.72
9/7/00 7:30:00.0 AM	16.51	61.72
9/7/00 8:00:00.0 AM	16.51	61.72
9/7/00 8:30:00.0 AM	16.51	61.72
9/7/00 9:00:00.0 AM	16.51	61.72
9/7/00 9:30:00.0 AM	16.51	61.72
9/7/00 10:00:00.0 AM	16.51	61.72
9/7/00 10:30:00.0 AM	16.51	61.72
9/7/00 11:00:00.0 AM	16.51	61.72
9/7/00 11:30:00.0 AM	16.51	61.72
9/7/00 12:00:00.0 PM	16.51	61.72
