Serial Number:     132159     --     Series: Temperature   (*C)

Date Time	Temperature   (*C)
11/08/01 00:00:00.0	21.34
11/08/01 00:30:00.0	21.34
11/08/01 01:00:00.0	21.17
11/08/01 01:30:00.0	21.17
11/08/01 02:00:00.0	21.17
11/08/01 02:30:00.0	21.17
11/08/01 03:00:00.0	21.01
11/08/01 03:30:00.0	21.01
11/08/01 04:00:00.0	21.01
11/08/01 04:30:00.0	21.01
11/08/01 05:00:00.0	21.01
11/08/01 05:30:00.0	21.01
11/08/01 06:00:00.0	21.01
11/08/01 06:30:00.0	21.01
11/08/01 07:00:00.0	21.01
11/08/01 07:30:00.0	21.01
11/08/01 08:00:00.0	21.01
11/08/01 08:30:00.0	16.64
11/08/01 09:00:00.0	13.04
11/08/01 09:30:00.0	12.26
11/08/01 10:00:00.0	9
11/08/01 10:30:00.0	8.84
11/08/01 11:00:00.0	9.93
11/08/01 11:30:00.0	9.16
11/08/01 12:00:00.0	9.16
11/08/01 12:30:00.0	9.16
11/08/01 13:00:00.0	9.16
11/08/01 13:30:00.0	9.16
11/08/01 14:00:00.0	9.16
11/08/01 14:30:00.0	9.16
11/08/01 15:00:00.0	9.16
11/08/01 15:30:00.0	9.31
11/08/01 16:00:00.0	9.16
11/08/01 16:30:00.0	9.31
11/08/01 17:00:00.0	9.16
11/08/01 17:30:00.0	9.31
11/08/01 18:00:00.0	9.47
11/08/01 18:30:00.0	9.31
11/08/01 19:00:00.0	9.47
11/08/01 19:30:00.0	9.62
11/08/01 20:00:00.0	9.62
11/08/01 20:30:00.0	9.78
11/08/01 21:00:00.0	9.78
11/08/01 21:30:00.0	9.78
11/08/01 22:00:00.0	9.78
11/08/01 22:30:00.0	9.78
11/08/01 23:00:00.0	9.78
11/08/01 23:30:00.0	9.78
11/09/01 00:00:00.0	9.78
11/09/01 00:30:00.0	9.31
11/09/01 01:00:00.0	9.62
11/09/01 01:30:00.0	9.47
11/09/01 02:00:00.0	9
11/09/01 02:30:00.0	9
11/09/01 03:00:00.0	9.31
11/09/01 03:30:00.0	9.16
11/09/01 04:00:00.0	9.16
11/09/01 04:30:00.0	9.16
11/09/01 05:00:00.0	9.16
11/09/01 05:30:00.0	9.16
11/09/01 06:00:00.0	9
11/09/01 06:30:00.0	9.16
11/09/01 07:00:00.0	9.16
11/09/01 07:30:00.0	9.16
11/09/01 08:00:00.0	9.16
11/09/01 08:30:00.0	9.31
11/09/01 09:00:00.0	9.31
11/09/01 09:30:00.0	9.47
11/09/01 10:00:00.0	9.47
11/09/01 10:30:00.0	9.47
11/09/01 11:00:00.0	9.47
11/09/01 11:30:00.0	9.47
11/09/01 12:00:00.0	9.31
11/09/01 12:30:00.0	9.31
11/09/01 13:00:00.0	9.31
11/09/01 13:30:00.0	9.16
11/09/01 14:00:00.0	9.31
11/09/01 14:30:00.0	9.31
11/09/01 15:00:00.0	9.16
11/09/01 15:30:00.0	9.16
11/09/01 16:00:00.0	9.16
11/09/01 16:30:00.0	9.16
11/09/01 17:00:00.0	9
11/09/01 17:30:00.0	9
11/09/01 18:00:00.0	9
