Date,Time,Temp,
6/19/14,2:00,7.795,
6/19/14,2:30,7.845,
6/19/14,3:00,7.87,
6/19/14,3:30,7.845,
6/19/14,4:00,7.77,
6/19/14,4:30,7.795,
6/19/14,5:00,8.02,
6/19/14,5:30,7.995,
6/19/14,6:00,8.045,
6/19/14,6:30,8.245,
6/19/14,7:00,8.419,
6/19/14,7:30,8.519,
6/19/14,8:00,8.27,
6/19/14,8:30,8.319,
6/19/14,9:00,8.145,
6/19/14,9:30,8.07,
6/19/14,10:00,7.995,
6/19/14,10:30,7.92,
6/19/14,11:00,7.845,
6/19/14,11:30,7.82,
6/20/14,12:00,7.645,
6/20/14,12:30,7.795,
6/20/14,1:00,8.27,
6/20/14,1:30,8.394,
6/20/14,2:00,8.494,
6/20/14,2:30,8.618,
6/20/14,3:00,8.717,
6/20/14,3:30,8.643,
6/20/14,4:00,8.618,
6/20/14,4:30,8.668,
6/20/14,5:00,8.792,
6/20/14,5:30,9.089,
6/20/14,6:00,8.419,
6/20/14,6:30,9.41,
6/20/14,7:00,8.593,
6/20/14,7:30,8.742,
6/20/14,8:00,8.717,
6/20/14,8:30,8.742,
6/20/14,9:00,8.519,
6/20/14,9:30,8.469,
6/20/14,10:00,8.145,
6/20/14,10:30,7.895,
6/20/14,11:00,7.695,
6/20/14,11:30,7.619,
6/20/14,12:00,7.569,
6/20/14,12:30,7.519,
6/20/14,1:00,7.519,
6/20/14,1:30,7.67,
6/20/14,2:00,7.77,
6/20/14,2:30,7.695,
6/20/14,3:00,7.569,
6/20/14,3:30,7.72,
6/20/14,4:00,8.045,
6/20/14,4:30,8.145,
6/20/14,5:00,8.22,
6/20/14,5:30,8.369,
6/20/14,6:00,8.742,
6/20/14,6:30,8.344,
6/20/14,7:00,8.965,
6/20/14,7:30,9.089,
6/20/14,8:00,9.386,
6/20/14,8:30,8.866,
6/20/14,9:00,8.693,
6/20/14,9:30,8.369,
6/20/14,10:00,8.344,
6/20/14,10:30,7.97,
6/20/14,11:00,7.795,
6/20/14,11:30,7.87,
6/21/14,12:00,7.745,
6/21/14,12:30,7.72,
6/21/14,1:00,7.494,
6/21/14,1:30,7.519,
6/21/14,2:00,7.619,
6/21/14,2:30,7.695,
6/21/14,3:00,7.67,
6/21/14,3:30,7.77,
6/21/14,4:00,7.77,
6/21/14,4:30,7.795,
6/21/14,5:00,8.07,
6/21/14,5:30,8.344,
6/21/14,6:00,8.668,
6/21/14,6:30,8.543,
6/21/14,7:00,8.693,
6/21/14,7:30,8.693,
6/21/14,8:00,8.817,
6/21/14,8:30,8.99,
6/21/14,9:00,9.114,
6/21/14,9:30,9.139,
6/21/14,10:00,8.668,
6/21/14,10:30,8.494,
6/21/14,11:00,8.394,
6/21/14,11:30,8.27,
6/21/14,12:00,8.07,
6/21/14,12:30,8.02,
6/21/14,1:00,7.97,
6/21/14,1:30,8.07,
6/21/14,2:00,7.92,
6/21/14,2:30,8.02,
6/21/14,3:00,8.12,
6/21/14,3:30,8.22,
6/21/14,4:00,7.92,
6/21/14,4:30,7.92,
6/21/14,5:00,8.419,
6/21/14,5:30,9.089,
6/21/14,6:00,8.543,
6/21/14,6:30,8.319,
6/21/14,7:00,8.494,
6/21/14,7:30,9.139,
6/21/14,8:00,8.394,
6/21/14,8:30,8.12,
6/21/14,9:00,8.02,
6/21/14,9:30,8.02,
6/21/14,10:00,8.17,
6/21/14,10:30,7.895,
6/21/14,11:00,7.745,
6/21/14,11:30,7.67,
6/22/14,12:00,7.72,
6/22/14,12:30,7.895,
6/22/14,1:00,7.87,
6/22/14,1:30,7.795,
6/22/14,2:00,8.045,
6/22/14,2:30,7.895,
6/22/14,3:00,7.494,
6/22/14,3:30,8.07,
6/22/14,4:00,8.12,
6/22/14,4:30,8.12,
6/22/14,5:00,7.895,
6/22/14,5:30,8.295,
6/22/14,6:00,8.12,
6/22/14,6:30,8.469,
6/22/14,7:00,8.941,
6/22/14,7:30,8.568,
6/22/14,8:00,9.114,
6/22/14,8:30,9.312,
6/22/14,9:00,9.435,
6/22/14,9:30,9.509,
6/22/14,10:00,9.534,
6/22/14,10:30,9.608,
6/22/14,11:00,9.682,
6/22/14,11:30,8.394,
6/22/14,12:00,8.27,
6/22/14,12:30,7.82,
6/22/14,1:00,7.795,
6/22/14,1:30,7.77,
6/22/14,2:00,7.544,
6/22/14,2:30,7.544,
6/22/14,3:00,7.419,
6/22/14,3:30,7.368,
6/22/14,4:00,7.393,
6/22/14,4:30,7.368,
6/22/14,5:00,7.368,
6/22/14,5:30,7.494,
6/22/14,6:00,7.116,
6/22/14,6:30,8.344,
6/22/14,7:00,8.519,
6/22/14,7:30,8.568,
6/22/14,8:00,8.668,
6/22/14,8:30,9.015,
6/22/14,9:00,9.805,
6/22/14,9:30,9.583,
6/22/14,10:00,9.312,
6/22/14,10:30,9.485,
6/22/14,11:00,9.682,
6/22/14,11:30,9.756,
6/23/14,12:00,9.805,
6/23/14,12:30,9.657,
6/23/14,1:00,8.792,
6/23/14,1:30,8.17,
6/23/14,2:00,8.145,
6/23/14,2:30,7.795,
6/23/14,3:00,7.72,
6/23/14,3:30,7.67,
6/23/14,4:00,7.619,
