Plot Title: HRI5.18.2001	
"Date Time, GMT-04:00"	"H05 Temp., °C (LGR S/N: 357303)"
5/18/01 17:00	8.1
5/18/01 17:30	7.79
5/18/01 18:00	7.17
5/18/01 18:30	7.79
5/18/01 19:00	6.08
5/18/01 19:30	5.77
5/18/01 20:00	6.39
5/18/01 20:30	6.86
5/18/01 21:00	6.55
5/18/01 21:30	6.86
5/18/01 22:00	6.7
5/18/01 22:30	7.32
5/18/01 23:00	7.63
5/18/01 23:30	8.56
5/19/01 0:00	8.72
5/19/01 0:30	9.03
5/19/01 1:00	9.65
5/19/01 1:30	9.18
5/19/01 2:00	8.56
5/19/01 2:30	7.94
5/19/01 3:00	8.41
5/19/01 3:30	7.79
5/19/01 4:00	8.25
5/19/01 4:30	7.17
5/19/01 5:00	6.7
5/19/01 5:30	5.92
5/19/01 6:00	5.3
5/19/01 6:30	5.46
5/19/01 7:00	5.61
5/19/01 7:30	5.14
5/19/01 8:00	5.14
5/19/01 8:30	5.3
5/19/01 9:00	6.08
5/19/01 9:30	6.23
5/19/01 10:00	6.39
5/19/01 10:30	5.77
5/19/01 11:00	6.7
5/19/01 11:30	7.01
5/19/01 12:00	6.7
5/19/01 12:30	6.86
5/19/01 13:00	6.39
5/19/01 13:30	6.39
5/19/01 14:00	7.79
5/19/01 14:30	6.7
5/19/01 15:00	6.86
5/19/01 15:30	6.08
5/19/01 16:00	5.92
5/19/01 16:30	5.77
5/19/01 17:00	5.61
5/19/01 17:30	5.92
5/19/01 18:00	5.46
5/19/01 18:30	5.14
5/19/01 19:00	5.3
5/19/01 19:30	4.83
5/19/01 20:00	4.83
5/19/01 20:30	4.83
5/19/01 21:00	4.83
5/19/01 21:30	4.83
5/19/01 22:00	4.98
5/19/01 22:30	4.83
5/19/01 23:00	5.14
5/19/01 23:30	5.3
5/20/01 0:00	6.39
5/20/01 0:30	6.86
5/20/01 1:00	8.1
5/20/01 1:30	8.87
5/20/01 2:00	9.03
5/20/01 2:30	9.03
5/20/01 3:00	8.87
5/20/01 3:30	9.03
5/20/01 4:00	9.03
5/20/01 4:30	8.87
5/20/01 5:00	8.25
5/20/01 5:30	8.25
5/20/01 6:00	8.25
5/20/01 6:30	7.94
5/20/01 7:00	8.72
5/20/01 7:30	7.48
5/20/01 8:00	6.86
5/20/01 8:30	6.39
5/20/01 9:00	6.7
5/20/01 9:30	6.86
5/20/01 10:00	7.32
5/20/01 10:30	7.01
5/20/01 11:00	6.39
5/20/01 11:30	6.7
5/20/01 12:00	6.7
5/20/01 12:30	6.7
5/20/01 13:00	8.56
5/20/01 13:30	9.18
5/20/01 14:00	8.25
5/20/01 14:30	8.25
5/20/01 15:00	8.56
5/20/01 15:30	8.72
5/20/01 16:00	8.1
5/20/01 16:30	7.48
5/20/01 17:00	7.94
5/20/01 17:30	8.1
5/20/01 18:00	7.32
5/20/01 18:30	6.23
5/20/01 19:00	6.23
5/20/01 19:30	6.39
5/20/01 20:00	6.55
5/20/01 20:30	5.92
5/20/01 21:00	5.92
5/20/01 21:30	5.3
5/20/01 22:00	5.3
5/20/01 22:30	5.3
5/20/01 23:00	5.14
5/20/01 23:30	4.98
5/21/01 0:00	4.98
5/21/01 0:30	4.98
5/21/01 1:00	5.14
5/21/01 1:30	5.46
5/21/01 2:00	5.46
5/21/01 2:30	5.46
5/21/01 3:00	6.23
5/21/01 3:30	7.48
5/21/01 4:00	7.94
5/21/01 4:30	8.25
5/21/01 5:00	7.94
5/21/01 5:30	6.86
5/21/01 6:00	6.55
5/21/01 6:30	6.23
5/21/01 7:00	5.92
5/21/01 7:30	6.08
5/21/01 8:00	5.46
5/21/01 8:30	5.46
5/21/01 9:00	5.3
5/21/01 9:30	5.3
5/21/01 10:00	5.3
5/21/01 10:30	5.14
5/21/01 11:00	5.3
5/21/01 11:30	6.08
5/21/01 12:00	6.7
5/21/01 12:30	5.92
5/21/01 13:00	6.23
5/21/01 13:30	5.61
5/21/01 14:00	5.61
5/21/01 14:30	7.32
5/21/01 15:00	7.48
5/21/01 15:30	7.01
5/21/01 16:00	7.01
5/21/01 16:30	6.55
5/21/01 17:00	6.39
5/21/01 17:30	6.23
5/21/01 18:00	6.23
5/21/01 18:30	6.39
5/21/01 19:00	6.39
5/21/01 19:30	6.39
5/21/01 20:00	5.77
5/21/01 20:30	5.3
5/21/01 21:00	5.3
5/21/01 21:30	5.3
5/21/01 22:00	5.3
5/21/01 22:30	4.98
5/21/01 23:00	4.98
5/21/01 23:30	4.98
5/22/01 0:00	4.98
5/22/01 0:30	5.46
5/22/01 1:00	5.46
5/22/01 1:30	5.92
5/22/01 2:00	6.23
5/22/01 2:30	6.23
5/22/01 3:00	7.32
5/22/01 3:30	7.63
5/22/01 4:00	8.56
5/22/01 4:30	9.03
5/22/01 5:00	8.1
5/22/01 5:30	7.63
5/22/01 6:00	6.86
5/22/01 6:30	7.32
5/22/01 7:00	7.17
5/22/01 7:30	6.86
5/22/01 8:00	6.08
5/22/01 8:30	5.77
5/22/01 9:00	5.61
5/22/01 9:30	5.77
5/22/01 10:00	6.08
5/22/01 10:30	6.39
5/22/01 11:00	7.01
5/22/01 11:30	7.17
5/22/01 12:00	6.7
5/22/01 12:30	6.86
5/22/01 13:00	6.86
5/22/01 13:30	6.23
5/22/01 14:00	6.7
5/22/01 14:30	6.7
5/22/01 15:00	7.94
5/22/01 15:30	8.1
5/22/01 16:00	8.25
5/22/01 16:30	8.41
5/22/01 17:00	6.86
5/22/01 17:30	6.86
5/22/01 18:00	7.01
5/22/01 18:30	6.39
5/22/01 19:00	6.39
5/22/01 19:30	6.23
5/22/01 20:00	5.92
5/22/01 20:30	5.77
5/22/01 21:00	5.61
5/22/01 21:30	5.46
5/22/01 22:00	5.46
5/22/01 22:30	5.61
5/22/01 23:00	5.61
5/22/01 23:30	5.92
5/23/01 0:00	6.08
5/23/01 0:30	6.08
5/23/01 1:00	5.92
5/23/01 1:30	6.55
5/23/01 2:00	7.32
5/23/01 2:30	7.32
5/23/01 3:00	7.32
5/23/01 3:30	7.32
5/23/01 4:00	7.79
5/23/01 4:30	7.94
5/23/01 5:00	8.56
5/23/01 5:30	8.87
5/23/01 6:00	6.7
5/23/01 6:30	7.01
5/23/01 7:00	6.7
5/23/01 7:30	6.39
5/23/01 8:00	6.23
5/23/01 8:30	5.92
5/23/01 9:00	5.77
5/23/01 9:30	5.77
5/23/01 10:00	5.77
5/23/01 10:30	5.46
5/23/01 11:00	5.3
5/23/01 11:30	5.46
5/23/01 12:00	5.46
5/23/01 12:30	5.92
5/23/01 13:00	6.08
5/23/01 13:30	5.77
5/23/01 14:00	5.92
5/23/01 14:30	6.08
5/23/01 15:00	6.7
5/23/01 15:30	6.39
5/23/01 16:00	6.7
5/23/01 16:30	6.86
5/23/01 17:00	9.03
5/23/01 17:30	9.03
5/23/01 18:00	7.01
5/23/01 18:30	7.48
5/23/01 19:00	7.32
5/23/01 19:30	6.86
5/23/01 20:00	6.39
5/23/01 20:30	6.23
5/23/01 21:00	5.92
5/23/01 21:30	5.92
5/23/01 22:00	5.92
5/23/01 22:30	5.46
5/23/01 23:00	5.61
5/23/01 23:30	5.61
5/24/01 0:00	5.46
5/24/01 0:30	5.61
5/24/01 1:00	7.01
5/24/01 1:30	6.86
5/24/01 2:00	9.03
5/24/01 2:30	10.12
5/24/01 3:00	10.27
5/24/01 3:30	9.96
5/24/01 4:00	9.8
5/24/01 4:30	10.89
5/24/01 5:00	11.36
5/24/01 5:30	11.2
5/24/01 6:00	11.2
5/24/01 6:30	11.51
5/24/01 7:00	9.49
5/24/01 7:30	8.1
5/24/01 8:00	7.63
5/24/01 8:30	7.63
5/24/01 9:00	6.86
5/24/01 9:30	6.7
5/24/01 10:00	6.7
5/24/01 10:30	6.55
5/24/01 11:00	6.55
5/24/01 11:30	6.7
5/24/01 12:00	7.63
5/24/01 12:30	7.48
5/24/01 13:00	7.79
5/24/01 13:30	7.94
5/24/01 14:00	8.1
5/24/01 14:30	9.03
5/24/01 15:00	9.18
5/24/01 15:30	9.03
5/24/01 16:00	8.87
5/24/01 16:30	8.72
5/24/01 17:00	8.72
5/24/01 17:30	8.56
5/24/01 18:00	8.72
5/24/01 18:30	8.87
5/24/01 19:00	8.56
5/24/01 19:30	8.25
5/24/01 20:00	7.63
5/24/01 20:30	7.32
5/24/01 21:00	7.01
5/24/01 21:30	7.01
5/24/01 22:00	7.01
5/24/01 22:30	6.86
5/24/01 23:00	7.32
5/24/01 23:30	7.17
5/25/01 0:00	7.17
5/25/01 0:30	6.86
5/25/01 1:00	7.01
5/25/01 1:30	7.79
5/25/01 2:00	7.79
5/25/01 2:30	8.1
5/25/01 3:00	8.41
5/25/01 3:30	9.34
5/25/01 4:00	9.8
5/25/01 4:30	9.8
5/25/01 5:00	10.12
5/25/01 5:30	9.49
5/25/01 6:00	9.34
5/25/01 6:30	9.34
5/25/01 7:00	9.34
5/25/01 7:30	8.87
5/25/01 8:00	8.41
5/25/01 8:30	7.17
5/25/01 9:00	7.17
5/25/01 9:30	6.86
5/25/01 10:00	6.86
5/25/01 10:30	7.01
5/25/01 11:00	7.32
5/25/01 11:30	7.17
5/25/01 12:00	6.86
5/25/01 12:30	7.01
5/25/01 13:00	7.01
5/25/01 13:30	7.01
5/25/01 14:00	8.1
5/25/01 14:30	8.1
5/25/01 15:00	8.41
5/25/01 15:30	9.03
5/25/01 16:00	9.49
5/25/01 16:30	8.87
5/25/01 17:00	9.03
5/25/01 17:30	7.94
5/25/01 18:00	7.63
5/25/01 18:30	8.1
5/25/01 19:00	7.48
5/25/01 19:30	7.48
5/25/01 20:00	7.79
5/25/01 20:30	7.32
5/25/01 21:00	7.48
5/25/01 21:30	6.39
5/25/01 22:00	6.7
5/25/01 22:30	6.39
5/25/01 23:00	6.39
5/25/01 23:30	6.39
5/26/01 0:00	6.39
5/26/01 0:30	6.7
5/26/01 1:00	6.55
5/26/01 1:30	6.7
5/26/01 2:00	6.86
5/26/01 2:30	6.7
5/26/01 3:00	7.32
5/26/01 3:30	8.41
5/26/01 4:00	8.56
5/26/01 4:30	8.41
5/26/01 5:00	8.72
5/26/01 5:30	8.87
5/26/01 6:00	8.72
5/26/01 6:30	9.49
