Plot Title: HRI082506	
"Date Time, GMT-04:00"	"H05 Temp., °C (LGR S/N: 995850)"
8/25/06 15:00	8.89
8/25/06 15:30	9.18
8/25/06 16:00	9.76
8/25/06 16:30	10.62
8/25/06 17:00	11.48
8/25/06 17:30	10.62
8/25/06 18:00	10.33
8/25/06 18:30	10.05
8/25/06 19:00	10.62
8/25/06 19:30	10.05
8/25/06 20:00	10.05
8/25/06 20:30	10.05
8/25/06 21:00	9.47
8/25/06 21:30	9.18
8/25/06 22:00	9.47
8/25/06 22:30	8.61
8/25/06 23:00	8.61
8/25/06 23:30	8.61
8/26/06 0:00	8.61
8/26/06 0:30	8.61
8/26/06 1:00	8.61
8/26/06 1:30	8.89
8/26/06 2:00	9.47
8/26/06 2:30	10.05
8/26/06 3:00	10.05
8/26/06 3:30	10.33
8/26/06 4:00	10.62
8/26/06 4:30	11.19
8/26/06 5:00	11.48
8/26/06 5:30	12.06
8/26/06 6:00	12.35
8/26/06 6:30	12.64
8/26/06 7:00	12.93
8/26/06 7:30	11.77
8/26/06 8:00	10.9
8/26/06 8:30	12.06
8/26/06 9:00	10.9
8/26/06 9:30	10.33
8/26/06 10:00	10.05
8/26/06 10:30	9.47
8/26/06 11:00	9.47
8/26/06 11:30	9.18
8/26/06 12:00	9.76
8/26/06 12:30	9.47
8/26/06 13:00	9.18
8/26/06 13:30	9.47
8/26/06 14:00	9.18
8/26/06 14:30	8.89
8/26/06 15:00	8.61
8/26/06 15:30	10.05
8/26/06 16:00	9.18
8/26/06 16:30	8.89
8/26/06 17:00	9.76
8/26/06 17:30	8.61
8/26/06 18:00	8.89
8/26/06 18:30	8.89
8/26/06 19:00	8.89
8/26/06 19:30	8.89
8/26/06 20:00	9.18
8/26/06 20:30	8.89
8/26/06 21:00	8.89
8/26/06 21:30	9.18
8/26/06 22:00	8.89
8/26/06 22:30	9.47
8/26/06 23:00	9.47
8/26/06 23:30	9.76
8/27/06 0:00	9.47
8/27/06 0:30	9.18
8/27/06 1:00	9.76
8/27/06 1:30	9.18
8/27/06 2:00	9.18
8/27/06 2:30	9.76
8/27/06 3:00	10.05
8/27/06 3:30	9.76
8/27/06 4:00	9.76
8/27/06 4:30	11.19
8/27/06 5:00	10.62
8/27/06 5:30	10.9
8/27/06 6:00	10.62
8/27/06 6:30	10.9
8/27/06 7:00	10.05
8/27/06 7:30	10.62
8/27/06 8:00	10.33
8/27/06 8:30	10.62
8/27/06 9:00	10.05
8/27/06 9:30	10.05
8/27/06 10:00	9.76
8/27/06 10:30	9.18
8/27/06 11:00	8.61
8/27/06 11:30	8.32
8/27/06 12:00	8.32
8/27/06 12:30	8.61
8/27/06 13:00	8.61
8/27/06 13:30	8.89
8/27/06 14:00	9.47
8/27/06 14:30	9.47
8/27/06 15:00	9.76
8/27/06 15:30	9.18
8/27/06 16:00	8.89
8/27/06 16:30	9.76
8/27/06 17:00	9.47
8/27/06 17:30	9.47
8/27/06 18:00	9.18
8/27/06 18:30	9.18
8/27/06 19:00	9.47
8/27/06 19:30	10.05
8/27/06 20:00	10.05
8/27/06 20:30	10.05
8/27/06 21:00	10.05
8/27/06 21:30	9.76
8/27/06 22:00	9.76
8/27/06 22:30	9.76
8/27/06 23:00	9.47
8/27/06 23:30	9.18
8/28/06 0:00	9.76
8/28/06 0:30	9.18
8/28/06 1:00	9.18
8/28/06 1:30	9.18
8/28/06 2:00	8.89
8/28/06 2:30	9.18
8/28/06 3:00	8.89
8/28/06 3:30	8.89
8/28/06 4:00	8.89
8/28/06 4:30	8.89
