Plot Title: HRinner12.13.99 	
"Date Time, GMT-05:00"	"H05 Temp., °C (LGR S/N: 101906)"
12/13/99 21:05	21.86
12/13/99 21:35	21.52
12/13/99 22:05	20.71
12/13/99 22:35	19.9
12/13/99 23:05	19.41
12/13/99 23:35	13.71
12/14/99 0:05	11.85
12/14/99 0:35	10.62
12/14/99 1:05	7.06
12/14/99 1:35	7.06
12/14/99 2:05	7.06
12/14/99 2:35	7.06
12/14/99 3:05	7.06
12/14/99 3:35	7.22
12/14/99 4:05	7.22
12/14/99 4:35	7.06
12/14/99 5:05	7.06
12/14/99 5:35	7.06
12/14/99 6:05	7.06
12/14/99 6:35	7.06
12/14/99 7:05	7.06
12/14/99 7:35	7.06
12/14/99 8:05	7.06
12/14/99 8:35	7.06
12/14/99 9:05	7.06
12/14/99 9:35	7.06
12/14/99 10:05	7.06
12/14/99 10:35	7.06
12/14/99 11:05	7.06
12/14/99 11:35	7.06
12/14/99 12:05	7.06
12/14/99 12:35	7.06
12/14/99 13:05	7.06
12/14/99 13:35	7.06
12/14/99 14:05	7.06
12/14/99 14:35	7.06
12/14/99 15:05	7.06
12/14/99 15:35	7.06
12/14/99 16:05	7.06
12/14/99 16:35	7.06
12/14/99 17:05	7.06
12/14/99 17:35	7.06
12/14/99 18:05	7.06
12/14/99 18:35	7.06
12/14/99 19:05	7.06
12/14/99 19:35	7.06
12/14/99 20:05	7.06
12/14/99 20:35	7.06
12/14/99 21:05	7.06
12/14/99 21:35	7.06
12/14/99 22:05	7.06
12/14/99 22:35	7.06
12/14/99 23:05	7.06
12/14/99 23:35	7.06
12/15/99 0:05	7.06
12/15/99 0:35	7.06
12/15/99 1:05	7.06
12/15/99 1:35	7.06
12/15/99 2:05	7.06
12/15/99 2:35	7.06
12/15/99 3:05	7.06
12/15/99 3:35	7.06
12/15/99 4:05	7.06
12/15/99 4:35	7.06
12/15/99 5:05	7.06
12/15/99 5:35	7.06
12/15/99 6:05	7.06
12/15/99 6:35	7.06
12/15/99 7:05	7.06
12/15/99 7:35	7.06
12/15/99 8:05	7.06
12/15/99 8:35	7.06
12/15/99 9:05	7.06
12/15/99 9:35	7.06
12/15/99 10:05	7.06
12/15/99 10:35	7.06
12/15/99 11:05	7.06
12/15/99 11:35	7.22
12/15/99 12:05	7.22
12/15/99 12:35	7.22
12/15/99 13:05	7.22
