Plot Title: HRO 3.19.01 TidbiT	
"Date Time, GMT-05:00"	"H05 Temp., °C (LGR S/N: 357301)"
3/19/01 10:00	15.44
3/19/01 10:30	13.4
3/19/01 11:00	14.17
3/19/01 11:30	23.42
3/19/01 12:00	26.02
3/19/01 12:30	14.64
3/19/01 13:00	10.91
3/19/01 13:30	10.29
3/19/01 14:00	10.13
3/19/01 14:30	11.84
3/19/01 15:00	16.07
3/19/01 15:30	11.53
3/19/01 16:00	9.67
3/19/01 16:30	10.75
3/19/01 17:00	17.82
3/19/01 17:30	19.77
3/19/01 18:00	20.42
3/19/01 18:30	20.42
3/19/01 19:00	20.42
3/19/01 19:30	20.42
3/19/01 20:00	20.26
3/19/01 20:30	20.26
3/19/01 21:00	20.1
3/19/01 21:30	20.1
3/19/01 22:00	19.94
3/19/01 22:30	19.94
3/19/01 23:00	19.94
3/19/01 23:30	19.77
3/20/01 0:00	19.77
3/20/01 0:30	19.77
3/20/01 1:00	19.77
3/20/01 1:30	19.77
3/20/01 2:00	19.61
3/20/01 2:30	19.45
3/20/01 3:00	19.45
3/20/01 3:30	19.45
3/20/01 4:00	19.45
3/20/01 4:30	19.45
3/20/01 5:00	19.28
3/20/01 5:30	19.28
3/20/01 6:00	19.12
3/20/01 6:30	19.12
3/20/01 7:00	19.12
3/20/01 7:30	19.28
3/20/01 8:00	19.28
3/20/01 8:30	19.28
3/20/01 9:00	19.45
3/20/01 9:30	19.12
3/20/01 10:00	21.24
3/20/01 10:30	26.91
3/20/01 11:00	14.32
3/20/01 11:30	3.59
3/20/01 12:00	7.18
3/20/01 12:30	4.06
3/20/01 13:00	3.59
3/20/01 13:30	3.59
3/20/01 14:00	3.59
3/20/01 14:30	3.59
3/20/01 15:00	3.59
3/20/01 15:30	3.59
3/20/01 16:00	3.75
3/20/01 16:30	3.59
3/20/01 17:00	3.59
3/20/01 17:30	3.59
3/20/01 18:00	3.59
3/20/01 18:30	3.59
3/20/01 19:00	3.59
3/20/01 19:30	3.43
3/20/01 20:00	3.43
3/20/01 20:30	3.43
3/20/01 21:00	3.59
3/20/01 21:30	3.59
3/20/01 22:00	3.59
3/20/01 22:30	3.59
3/20/01 23:00	3.59
3/20/01 23:30	3.75
3/21/01 0:00	3.75
3/21/01 0:30	3.75
3/21/01 1:00	3.75
3/21/01 1:30	3.75
3/21/01 2:00	3.75
3/21/01 2:30	3.59
3/21/01 3:00	3.75
3/21/01 3:30	3.75
3/21/01 4:00	3.75
3/21/01 4:30	3.59
3/21/01 5:00	3.59
3/21/01 5:30	3.59
3/21/01 6:00	3.59
3/21/01 6:30	3.59
3/21/01 7:00	3.43
3/21/01 7:30	3.59
3/21/01 8:00	3.59
3/21/01 8:30	3.59
3/21/01 9:00	3.59
3/21/01 9:30	3.59
3/21/01 10:00	3.59
3/21/01 10:30	3.59
3/21/01 11:00	3.59
3/21/01 11:30	3.59
3/21/01 12:00	3.59
3/21/01 12:30	3.59
3/21/01 13:00	3.59
3/21/01 13:30	3.75
3/21/01 14:00	3.75
3/21/01 14:30	3.59
3/21/01 15:00	3.59
3/21/01 15:30	3.59
3/21/01 16:00	3.75
3/21/01 16:30	3.75
3/21/01 17:00	3.59
3/21/01 17:30	3.75
3/21/01 18:00	3.75
3/21/01 18:30	3.75
3/21/01 19:00	3.75
3/21/01 19:30	3.59
3/21/01 20:00	3.75
3/21/01 20:30	3.59
3/21/01 21:00	3.59
3/21/01 21:30	3.59
3/21/01 22:00	3.59
3/21/01 22:30	3.59
3/21/01 23:00	3.59
3/21/01 23:30	3.59
3/22/01 0:00	3.59
3/22/01 0:30	3.59
3/22/01 1:00	3.59
3/22/01 1:30	3.59
3/22/01 2:00	3.59
3/22/01 2:30	3.59
3/22/01 3:00	3.59
3/22/01 3:30	3.59
3/22/01 4:00	3.59
3/22/01 4:30	3.59
3/22/01 5:00	3.59
3/22/01 5:30	3.59
3/22/01 6:00	3.75
3/22/01 6:30	3.75
3/22/01 7:00	3.75
3/22/01 7:30	3.75
3/22/01 8:00	3.75
3/22/01 8:30	3.75
3/22/01 9:00	3.75
3/22/01 9:30	3.75
3/22/01 10:00	3.75
3/22/01 10:30	3.75
3/22/01 11:00	3.75
3/22/01 11:30	3.75
3/22/01 12:00	3.75
3/22/01 12:30	3.75
3/22/01 13:00	3.75
3/22/01 13:30	3.75
3/22/01 14:00	3.75
3/22/01 14:30	3.75
3/22/01 15:00	3.75
3/22/01 15:30	3.75
3/22/01 16:00	3.75
3/22/01 16:30	3.75
3/22/01 17:00	3.75
3/22/01 17:30	3.75
3/22/01 18:00	3.75
3/22/01 18:30	3.75
3/22/01 19:00	3.75
3/22/01 19:30	3.75
3/22/01 20:00	3.75
3/22/01 20:30	3.75
3/22/01 21:00	3.75
3/22/01 21:30	3.75
3/22/01 22:00	3.75
3/22/01 22:30	3.75
3/22/01 23:00	3.75
3/22/01 23:30	3.75
3/23/01 0:00	3.75
3/23/01 0:30	3.75
3/23/01 1:00	3.75
3/23/01 1:30	3.75
3/23/01 2:00	3.75
3/23/01 2:30	3.75
3/23/01 3:00	3.75
3/23/01 3:30	3.75
3/23/01 4:00	3.75
3/23/01 4:30	3.75
3/23/01 5:00	3.59
3/23/01 5:30	3.59
3/23/01 6:00	3.59
3/23/01 6:30	3.59
3/23/01 7:00	3.59
3/23/01 7:30	3.59
3/23/01 8:00	3.59
3/23/01 8:30	3.59
3/23/01 9:00	3.59
3/23/01 9:30	3.59
3/23/01 10:00	3.59
3/23/01 10:30	3.75
3/23/01 11:00	3.59
3/23/01 11:30	3.59
3/23/01 12:00	3.75
3/23/01 12:30	3.59
3/23/01 13:00	3.59
3/23/01 13:30	3.59
3/23/01 14:00	3.59
3/23/01 14:30	3.59
3/23/01 15:00	3.59
3/23/01 15:30	3.59
3/23/01 16:00	3.59
3/23/01 16:30	3.59
3/23/01 17:00	3.59
3/23/01 17:30	3.59
3/23/01 18:00	3.59
3/23/01 18:30	3.59
3/23/01 19:00	3.59
3/23/01 19:30	3.59
3/23/01 20:00	3.59
3/23/01 20:30	3.59
3/23/01 21:00	3.59
3/23/01 21:30	3.59
3/23/01 22:00	3.59
3/23/01 22:30	3.59
3/23/01 23:00	3.59
3/23/01 23:30	3.59
3/24/01 0:00	3.59
3/24/01 0:30	3.59
3/24/01 1:00	3.59
3/24/01 1:30	3.59
3/24/01 2:00	3.59
3/24/01 2:30	3.59
3/24/01 3:00	3.59
3/24/01 3:30	3.59
3/24/01 4:00	3.59
3/24/01 4:30	3.75
3/24/01 5:00	3.75
3/24/01 5:30	3.75
3/24/01 6:00	3.75
3/24/01 6:30	3.59
3/24/01 7:00	3.59
3/24/01 7:30	3.59
3/24/01 8:00	3.59
3/24/01 8:30	3.59
3/24/01 9:00	3.59
3/24/01 9:30	3.59
3/24/01 10:00	3.59
3/24/01 10:30	3.59
3/24/01 11:00	3.59
3/24/01 11:30	3.59
3/24/01 12:00	3.59
3/24/01 12:30	3.59
3/24/01 13:00	3.59
3/24/01 13:30	3.75
3/24/01 14:00	3.9
3/24/01 14:30	3.9
3/24/01 15:00	3.9
3/24/01 15:30	3.75
3/24/01 16:00	3.75
3/24/01 16:30	3.75
3/24/01 17:00	3.9
3/24/01 17:30	3.75
3/24/01 18:00	3.9
3/24/01 18:30	3.75
3/24/01 19:00	3.75
3/24/01 19:30	3.75
3/24/01 20:00	3.75
3/24/01 20:30	3.75
3/24/01 21:00	3.75
3/24/01 21:30	3.75
3/24/01 22:00	3.75
3/24/01 22:30	3.75
3/24/01 23:00	3.75
3/24/01 23:30	3.75
3/25/01 0:00	3.75
3/25/01 0:30	3.9
3/25/01 1:00	3.9
3/25/01 1:30	3.9
3/25/01 2:00	3.75
3/25/01 2:30	3.75
3/25/01 3:00	3.75
3/25/01 3:30	3.75
3/25/01 4:00	3.75
3/25/01 4:30	3.75
3/25/01 5:00	3.75
3/25/01 5:30	3.75
3/25/01 6:00	3.75
3/25/01 6:30	3.75
3/25/01 7:00	3.75
3/25/01 7:30	3.75
3/25/01 8:00	3.59
3/25/01 8:30	3.59
3/25/01 9:00	3.59
3/25/01 9:30	3.59
3/25/01 10:00	3.75
3/25/01 10:30	3.75
3/25/01 11:00	3.75
3/25/01 11:30	3.75
3/25/01 12:00	3.75
3/25/01 12:30	3.75
3/25/01 13:00	3.75
3/25/01 13:30	3.75
3/25/01 14:00	3.75
3/25/01 14:30	3.75
3/25/01 15:00	3.75
3/25/01 15:30	3.75
3/25/01 16:00	3.75
3/25/01 16:30	3.75
3/25/01 17:00	3.75
3/25/01 17:30	3.75
3/25/01 18:00	3.75
3/25/01 18:30	3.75
3/25/01 19:00	3.75
3/25/01 19:30	3.75
3/25/01 20:00	3.75
3/25/01 20:30	3.75
3/25/01 21:00	3.75
3/25/01 21:30	3.75
3/25/01 22:00	3.75
3/25/01 22:30	3.75
3/25/01 23:00	3.75
3/25/01 23:30	3.75
3/26/01 0:00	3.75
3/26/01 0:30	3.75
3/26/01 1:00	3.75
3/26/01 1:30	3.75
3/26/01 2:00	3.75
3/26/01 2:30	3.75
3/26/01 3:00	3.75
3/26/01 3:30	3.75
3/26/01 4:00	3.75
3/26/01 4:30	3.75
3/26/01 5:00	3.75
3/26/01 5:30	3.75
3/26/01 6:00	3.75
3/26/01 6:30	3.75
3/26/01 7:00	3.75
3/26/01 7:30	3.75
3/26/01 8:00	3.75
3/26/01 8:30	3.75
3/26/01 9:00	3.75
3/26/01 9:30	3.75
3/26/01 10:00	3.75
3/26/01 10:30	3.75
3/26/01 11:00	3.75
3/26/01 11:30	3.75
3/26/01 12:00	3.59
3/26/01 12:30	3.59
3/26/01 13:00	3.59
3/26/01 13:30	3.75
3/26/01 14:00	3.75
3/26/01 14:30	3.75
3/26/01 15:00	3.75
3/26/01 15:30	3.75
3/26/01 16:00	3.75
3/26/01 16:30	3.9
3/26/01 17:00	3.9
3/26/01 17:30	3.9
3/26/01 18:00	3.9
3/26/01 18:30	3.9
3/26/01 19:00	3.9
3/26/01 19:30	3.9
3/26/01 20:00	3.9
3/26/01 20:30	3.75
3/26/01 21:00	3.75
3/26/01 21:30	3.75
3/26/01 22:00	3.59
3/26/01 22:30	3.59
3/26/01 23:00	3.59
3/26/01 23:30	3.59
3/27/01 0:00	3.59
3/27/01 0:30	3.59
3/27/01 1:00	3.75
3/27/01 1:30	3.75
3/27/01 2:00	3.75
3/27/01 2:30	3.75
3/27/01 3:00	3.75
3/27/01 3:30	3.75
3/27/01 4:00	3.59
3/27/01 4:30	3.59
3/27/01 5:00	3.59
3/27/01 5:30	3.59
3/27/01 6:00	3.59
3/27/01 6:30	3.59
3/27/01 7:00	3.59
3/27/01 7:30	3.59
3/27/01 8:00	3.59
3/27/01 8:30	3.59
3/27/01 9:00	3.75
3/27/01 9:30	3.75
3/27/01 10:00	3.75
3/27/01 10:30	3.75
3/27/01 11:00	3.75
3/27/01 11:30	3.59
3/27/01 12:00	3.75
3/27/01 12:30	3.59
3/27/01 13:00	3.75
3/27/01 13:30	3.75
3/27/01 14:00	3.75
3/27/01 14:30	3.75
3/27/01 15:00	3.75
3/27/01 15:30	3.75
3/27/01 16:00	3.75
3/27/01 16:30	3.75
3/27/01 17:00	3.75
3/27/01 17:30	3.75
3/27/01 18:00	3.75
3/27/01 18:30	3.75
3/27/01 19:00	3.75
3/27/01 19:30	3.75
3/27/01 20:00	3.75
3/27/01 20:30	3.75
3/27/01 21:00	3.75
3/27/01 21:30	3.75
3/27/01 22:00	3.75
3/27/01 22:30	3.75
3/27/01 23:00	3.59
3/27/01 23:30	3.59
3/28/01 0:00	3.59
3/28/01 0:30	3.75
3/28/01 1:00	3.75
3/28/01 1:30	3.75
3/28/01 2:00	3.75
3/28/01 2:30	3.75
3/28/01 3:00	3.75
3/28/01 3:30	3.75
3/28/01 4:00	3.59
3/28/01 4:30	3.59
3/28/01 5:00	3.59
3/28/01 5:30	3.59
3/28/01 6:00	3.59
3/28/01 6:30	3.59
3/28/01 7:00	3.59
3/28/01 7:30	3.59
3/28/01 8:00	3.59
3/28/01 8:30	3.59
3/28/01 9:00	3.59
3/28/01 9:30	3.75
3/28/01 10:00	3.75
3/28/01 10:30	3.75
