Plot Title: HRO080805	
"Date Time, GMT-04:00"	"H05 Temp., °C (LGR S/N: 778179)"
8/8/05 13:00	20.91
8/8/05 13:30	22.9
8/8/05 14:00	8.36
8/8/05 14:30	7.75
8/8/05 15:00	7.6
8/8/05 15:30	7.75
8/8/05 16:00	8.36
8/8/05 16:30	8.36
8/8/05 17:00	8.36
8/8/05 17:30	8.82
8/8/05 18:00	8.82
8/8/05 18:30	11.14
8/8/05 19:00	10.06
8/8/05 19:30	9.13
8/8/05 20:00	10.06
8/8/05 20:30	9.75
8/8/05 21:00	10.06
8/8/05 21:30	10.37
8/8/05 22:00	9.59
8/8/05 22:30	8.67
8/8/05 23:00	8.67
8/8/05 23:30	8.67
8/9/05 0:00	8.36
8/9/05 0:30	8.06
8/9/05 1:00	7.9
8/9/05 1:30	7.44
8/9/05 2:00	7.44
8/9/05 2:30	7.29
8/9/05 3:00	8.67
8/9/05 3:30	8.36
8/9/05 4:00	7.9
8/9/05 4:30	8.36
8/9/05 5:00	8.06
8/9/05 5:30	8.67
8/9/05 6:00	8.98
8/9/05 6:30	11.6
8/9/05 7:00	11.75
8/9/05 7:30	11.44
8/9/05 8:00	11.44
8/9/05 8:30	10.68
8/9/05 9:00	10.83
8/9/05 9:30	10.22
8/9/05 10:00	10.37
8/9/05 10:30	9.44
8/9/05 11:00	9.13
8/9/05 11:30	9.13
8/9/05 12:00	8.98
8/9/05 12:30	8.21
8/9/05 13:00	8.52
8/9/05 13:30	8.21
8/9/05 14:00	7.6
8/9/05 14:30	7.6
8/9/05 15:00	6.98
8/9/05 15:30	7.13
8/9/05 16:00	8.06
8/9/05 16:30	8.52
8/9/05 17:00	8.52
8/9/05 17:30	8.36
8/9/05 18:00	8.21
8/9/05 18:30	9.29
8/9/05 19:00	8.52
8/9/05 19:30	9.44
8/9/05 20:00	11.75
8/9/05 20:30	9.44
8/9/05 21:00	9.44
8/9/05 21:30	9.75
8/9/05 22:00	10.22
8/9/05 22:30	9.13
8/9/05 23:00	9.59
8/9/05 23:30	9.29
8/10/05 0:00	8.82
8/10/05 0:30	8.36
8/10/05 1:00	8.52
8/10/05 1:30	8.36
8/10/05 2:00	8.36
8/10/05 2:30	7.29
8/10/05 3:00	7.13
8/10/05 3:30	7.13
8/10/05 4:00	7.9
8/10/05 4:30	7.9
8/10/05 5:00	7.9
8/10/05 5:30	8.06
8/10/05 6:00	8.21
8/10/05 6:30	8.67
8/10/05 7:00	8.67
8/10/05 7:30	8.82
8/10/05 8:00	9.29
8/10/05 8:30	9.44
8/10/05 9:00	9.29
8/10/05 9:30	9.13
8/10/05 10:00	9.59
8/10/05 10:30	8.98
8/10/05 11:00	8.98
8/10/05 11:30	8.36
8/10/05 12:00	9.29
8/10/05 12:30	8.98
8/10/05 13:00	8.36
8/10/05 13:30	8.36
8/10/05 14:00	7.75
8/10/05 14:30	7.6
8/10/05 15:00	7.6
8/10/05 15:30	7.44
8/10/05 16:00	7.29
8/10/05 16:30	7.13
8/10/05 17:00	7.29
8/10/05 17:30	7.13
8/10/05 18:00	7.29
8/10/05 18:30	8.52
8/10/05 19:00	7.9
8/10/05 19:30	8.36
8/10/05 20:00	8.52
8/10/05 20:30	8.67
8/10/05 21:00	9.9
8/10/05 21:30	11.6
8/10/05 22:00	9.29
8/10/05 22:30	8.98
8/10/05 23:00	9.44
8/10/05 23:30	9.75
8/11/05 0:00	8.82
8/11/05 0:30	8.52
8/11/05 1:00	8.21
