Plot Title: Halfway Rock Outer 5-24-11	
"Date Time, GMT-07:00"	"Temp, °C (LGR S/N: 2380790, SEN S/N: 2380790)"
5/24/11 0:00	18.794
5/24/11 0:30	18.842
5/24/11 1:00	18.889
5/24/11 1:30	18.961
5/24/11 2:00	19.008
5/24/11 2:30	19.08
5/24/11 3:00	19.175
5/24/11 3:30	19.246
5/24/11 4:00	19.318
5/24/11 4:30	19.389
5/24/11 5:00	19.46
5/24/11 5:30	19.674
5/24/11 6:00	19.888
5/24/11 6:30	20.412
5/24/11 7:00	21.27
5/24/11 7:30	22.011
5/24/11 8:00	30.343
5/24/11 8:30	36.878
5/24/11 9:00	38.254
5/24/11 9:30	43.89
5/24/11 10:00	46.321
5/24/11 10:30	47.092
5/24/11 11:00	46.385
5/24/11 11:30	39.29
5/24/11 12:00	35.208
5/24/11 12:30	33.027
5/24/11 13:00	29.34
5/24/11 13:30	27.014
5/24/11 14:00	25.671
5/24/11 14:30	25.525
5/24/11 15:00	25.671
5/24/11 15:30	25.768
5/24/11 16:00	25.695
5/24/11 16:30	25.453
5/24/11 17:00	25.113
5/24/11 17:30	24.798
5/24/11 18:00	24.508
5/24/11 18:30	24.243
5/24/11 19:00	23.978
5/24/11 19:30	23.689
5/24/11 20:00	23.352
5/24/11 20:30	22.992
5/24/11 21:00	22.561
5/24/11 21:30	22.154
5/24/11 22:00	21.772
5/24/11 22:30	21.461
5/24/11 23:00	21.223
5/24/11 23:30	20.984
5/25/11 0:00	20.722
5/25/11 0:30	20.46
5/25/11 1:00	20.198
5/25/11 1:30	19.888
5/25/11 2:00	19.603
5/25/11 2:30	19.294
5/25/11 3:00	18.985
5/25/11 3:30	18.723
5/25/11 4:00	18.509
5/25/11 4:30	18.438
5/25/11 5:00	18.557
5/25/11 5:30	18.889
5/25/11 6:00	19.318
5/25/11 6:30	23.521
5/25/11 7:00	22.633
5/25/11 7:30	21.199
5/25/11 8:00	21.413
5/25/11 8:30	17.368
5/25/11 9:00	6.839
5/25/11 9:30	6.94
5/25/11 10:00	6.94
5/25/11 10:30	6.94
5/25/11 11:00	6.914
5/25/11 11:30	6.914
5/25/11 12:00	6.914
5/25/11 12:30	6.889
5/25/11 13:00	6.889
5/25/11 13:30	6.914
5/25/11 14:00	6.889
5/25/11 14:30	6.914
5/25/11 15:00	6.889
5/25/11 15:30	6.813
5/25/11 16:00	6.737
5/25/11 16:30	6.661
5/25/11 17:00	6.585
5/25/11 17:30	6.585
5/25/11 18:00	6.585
5/25/11 18:30	6.585
5/25/11 19:00	6.535
5/25/11 19:30	6.56
5/25/11 20:00	6.585
5/25/11 20:30	6.611
5/25/11 21:00	6.636
5/25/11 21:30	6.661
5/25/11 22:00	6.763
5/25/11 22:30	6.889
5/25/11 23:00	7.318
5/25/11 23:30	7.015
5/26/11 0:00	6.965
5/26/11 0:30	6.914
5/26/11 1:00	6.914
5/26/11 1:30	6.914
5/26/11 2:00	6.889
5/26/11 2:30	6.889
5/26/11 3:00	6.813
5/26/11 3:30	6.712
5/26/11 4:00	6.687
5/26/11 4:30	6.687
5/26/11 5:00	6.788
5/26/11 5:30	6.813
5/26/11 6:00	6.813
5/26/11 6:30	6.788
5/26/11 7:00	6.763
5/26/11 7:30	6.763
5/26/11 8:00	6.737
5/26/11 8:30	6.788
5/26/11 9:00	6.965
5/26/11 9:30	7.192
5/26/11 10:00	7.041
5/26/11 10:30	6.94
5/26/11 11:00	6.965
5/26/11 11:30	6.965
5/26/11 12:00	6.99
5/26/11 12:30	6.965
5/26/11 13:00	6.94
5/26/11 13:30	6.914
5/26/11 14:00	6.889
5/26/11 14:30	6.914
5/26/11 15:00	6.864
5/26/11 15:30	6.839
5/26/11 16:00	6.813
5/26/11 16:30	6.712
5/26/11 17:00	6.737
5/26/11 17:30	6.813
5/26/11 18:00	6.788
5/26/11 18:30	6.864
5/26/11 19:00	6.712
5/26/11 19:30	6.813
5/26/11 20:00	6.788
5/26/11 20:30	6.864
5/26/11 21:00	6.864
5/26/11 21:30	6.914
5/26/11 22:00	6.94
5/26/11 22:30	6.94
5/26/11 23:00	6.99
5/26/11 23:30	6.94
5/27/11 0:00	6.99
5/27/11 0:30	7.015
5/27/11 1:00	6.99
5/27/11 1:30	6.965
5/27/11 2:00	6.965
5/27/11 2:30	6.965
5/27/11 3:00	6.965
5/27/11 3:30	6.965
5/27/11 4:00	6.864
5/27/11 4:30	6.813
5/27/11 5:00	6.763
5/27/11 5:30	6.737
5/27/11 6:00	6.712
5/27/11 6:30	6.661
5/27/11 7:00	6.661
5/27/11 7:30	6.636
5/27/11 8:00	6.611
5/27/11 8:30	6.687
5/27/11 9:00	6.712
5/27/11 9:30	6.712
5/27/11 10:00	6.813
5/27/11 10:30	6.864
5/27/11 11:00	6.864
5/27/11 11:30	6.94
5/27/11 12:00	6.99
5/27/11 12:30	6.965
5/27/11 13:00	7.116
5/27/11 13:30	7.116
5/27/11 14:00	7.167
5/27/11 14:30	6.99
5/27/11 15:00	6.914
5/27/11 15:30	6.914
5/27/11 16:00	6.864
5/27/11 16:30	6.914
5/27/11 17:00	6.839
5/27/11 17:30	6.712
5/27/11 18:00	6.813
5/27/11 18:30	6.636
5/27/11 19:00	6.611
5/27/11 19:30	6.636
5/27/11 20:00	6.636
5/27/11 20:30	6.737
5/27/11 21:00	6.712
5/27/11 21:30	6.737
5/27/11 22:00	6.712
5/27/11 22:30	6.712
5/27/11 23:00	6.712
5/27/11 23:30	6.737
5/28/11 0:00	6.94
5/28/11 0:30	6.839
5/28/11 1:00	7.015
5/28/11 1:30	7.116
5/28/11 2:00	6.914
5/28/11 2:30	6.813
5/28/11 3:00	6.839
5/28/11 3:30	6.94
5/28/11 4:00	6.864
5/28/11 4:30	6.763
5/28/11 5:00	6.914
5/28/11 5:30	6.813
5/28/11 6:00	6.687
5/28/11 6:30	6.889
5/28/11 7:00	6.889
5/28/11 7:30	6.889
5/28/11 8:00	6.813
5/28/11 8:30	6.788
5/28/11 9:00	6.839
5/28/11 9:30	6.813
5/28/11 10:00	6.914
5/28/11 10:30	6.889
5/28/11 11:00	7.67
5/28/11 11:30	8.095
5/28/11 12:00	8.245
5/28/11 12:30	7.519
5/28/11 13:00	7.293
5/28/11 13:30	7.569
5/28/11 14:00	7.67
5/28/11 14:30	7.343
5/28/11 15:00	6.965
5/28/11 15:30	6.94
5/28/11 16:00	6.839
5/28/11 16:30	6.763
5/28/11 17:00	6.687
5/28/11 17:30	6.661
5/28/11 18:00	6.636
5/28/11 18:30	6.737
5/28/11 19:00	7.393
5/28/11 19:30	7.745
5/28/11 20:00	7.494
5/28/11 20:30	7.393
5/28/11 21:00	7.945
5/28/11 21:30	7.695
5/28/11 22:00	8.469
5/28/11 22:30	8.444
5/28/11 23:00	8.941
5/28/11 23:30	8.22
5/29/11 0:00	8.792
5/29/11 0:30	7.72
5/29/11 1:00	8.519
5/29/11 1:30	8.369
5/29/11 2:00	8.195
5/29/11 2:30	7.895
5/29/11 3:00	7.92
5/29/11 3:30	7.569
5/29/11 4:00	7.318
5/29/11 4:30	7.318
5/29/11 5:00	7.091
5/29/11 5:30	7.167
5/29/11 6:00	7.343
5/29/11 6:30	7.293
5/29/11 7:00	7.318
5/29/11 7:30	7.419
5/29/11 8:00	7.393
5/29/11 8:30	7.469
5/29/11 9:00	7.419
5/29/11 9:30	7.469
5/29/11 10:00	7.82
5/29/11 10:30	8.369
5/29/11 11:00	8.12
5/29/11 11:30	8.319
5/29/11 12:00	8.195
5/29/11 12:30	8.444
5/29/11 13:00	8.17
5/29/11 13:30	8.22
5/29/11 14:00	7.795
5/29/11 14:30	7.318
5/29/11 15:00	7.318
5/29/11 15:30	7.419
5/29/11 16:00	7.343
5/29/11 16:30	7.419
5/29/11 17:00	7.368
5/29/11 17:30	7.192
5/29/11 18:00	7.041
5/29/11 18:30	7.066
5/29/11 19:00	7.066
5/29/11 19:30	7.444
5/29/11 20:00	7.343
5/29/11 20:30	7.419
5/29/11 21:00	7.368
5/29/11 21:30	7.569
5/29/11 22:00	8.02
5/29/11 22:30	8.12
5/29/11 23:00	8.245
5/29/11 23:30	8.319
5/30/11 0:00	8.295
5/30/11 0:30	8.245
5/30/11 1:00	8.444
5/30/11 1:30	8.095
5/30/11 2:00	8.02
5/30/11 2:30	7.895
5/30/11 3:00	7.594
5/30/11 3:30	7.995
5/30/11 4:00	8.319
5/30/11 4:30	8.07
5/30/11 5:00	7.995
5/30/11 5:30	7.318
5/30/11 6:00	7.318
5/30/11 6:30	6.99
5/30/11 7:00	7.116
5/30/11 7:30	6.99
5/30/11 8:00	6.914
5/30/11 8:30	6.914
5/30/11 9:00	6.94
5/30/11 9:30	6.914
5/30/11 10:00	7.015
5/30/11 10:30	7.393
5/30/11 11:00	7.619
5/30/11 11:30	8.17
5/30/11 12:00	8.145
5/30/11 12:30	8.07
5/30/11 13:00	8.245
5/30/11 13:30	8.195
5/30/11 14:00	8.045
5/30/11 14:30	8.841
5/30/11 15:00	8.07
5/30/11 15:30	7.82
5/30/11 16:00	7.77
5/30/11 16:30	7.494
5/30/11 17:00	7.343
5/30/11 17:30	7.142
5/30/11 18:00	7.167
5/30/11 18:30	7.066
5/30/11 19:00	7.368
5/30/11 19:30	7.268
5/30/11 20:00	7.368
5/30/11 20:30	7.167
5/30/11 21:00	7.343
5/30/11 21:30	7.318
5/30/11 22:00	7.519
5/30/11 22:30	7.619
5/30/11 23:00	7.67
5/30/11 23:30	7.82
5/31/11 0:00	8.593
5/31/11 0:30	8.618
5/31/11 1:00	8.469
5/31/11 1:30	8.22
5/31/11 2:00	10.956
5/31/11 2:30	8.618
5/31/11 3:00	8.22
5/31/11 3:30	8.319
5/31/11 4:00	8.618
5/31/11 4:30	7.87
5/31/11 5:00	7.544
5/31/11 5:30	7.795
5/31/11 6:00	7.318
5/31/11 6:30	7.318
5/31/11 7:00	7.318
5/31/11 7:30	7.217
5/31/11 8:00	7.015
5/31/11 8:30	7.066
5/31/11 9:00	7.242
5/31/11 9:30	7.469
5/31/11 10:00	7.569
5/31/11 10:30	7.82
5/31/11 11:00	8.618
5/31/11 11:30	8.866
5/31/11 12:00	8.618
5/31/11 12:30	8.469
5/31/11 13:00	8.841
5/31/11 13:30	10.541
5/31/11 14:00	9.78
5/31/11 14:30	9.287
5/31/11 15:00	9.336
5/31/11 15:30	10.736
5/31/11 16:00	9.312
5/31/11 16:30	8.469
5/31/11 17:00	8.07
5/31/11 17:30	7.745
5/31/11 18:00	7.92
5/31/11 18:30	7.343
5/31/11 19:00	7.167
5/31/11 19:30	7.268
5/31/11 20:00	7.217
5/31/11 20:30	7.242
5/31/11 21:00	7.217
5/31/11 21:30	7.167
5/31/11 22:00	7.268
5/31/11 22:30	7.594
5/31/11 23:00	7.87
5/31/11 23:30	8.543
6/1/11 0:00	10.051
6/1/11 0:30	10.614
6/1/11 1:00	10.858
6/1/11 1:30	11.005
6/1/11 2:00	10.638
6/1/11 2:30	9.583
6/1/11 3:00	9.188
6/1/11 3:30	9.114
6/1/11 4:00	9.163
6/1/11 4:30	9.977
6/1/11 5:00	9.509
6/1/11 5:30	8.494
6/1/11 6:00	8.22
6/1/11 6:30	8.17
6/1/11 7:00	8.295
6/1/11 7:30	7.995
6/1/11 8:00	7.594
6/1/11 8:30	7.368
6/1/11 9:00	7.368
6/1/11 9:30	7.318
6/1/11 10:00	7.217
6/1/11 10:30	7.293
6/1/11 11:00	7.293
6/1/11 11:30	7.167
6/1/11 12:00	7.192
6/1/11 12:30	7.142
6/1/11 13:00	7.368
6/1/11 13:30	7.519
6/1/11 14:00	7.368
6/1/11 14:30	7.745
6/1/11 15:00	7.745
6/1/11 15:30	8.369
6/1/11 16:00	8.369
6/1/11 16:30	9.312
6/1/11 17:00	10.907
6/1/11 17:30	8.27
6/1/11 18:00	7.469
6/1/11 18:30	7.343
6/1/11 19:00	7.67
6/1/11 19:30	7.217
6/1/11 20:00	7.066
6/1/11 20:30	7.041
6/1/11 21:00	6.99
6/1/11 21:30	6.965
6/1/11 22:00	6.889
6/1/11 22:30	6.864
6/1/11 23:00	6.813
6/1/11 23:30	6.813
6/2/11 0:00	6.864
6/2/11 0:30	6.965
6/2/11 1:00	6.687
6/2/11 1:30	6.737
