Plot Title: HalfwayRkouterJun2014		
"Date Time, GMT-07:00"	"Temp, °C (LGR S/N: 9759220, SEN S/N: 9759220)"	Bad Battery (LGR S/N: 9759220)
6/19/14 14:00	9.952	
6/19/14 14:30	10.32	
6/19/14 15:00	9.312	
6/19/14 15:30	9.262	
6/19/14 16:00	9.213	
6/19/14 16:30	9.163	
6/19/14 17:00	9.46	
6/19/14 17:30	9.608	
6/19/14 18:00	9.534	
6/19/14 18:30	9.534	
6/19/14 19:00	9.731	
6/19/14 19:30	9.706	
6/19/14 20:00	9.903	
6/19/14 20:30	10.051	
6/19/14 21:00	9.731	
6/19/14 21:30	9.756	
6/19/14 22:00	9.608	
6/19/14 22:30	9.534	
6/19/14 23:00	9.78	
6/19/14 23:30	9.731	
6/20/14 0:00	9.682	
6/20/14 0:30	9.558	
6/20/14 1:00	9.509	
6/20/14 1:30	9.682	
6/20/14 2:00	9.608	
6/20/14 2:30	9.854	
6/20/14 3:00	10.198	
6/20/14 3:30	10.907	
6/20/14 4:00	10.932	
6/20/14 4:30	11.053	
6/20/14 5:00	10.247	
6/20/14 5:30	10.394	
6/20/14 6:00	10.124	
6/20/14 6:30	10.467	
6/20/14 7:00	10.761	
6/20/14 7:30	10.492	
6/20/14 8:00	11.613	
6/20/14 8:30	10.638	
6/20/14 9:00	10.761	
6/20/14 9:30	10.345	
6/20/14 10:00	10.247	
6/20/14 10:30	10.1	
6/20/14 11:00	10.001	
6/20/14 11:30	9.854	
6/20/14 12:00	9.608	
6/20/14 12:30	9.41	
6/20/14 13:00	9.262	
6/20/14 13:30	9.163	
6/20/14 14:00	9.213	
6/20/14 14:30	9.262	
6/20/14 15:00	9.41	
6/20/14 15:30	9.534	
6/20/14 16:00	9.608	
6/20/14 16:30	9.682	
6/20/14 17:00	9.756	
6/20/14 17:30	9.903	
6/20/14 18:00	10.124	
6/20/14 18:30	10.173	
6/20/14 19:00	10.222	
6/20/14 19:30	10.247	
6/20/14 20:00	10.32	
6/20/14 20:30	10.418	
6/20/14 21:00	10.516	
6/20/14 21:30	10.638	
6/20/14 22:00	10.712	
6/20/14 22:30	10.834	
6/20/14 23:00	11.005	
6/20/14 23:30	11.078	
6/21/14 0:00	11.053	
6/21/14 0:30	10.956	
6/21/14 1:00	10.247	
6/21/14 1:30	10.1	
6/21/14 2:00	10.173	
6/21/14 2:30	9.583	
