Plot Title: HR012.13.99	
"Date Time, GMT-05:00"	"H05 Temp., °C (LGR S/N: 234139)"
12/13/99 21:08	21.77
12/13/99 21:38	21.6
12/13/99 22:08	21.1
12/13/99 22:38	19.97
12/13/99 23:08	18.67
12/13/99 23:38	14.53
12/14/99 0:08	12.68
12/14/99 0:38	10.51
12/14/99 1:08	11.44
12/14/99 1:38	12.52
12/14/99 2:08	10.36
12/14/99 2:38	7.26
12/14/99 3:08	7.26
12/14/99 3:38	7.26
12/14/99 4:08	7.26
12/14/99 4:38	7.26
12/14/99 5:08	7.26
12/14/99 5:38	7.26
12/14/99 6:08	7.26
12/14/99 6:38	7.26
12/14/99 7:08	7.26
12/14/99 7:38	7.26
12/14/99 8:08	7.26
12/14/99 8:38	7.26
12/14/99 9:08	7.26
12/14/99 9:38	7.26
12/14/99 10:08	7.26
12/14/99 10:38	7.26
12/14/99 11:08	7.26
12/14/99 11:38	7.26
12/14/99 12:08	7.26
12/14/99 12:38	7.26
12/14/99 13:08	7.26
12/14/99 13:38	7.26
12/14/99 14:08	7.26
12/14/99 14:38	7.41
12/14/99 15:08	7.41
12/14/99 15:38	7.41
12/14/99 16:08	7.26
12/14/99 16:38	7.26
12/14/99 17:08	7.26
12/14/99 17:38	7.26
12/14/99 18:08	7.26
12/14/99 18:38	7.26
12/14/99 19:08	7.26
12/14/99 19:38	7.26
12/14/99 20:08	7.26
12/14/99 20:38	7.26
12/14/99 21:08	7.26
12/14/99 21:38	7.26
12/14/99 22:08	7.26
12/14/99 22:38	7.26
12/14/99 23:08	7.26
12/14/99 23:38	7.26
12/15/99 0:08	7.41
12/15/99 0:38	7.41
12/15/99 1:08	7.41
12/15/99 1:38	7.41
12/15/99 2:08	7.26
12/15/99 2:38	7.41
12/15/99 3:08	7.41
12/15/99 3:38	7.41
12/15/99 4:08	7.41
12/15/99 4:38	7.41
12/15/99 5:08	7.41
12/15/99 5:38	7.26
12/15/99 6:08	7.41
12/15/99 6:38	7.26
12/15/99 7:08	7.26
12/15/99 7:38	7.26
12/15/99 8:08	7.26
12/15/99 8:38	7.26
12/15/99 9:08	7.26
12/15/99 9:38	7.41
12/15/99 10:08	7.41
12/15/99 10:38	7.41
12/15/99 11:08	7.41
12/15/99 11:38	7.41
12/15/99 12:08	7.41
12/15/99 12:38	7.41
12/15/99 13:08	7.41
12/15/99 13:38	7.41
12/15/99 14:08	7.41
12/15/99 14:38	7.41
12/15/99 15:08	7.41
12/15/99 15:38	7.57
12/15/99 16:08	7.72
12/15/99 16:38	7.88
12/15/99 17:08	7.88
12/15/99 17:38	7.88
12/15/99 18:08	7.88
12/15/99 18:38	7.88
12/15/99 19:08	7.88
