Date,HRI,HRO,YY,MM,DD
1978-01-01,NA,NA,1978,1,1
1978-01-02,NA,NA,1978,1,2
1978-01-03,NA,NA,1978,1,3
1978-01-04,NA,NA,1978,1,4
1978-01-05,NA,NA,1978,1,5
1978-01-06,NA,NA,1978,1,6
1978-01-07,NA,NA,1978,1,7
1978-01-08,NA,NA,1978,1,8
1978-01-09,NA,NA,1978,1,9
1978-01-10,NA,NA,1978,1,10
1978-01-11,NA,NA,1978,1,11
1978-01-12,NA,NA,1978,1,12
1978-01-13,NA,NA,1978,1,13
1978-01-14,NA,NA,1978,1,14
1978-01-15,NA,NA,1978,1,15
1978-01-16,NA,NA,1978,1,16
1978-01-17,NA,NA,1978,1,17
1978-01-18,NA,NA,1978,1,18
1978-01-19,NA,NA,1978,1,19
1978-01-20,NA,NA,1978,1,20
1978-01-21,NA,NA,1978,1,21
1978-01-22,NA,NA,1978,1,22
1978-01-23,NA,NA,1978,1,23
1978-01-24,NA,NA,1978,1,24
1978-01-25,NA,NA,1978,1,25
1978-01-26,NA,NA,1978,1,26
1978-01-27,NA,NA,1978,1,27
1978-01-28,NA,NA,1978,1,28
1978-01-29,NA,NA,1978,1,29
1978-01-30,NA,NA,1978,1,30
1978-01-31,NA,NA,1978,1,31
1978-02-01,NA,NA,1978,2,1
1978-02-02,NA,NA,1978,2,2
1978-02-03,NA,NA,1978,2,3
1978-02-04,NA,NA,1978,2,4
1978-02-05,NA,NA,1978,2,5
1978-02-06,NA,NA,1978,2,6
1978-02-07,NA,NA,1978,2,7
1978-02-08,NA,NA,1978,2,8
1978-02-09,NA,NA,1978,2,9
1978-02-10,NA,NA,1978,2,10
1978-02-11,NA,NA,1978,2,11
1978-02-12,NA,NA,1978,2,12
1978-02-13,NA,NA,1978,2,13
1978-02-14,NA,NA,1978,2,14
1978-02-15,NA,NA,1978,2,15
1978-02-16,NA,NA,1978,2,16
1978-02-17,NA,NA,1978,2,17
1978-02-18,NA,NA,1978,2,18
1978-02-19,NA,NA,1978,2,19
1978-02-20,NA,NA,1978,2,20
1978-02-21,NA,NA,1978,2,21
1978-02-22,NA,NA,1978,2,22
1978-02-23,NA,NA,1978,2,23
1978-02-24,NA,NA,1978,2,24
1978-02-25,NA,NA,1978,2,25
1978-02-26,NA,NA,1978,2,26
1978-02-27,NA,NA,1978,2,27
1978-02-28,NA,NA,1978,2,28
1978-03-01,NA,NA,1978,3,1
1978-03-02,NA,NA,1978,3,2
1978-03-03,NA,NA,1978,3,3
1978-03-04,NA,NA,1978,3,4
1978-03-05,NA,NA,1978,3,5
1978-03-06,NA,NA,1978,3,6
1978-03-07,NA,NA,1978,3,7
1978-03-08,NA,NA,1978,3,8
1978-03-09,NA,NA,1978,3,9
1978-03-10,NA,NA,1978,3,10
1978-03-11,NA,NA,1978,3,11
1978-03-12,NA,NA,1978,3,12
1978-03-13,NA,NA,1978,3,13
1978-03-14,NA,NA,1978,3,14
1978-03-15,NA,NA,1978,3,15
1978-03-16,NA,NA,1978,3,16
1978-03-17,NA,NA,1978,3,17
1978-03-18,NA,NA,1978,3,18
1978-03-19,NA,NA,1978,3,19
1978-03-20,NA,NA,1978,3,20
1978-03-21,NA,NA,1978,3,21
1978-03-22,NA,NA,1978,3,22
1978-03-23,NA,NA,1978,3,23
1978-03-24,NA,NA,1978,3,24
1978-03-25,NA,NA,1978,3,25
1978-03-26,NA,NA,1978,3,26
1978-03-27,NA,NA,1978,3,27
1978-03-28,NA,NA,1978,3,28
1978-03-29,NA,NA,1978,3,29
1978-03-30,NA,NA,1978,3,30
1978-03-31,NA,NA,1978,3,31
1978-04-01,NA,NA,1978,4,1
1978-04-02,NA,NA,1978,4,2
1978-04-03,NA,NA,1978,4,3
1978-04-04,NA,NA,1978,4,4
1978-04-05,NA,NA,1978,4,5
1978-04-06,NA,NA,1978,4,6
1978-04-07,NA,NA,1978,4,7
1978-04-08,NA,NA,1978,4,8
1978-04-09,NA,NA,1978,4,9
1978-04-10,NA,NA,1978,4,10
1978-04-11,NA,NA,1978,4,11
1978-04-12,NA,NA,1978,4,12
1978-04-13,NA,NA,1978,4,13
1978-04-14,NA,NA,1978,4,14
1978-04-15,NA,NA,1978,4,15
1978-04-16,NA,NA,1978,4,16
1978-04-17,NA,NA,1978,4,17
1978-04-18,NA,NA,1978,4,18
1978-04-19,NA,NA,1978,4,19
1978-04-20,NA,NA,1978,4,20
1978-04-21,NA,NA,1978,4,21
1978-04-22,NA,NA,1978,4,22
1978-04-23,NA,NA,1978,4,23
1978-04-24,NA,NA,1978,4,24
1978-04-25,NA,NA,1978,4,25
1978-04-26,NA,NA,1978,4,26
1978-04-27,NA,NA,1978,4,27
1978-04-28,NA,NA,1978,4,28
1978-04-29,NA,NA,1978,4,29
1978-04-30,NA,NA,1978,4,30
1978-05-01,NA,NA,1978,5,1
1978-05-02,NA,NA,1978,5,2
1978-05-03,NA,NA,1978,5,3
1978-05-04,NA,NA,1978,5,4
1978-05-05,NA,NA,1978,5,5
1978-05-06,NA,NA,1978,5,6
1978-05-07,NA,NA,1978,5,7
1978-05-08,NA,NA,1978,5,8
1978-05-09,NA,NA,1978,5,9
1978-05-10,NA,NA,1978,5,10
1978-05-11,NA,NA,1978,5,11
1978-05-12,NA,NA,1978,5,12
1978-05-13,NA,NA,1978,5,13
1978-05-14,NA,NA,1978,5,14
1978-05-15,NA,NA,1978,5,15
1978-05-16,NA,NA,1978,5,16
1978-05-17,NA,NA,1978,5,17
1978-05-18,NA,NA,1978,5,18
1978-05-19,NA,NA,1978,5,19
1978-05-20,NA,NA,1978,5,20
1978-05-21,NA,NA,1978,5,21
1978-05-22,NA,NA,1978,5,22
