Date,Time,Temperature
7/8/18,15:00,7.72
7/8/18,15:30,7.619
7/8/18,16:00,7.569
7/8/18,16:30,7.519
7/8/18,17:00,7.544
7/8/18,17:30,7.519
7/8/18,18:00,7.519
7/8/18,18:30,7.494
7/8/18,19:00,7.469
7/8/18,19:30,7.619
7/8/18,20:00,7.745
7/8/18,20:30,7.67
7/8/18,21:00,8.195
7/8/18,21:30,7.92
7/8/18,22:00,7.845
7/8/18,22:30,7.77
7/8/18,23:00,7.795
7/8/18,23:30,8.02
7/9/18,0:00,8.02
7/9/18,0:30,7.82
7/9/18,1:00,7.82
7/9/18,1:30,7.745
7/9/18,2:00,7.67
7/9/18,2:30,7.519
7/9/18,3:00,7.745
7/9/18,3:30,7.945
7/9/18,4:00,7.745
7/9/18,4:30,7.695
7/9/18,5:00,7.594
7/9/18,5:30,7.444
7/9/18,6:00,7.494
7/9/18,6:30,7.494
7/9/18,7:00,7.695
7/9/18,7:30,7.544
7/9/18,8:00,7.494
7/9/18,8:30,7.594
7/9/18,9:00,7.569
7/9/18,9:30,7.619
7/9/18,10:00,7.67
7/9/18,10:30,7.619
7/9/18,11:00,7.97
7/9/18,11:30,7.87
7/9/18,12:00,7.87
7/9/18,12:30,7.82
7/9/18,13:00,7.895
7/9/18,13:30,7.845
7/9/18,14:00,7.995
7/9/18,14:30,7.87
7/9/18,15:00,7.895
7/9/18,15:30,8.045
7/9/18,16:00,7.97
7/9/18,16:30,7.695
7/9/18,17:00,7.895
7/9/18,17:30,7.92
7/9/18,18:00,7.82
7/9/18,18:30,7.67
7/9/18,19:00,7.419
7/9/18,19:30,7.419
7/9/18,20:00,7.368
7/9/18,20:30,7.318
7/9/18,21:00,7.343
7/9/18,21:30,7.444
7/9/18,22:00,7.544
7/9/18,22:30,7.368
7/9/18,23:00,7.77
7/9/18,23:30,7.92
7/10/18,0:00,8.095
7/10/18,0:30,8.095
7/10/18,1:00,7.87
7/10/18,1:30,7.82
7/10/18,2:00,7.645
7/10/18,2:30,7.619
7/10/18,3:00,7.67
7/10/18,3:30,7.569
7/10/18,4:00,7.569
7/10/18,4:30,7.594
7/10/18,5:00,7.519
7/10/18,5:30,7.469
7/10/18,6:00,7.645
7/10/18,6:30,7.569
7/10/18,7:00,7.419
7/10/18,7:30,7.569
7/10/18,8:00,7.72
7/10/18,8:30,7.619
7/10/18,9:00,7.619
7/10/18,9:30,7.695
7/10/18,10:00,7.77
7/10/18,10:30,7.845
7/10/18,11:00,8.07
7/10/18,11:30,7.645
7/10/18,12:00,7.77
7/10/18,12:30,7.77
7/10/18,13:00,7.77
7/10/18,13:30,7.695
7/10/18,14:00,7.745
7/10/18,14:30,7.82
7/10/18,15:00,7.695
7/10/18,15:30,7.645
7/10/18,16:00,7.695
7/10/18,16:30,7.519
7/10/18,17:00,7.619
7/10/18,17:30,7.116
7/10/18,18:00,7.393
7/10/18,18:30,7.544
7/10/18,19:00,7.995
7/10/18,19:30,7.845
7/10/18,20:00,7.645
7/10/18,20:30,7.368
7/10/18,21:00,7.318
7/10/18,21:30,7.242
7/10/18,22:00,7.192
7/10/18,22:30,7.167
7/10/18,23:00,7.167
7/10/18,23:30,7.217
7/11/18,0:00,7.217
7/11/18,0:30,7.318
7/11/18,1:00,7.569
7/11/18,1:30,8.145
7/11/18,2:00,8.12
7/11/18,2:30,7.945
7/11/18,3:00,7.895
7/11/18,3:30,7.594
7/11/18,4:00,7.494
7/11/18,4:30,7.469
7/11/18,5:00,7.544
7/11/18,5:30,7.368
7/11/18,6:00,7.318
7/11/18,6:30,7.268
7/11/18,7:00,7.217
7/11/18,7:30,7.116
7/11/18,8:00,7.091
7/11/18,8:30,7.242
7/11/18,9:00,7.242
7/11/18,9:30,7.217
7/11/18,10:00,7.268
7/11/18,10:30,7.469
7/11/18,11:00,7.469
7/11/18,11:30,7.469
7/11/18,12:00,7.92
7/11/18,12:30,8.245
7/11/18,13:00,7.82
7/11/18,13:30,7.82
7/11/18,14:00,8.12
7/11/18,14:30,8.319
7/11/18,15:00,8.145
7/11/18,15:30,7.945
7/11/18,16:00,7.67
7/11/18,16:30,7.469
7/11/18,17:00,7.519
7/11/18,17:30,7.594
7/11/18,18:00,7.217
7/11/18,18:30,7.318
7/11/18,19:00,7.242
7/11/18,19:30,7.217
7/11/18,20:00,7.318
7/11/18,20:30,7.268
7/11/18,21:00,7.645
7/11/18,21:30,7.72
7/11/18,22:00,8.17
7/11/18,22:30,7.92
7/11/18,23:00,8.07
7/11/18,23:30,8.444
7/12/18,0:00,8.494
7/12/18,0:30,8.891
7/12/18,1:00,8.891
7/12/18,1:30,8.941
7/12/18,2:00,8.99
7/12/18,2:30,8.792
7/12/18,3:00,8.519
7/12/18,3:30,8.27
7/12/18,4:00,8.07
7/12/18,4:30,8.12
7/12/18,5:00,7.945
7/12/18,5:30,8.519
7/12/18,6:00,8.419
7/12/18,6:30,8.319
7/12/18,7:00,7.97
7/12/18,7:30,7.945
7/12/18,8:00,8.02
7/12/18,8:30,7.995
7/12/18,9:00,7.945
7/12/18,9:30,7.895
7/12/18,10:00,7.695
7/12/18,10:30,7.544
7/12/18,11:00,7.544
7/12/18,11:30,7.594
7/12/18,12:00,8.965
7/12/18,12:30,8.519
7/12/18,13:00,8.245
7/12/18,13:30,8.095
7/12/18,14:00,8.295
7/12/18,14:30,8.17
7/12/18,15:00,8.07
7/12/18,15:30,7.97
7/12/18,16:00,7.995
7/12/18,16:30,8.22
7/12/18,17:00,7.77
7/12/18,17:30,7.895
7/12/18,18:00,7.569
7/12/18,18:30,7.695
7/12/18,19:00,7.519
7/12/18,19:30,7.645
7/12/18,20:00,7.519
7/12/18,20:30,7.544
7/12/18,21:00,7.444
7/12/18,21:30,7.419
7/12/18,22:00,7.444
7/12/18,22:30,7.619
7/12/18,23:00,7.695
7/12/18,23:30,7.995
7/13/18,0:00,7.695
7/13/18,0:30,8.295
7/13/18,1:00,8.444
7/13/18,1:30,8.22
7/13/18,2:00,8.519
7/13/18,2:30,8.469
7/13/18,3:00,8.618
7/13/18,3:30,8.319
7/13/18,4:00,8.145
7/13/18,4:30,7.97
7/13/18,5:00,7.82
7/13/18,5:30,8.195
7/13/18,6:00,8.245
7/13/18,6:30,7.995
7/13/18,7:00,7.72
7/13/18,7:30,7.97
7/13/18,8:00,7.444
7/13/18,8:30,7.569
7/13/18,9:00,7.544
7/13/18,9:30,7.72
7/13/18,10:00,7.845
7/13/18,10:30,7.87
7/13/18,11:00,7.419
7/13/18,11:30,7.419
7/13/18,12:00,7.569
