Date,Time,Temperature
7/8/18,15:00,9.472
7/8/18,15:30,8.779
7/8/18,16:00,9.077
7/8/18,16:30,8.779
7/8/18,17:00,8.581
7/8/18,17:30,8.68
7/8/18,18:00,8.481
7/8/18,18:30,8.382
7/8/18,19:00,8.282
7/8/18,19:30,9.472
7/8/18,20:00,8.978
7/8/18,20:30,8.978
7/8/18,21:00,10.651
7/8/18,21:30,9.669
7/8/18,22:00,9.571
7/8/18,22:30,10.063
7/8/18,23:00,10.357
7/8/18,23:30,10.063
7/9/18,0:00,9.077
7/9/18,0:30,10.357
7/9/18,1:00,9.176
7/9/18,1:30,9.669
7/9/18,2:00,9.768
7/9/18,2:30,10.161
7/9/18,3:00,9.571
7/9/18,3:30,8.779
7/9/18,4:00,8.779
7/9/18,4:30,8.68
7/9/18,5:00,8.382
7/9/18,5:30,8.082
7/9/18,6:00,7.983
7/9/18,6:30,8.382
7/9/18,7:00,8.382
7/9/18,7:30,8.082
7/9/18,8:00,7.882
7/9/18,8:30,8.581
7/9/18,9:00,8.879
7/9/18,9:30,8.779
7/9/18,10:00,8.879
7/9/18,10:30,9.373
7/9/18,11:00,9.373
7/9/18,11:30,9.176
7/9/18,12:00,8.779
7/9/18,12:30,9.176
7/9/18,13:00,8.68
7/9/18,13:30,9.373
7/9/18,14:00,9.373
7/9/18,14:30,9.571
7/9/18,15:00,9.965
7/9/18,15:30,9.571
7/9/18,16:00,8.978
7/9/18,16:30,8.68
7/9/18,17:00,8.382
7/9/18,17:30,8.282
7/9/18,18:00,8.182
7/9/18,18:30,8.282
7/9/18,19:00,7.882
7/9/18,19:30,7.983
7/9/18,20:00,7.882
7/9/18,20:30,7.983
7/9/18,21:00,8.282
7/9/18,21:30,8.581
7/9/18,22:00,8.68
7/9/18,22:30,8.779
7/9/18,23:00,8.68
7/9/18,23:30,8.68
7/10/18,0:00,8.779
7/10/18,0:30,9.571
7/10/18,1:00,8.68
7/10/18,1:30,9.866
7/10/18,2:00,8.978
7/10/18,2:30,8.68
7/10/18,3:00,8.978
7/10/18,3:30,8.879
7/10/18,4:00,8.978
7/10/18,4:30,8.879
7/10/18,5:00,9.077
7/10/18,5:30,8.082
7/10/18,6:00,7.882
7/10/18,6:30,7.882
7/10/18,7:00,8.082
7/10/18,7:30,7.882
7/10/18,8:00,7.882
7/10/18,8:30,7.782
7/10/18,9:00,7.882
7/10/18,9:30,8.082
7/10/18,10:00,8.082
7/10/18,10:30,8.182
7/10/18,11:00,8.382
7/10/18,11:30,8.581
7/10/18,12:00,8.481
7/10/18,12:30,8.68
7/10/18,13:00,8.581
7/10/18,13:30,8.68
7/10/18,14:00,8.978
7/10/18,14:30,8.879
7/10/18,15:00,8.581
7/10/18,15:30,8.481
7/10/18,16:00,8.581
7/10/18,16:30,8.779
7/10/18,17:00,8.978
7/10/18,17:30,8.481
7/10/18,18:00,8.978
7/10/18,18:30,8.282
7/10/18,19:00,8.282
7/10/18,19:30,8.382
7/10/18,20:00,8.182
7/10/18,20:30,8.182
7/10/18,21:00,7.782
7/10/18,21:30,7.782
7/10/18,22:00,7.782
7/10/18,22:30,7.782
7/10/18,23:00,7.682
7/10/18,23:30,7.682
7/11/18,0:00,7.682
7/11/18,0:30,7.481
7/11/18,1:00,8.082
