Date,Time,Temperature
7/8/18,15:00,12.787
7/8/18,15:30,12.304
7/8/18,16:00,12.013
7/8/18,16:30,11.819
7/8/18,17:00,11.334
7/8/18,17:30,11.041
7/8/18,18:00,11.041
7/8/18,18:30,11.236
7/8/18,19:00,11.041
7/8/18,19:30,10.846
7/8/18,20:00,11.139
7/8/18,20:30,11.722
7/8/18,21:00,14.134
7/8/18,21:30,14.421
7/8/18,22:00,14.325
7/8/18,22:30,15.569
7/8/18,23:00,14.421
7/8/18,23:30,13.461
7/9/18,0:00,13.076
7/9/18,0:30,12.787
7/9/18,1:00,12.69
7/9/18,1:30,12.497
7/9/18,2:00,12.304
7/9/18,2:30,12.401
7/9/18,3:00,12.304
7/9/18,3:30,11.722
7/9/18,4:00,11.819
7/9/18,4:30,11.625
7/9/18,5:00,10.846
7/9/18,5:30,10.553
7/9/18,6:00,10.553
7/9/18,6:30,11.431
7/9/18,7:00,10.161
7/9/18,7:30,10.161
7/9/18,8:00,10.161
7/9/18,8:30,11.334
7/9/18,9:00,11.431
7/9/18,9:30,11.528
7/9/18,10:00,11.625
7/9/18,10:30,11.819
7/9/18,11:00,13.461
7/9/18,11:30,13.365
7/9/18,12:00,12.594
7/9/18,12:30,12.98
7/9/18,13:00,12.98
7/9/18,13:30,13.365
7/9/18,14:00,14.325
7/9/18,14:30,12.594
7/9/18,15:00,12.594
7/9/18,15:30,12.207
7/9/18,16:00,12.013
7/9/18,16:30,12.11
7/9/18,17:00,11.236
7/9/18,17:30,10.944
7/9/18,18:00,10.748
7/9/18,18:30,9.866
7/9/18,19:00,9.472
7/9/18,19:30,9.373
7/9/18,20:00,9.077
7/9/18,20:30,8.879
7/9/18,21:00,8.779
7/9/18,21:30,9.669
7/9/18,22:00,9.768
7/9/18,22:30,10.357
7/9/18,23:00,9.472
7/9/18,23:30,9.669
7/10/18,0:00,11.041
7/10/18,0:30,12.883
7/10/18,1:00,12.69
7/10/18,1:30,12.787
7/10/18,2:00,12.497
7/10/18,2:30,12.013
7/10/18,3:00,11.819
7/10/18,3:30,12.207
7/10/18,4:00,12.013
7/10/18,4:30,11.819
7/10/18,5:00,11.722
7/10/18,5:30,10.553
7/10/18,6:00,10.357
7/10/18,6:30,9.965
7/10/18,7:00,9.866
7/10/18,7:30,9.768
7/10/18,8:00,9.472
7/10/18,8:30,9.275
7/10/18,9:00,9.472
7/10/18,9:30,9.077
7/10/18,10:00,9.077
7/10/18,10:30,9.768
7/10/18,11:00,9.669
7/10/18,11:30,9.866
7/10/18,12:00,10.161
7/10/18,12:30,10.357
7/10/18,13:00,11.722
7/10/18,13:30,11.528
7/10/18,14:00,12.883
7/10/18,14:30,13.269
7/10/18,15:00,11.528
7/10/18,15:30,10.944
7/10/18,16:00,10.846
7/10/18,16:30,10.455
7/10/18,17:00,11.139
7/10/18,17:30,10.846
7/10/18,18:00,10.846
7/10/18,18:30,10.846
7/10/18,19:00,9.768
7/10/18,19:30,9.866
7/10/18,20:00,8.978
7/10/18,20:30,9.077
7/10/18,21:00,8.978
7/10/18,21:30,8.581
7/10/18,22:00,8.382
7/10/18,22:30,8.282
7/10/18,23:00,8.481
7/10/18,23:30,8.382
7/11/18,0:00,8.382
7/11/18,0:30,9.176
7/11/18,1:00,9.275
7/11/18,1:30,9.275
7/11/18,2:00,12.207
7/11/18,2:30,11.236
7/11/18,3:00,10.748
7/11/18,3:30,9.965
7/11/18,4:00,9.965
7/11/18,4:30,9.965
7/11/18,5:00,10.651
7/11/18,5:30,11.139
7/11/18,6:00,11.431
7/11/18,6:30,11.041
7/11/18,7:00,10.063
7/11/18,7:30,9.669
7/11/18,8:00,8.879
7/11/18,8:30,9.077
7/11/18,9:00,9.176
7/11/18,9:30,8.879
7/11/18,10:00,8.978
7/11/18,10:30,9.571
7/11/18,11:00,9.275
7/11/18,11:30,9.669
7/11/18,12:00,12.401
7/11/18,12:30,15.951
7/11/18,13:00,16.427
7/11/18,13:30,15.569
7/11/18,14:00,12.98
7/11/18,14:30,12.883
7/11/18,15:00,12.304
7/11/18,15:30,16.141
7/11/18,16:00,15.855
7/11/18,16:30,15.664
7/11/18,17:00,13.173
7/11/18,17:30,15.091
7/11/18,18:00,12.594
7/11/18,18:30,10.748
7/11/18,19:00,9.866
7/11/18,19:30,9.472
7/11/18,20:00,10.455
7/11/18,20:30,10.161
7/11/18,21:00,9.866
7/11/18,21:30,11.431
7/11/18,22:00,11.041
7/11/18,22:30,12.013
7/11/18,23:00,13.846
7/11/18,23:30,11.819
7/12/18,0:00,14.804
7/12/18,0:30,15.664
7/12/18,1:00,14.996
7/12/18,1:30,14.038
7/12/18,2:00,13.365
7/12/18,2:30,13.846
7/12/18,3:00,13.846
7/12/18,3:30,14.421
7/12/18,4:00,14.134
7/12/18,4:30,13.654
7/12/18,5:00,13.846
7/12/18,5:30,13.076
7/12/18,6:00,13.076
7/12/18,6:30,13.654
7/12/18,7:00,12.883
7/12/18,7:30,12.207
7/12/18,8:00,12.497
7/12/18,8:30,11.916
7/12/18,9:00,11.431
7/12/18,9:30,11.139
7/12/18,10:00,11.236
7/12/18,10:30,11.236
7/12/18,11:00,11.139
7/12/18,11:30,11.528
7/12/18,12:00,16.141
7/12/18,12:30,14.134
7/12/18,13:00,14.325
7/12/18,13:30,15.282
7/12/18,14:00,16.046
7/12/18,14:30,17.475
7/12/18,15:00,17.57
7/12/18,15:30,17.95
7/12/18,16:00,14.517
7/12/18,16:30,14.9
7/12/18,17:00,14.517
7/12/18,17:30,15.282
7/12/18,18:00,14.804
7/12/18,18:30,13.365
7/12/18,19:00,13.173
7/12/18,19:30,11.819
7/12/18,20:00,11.041
7/12/18,20:30,11.819
7/12/18,21:00,11.236
7/12/18,21:30,10.161
7/12/18,22:00,9.571
7/12/18,22:30,12.207
7/12/18,23:00,11.431
7/12/18,23:30,12.69
7/13/18,0:00,13.846
7/13/18,0:30,15.187
7/13/18,1:00,15.664
7/13/18,1:30,16.046
7/13/18,2:00,15.569
7/13/18,2:30,16.141
7/13/18,3:00,16.332
7/13/18,3:30,14.996
7/13/18,4:00,14.804
7/13/18,4:30,15.473
7/13/18,5:00,14.517
7/13/18,5:30,15.951
7/13/18,6:00,15.569
7/13/18,6:30,14.709
7/13/18,7:00,14.325
7/13/18,7:30,14.325
7/13/18,8:00,13.846
7/13/18,8:30,13.75
7/13/18,9:00,13.269
7/13/18,9:30,12.69
7/13/18,10:00,11.916
7/13/18,10:30,11.625
7/13/18,11:00,10.944
7/13/18,11:30,11.041
7/13/18,12:00,11.431
7/13/18,12:30,14.804
7/13/18,13:00,12.69
7/13/18,13:30,18.331
7/13/18,14:00,17.475
7/13/18,14:30,18.236
7/13/18,15:00,16.237
7/13/18,15:30,18.045
7/13/18,16:00,18.045
7/13/18,16:30,17.95
7/13/18,17:00,17.855
7/13/18,17:30,16.808
7/13/18,18:00,14.038
7/13/18,18:30,15.282
7/13/18,19:00,14.804
7/13/18,19:30,13.269
7/13/18,20:00,12.69
7/13/18,20:30,12.207
7/13/18,21:00,11.722
7/13/18,21:30,12.207
7/13/18,22:00,12.497
7/13/18,22:30,10.748
7/13/18,23:00,10.748
7/13/18,23:30,10.651
7/14/18,0:00,10.846
7/14/18,0:30,11.041
7/14/18,1:00,11.334
7/14/18,1:30,15.473
7/14/18,2:00,16.141
7/14/18,2:30,16.427
7/14/18,3:00,15.76
7/14/18,3:30,15.091
7/14/18,4:00,15.855
7/14/18,4:30,15.951
7/14/18,5:00,15.091
7/14/18,5:30,15.091
7/14/18,6:00,14.709
7/14/18,6:30,14.134
7/14/18,7:00,13.654
7/14/18,7:30,13.75
7/14/18,8:00,13.75
7/14/18,8:30,13.076
7/14/18,9:00,13.461
7/14/18,9:30,13.076
7/14/18,10:00,12.304
7/14/18,10:30,11.334
7/14/18,11:00,11.236
7/14/18,11:30,11.528
7/14/18,12:00,11.431
7/14/18,12:30,10.846
7/14/18,13:00,10.651
7/14/18,13:30,13.75
7/14/18,14:00,16.713
7/14/18,14:30,15.951
7/14/18,15:00,18.331
7/14/18,15:30,17.189
7/14/18,16:00,18.14
7/14/18,16:30,18.426
7/14/18,17:00,18.426
7/14/18,17:30,18.426
7/14/18,18:00,14.038
7/14/18,18:30,14.421
7/14/18,19:00,14.9
7/14/18,19:30,14.996
7/14/18,20:00,15.378
7/14/18,20:30,14.709
7/14/18,21:00,13.269
7/14/18,21:30,12.11
7/14/18,22:00,12.207
7/14/18,22:30,10.455
7/14/18,23:00,10.553
7/14/18,23:30,10.553
7/15/18,0:00,10.553
7/15/18,0:30,10.259
7/15/18,1:00,10.063
7/15/18,1:30,9.866
7/15/18,2:00,10.063
7/15/18,2:30,9.866
7/15/18,3:00,14.23
7/15/18,3:30,15.76
7/15/18,4:00,15.855
7/15/18,4:30,15.76
7/15/18,5:00,16.808
7/15/18,5:30,15.282
7/15/18,6:00,15.282
7/15/18,6:30,14.709
7/15/18,7:00,14.613
7/15/18,7:30,15.091
7/15/18,8:00,15.569
7/15/18,8:30,14.038
7/15/18,9:00,14.325
7/15/18,9:30,13.461
7/15/18,10:00,13.846
7/15/18,10:30,13.173
7/15/18,11:00,13.173
7/15/18,11:30,11.236
7/15/18,12:00,10.944
7/15/18,12:30,10.846
7/15/18,13:00,10.455
7/15/18,13:30,10.161
7/15/18,14:00,10.259
7/15/18,14:30,9.965
7/15/18,15:00,9.866
7/15/18,15:30,13.461
7/15/18,16:00,13.173
7/15/18,16:30,18.045
7/15/18,17:00,17.95
7/15/18,17:30,16.523
7/15/18,18:00,13.461
7/15/18,18:30,14.421
7/15/18,19:00,15.951
7/15/18,19:30,14.996
7/15/18,20:00,14.613
7/15/18,20:30,15.282
7/15/18,21:00,15.091
7/15/18,21:30,12.787
7/15/18,22:00,12.787
7/15/18,22:30,12.594
7/15/18,23:00,11.916
7/15/18,23:30,10.651
7/16/18,0:00,10.161
7/16/18,0:30,10.259
7/16/18,1:00,12.304
7/16/18,1:30,11.722
7/16/18,2:00,12.304
7/16/18,2:30,12.11
7/16/18,3:00,14.421
7/16/18,3:30,12.207
7/16/18,4:00,13.846
7/16/18,4:30,13.654
7/16/18,5:00,14.038
7/16/18,5:30,13.942
7/16/18,6:00,16.046
7/16/18,6:30,13.461
7/16/18,7:00,12.98
7/16/18,7:30,13.846
7/16/18,8:00,14.804
7/16/18,8:30,16.141
7/16/18,9:00,15.091
7/16/18,9:30,14.517
7/16/18,10:00,11.528
7/16/18,10:30,11.625
7/16/18,11:00,10.651
7/16/18,11:30,11.139
7/16/18,12:00,11.041
7/16/18,12:30,10.748
7/16/18,13:00,10.455
7/16/18,13:30,11.625
7/16/18,14:00,10.651
7/16/18,14:30,11.625
7/16/18,15:00,14.613
7/16/18,15:30,12.883
7/16/18,16:00,13.461
7/16/18,16:30,14.517
7/16/18,17:00,14.709
7/16/18,17:30,14.613
7/16/18,18:00,14.421
7/16/18,18:30,15.855
7/16/18,19:00,14.23
7/16/18,19:30,13.558
7/16/18,20:00,13.076
7/16/18,20:30,13.076
7/16/18,21:00,13.269
7/16/18,21:30,13.173
7/16/18,22:00,12.207
7/16/18,22:30,11.431
7/16/18,23:00,11.528
7/16/18,23:30,11.041
7/17/18,0:00,11.041
7/17/18,0:30,10.748
7/17/18,1:00,10.357
7/17/18,1:30,10.455
7/17/18,2:00,10.259
7/17/18,2:30,10.553
7/17/18,3:00,13.846
7/17/18,3:30,13.654
7/17/18,4:00,12.787
7/17/18,4:30,14.325
7/17/18,5:00,13.846
7/17/18,5:30,14.804
7/17/18,6:00,14.325
7/17/18,6:30,15.091
7/17/18,7:00,13.75
7/17/18,7:30,12.98
7/17/18,8:00,13.076
7/17/18,8:30,13.076
7/17/18,9:00,13.269
7/17/18,9:30,13.365
7/17/18,10:00,13.365
7/17/18,10:30,13.076
7/17/18,11:00,13.173
7/17/18,11:30,12.883
7/17/18,12:00,13.558
7/17/18,12:30,12.11
7/17/18,13:00,11.625
7/17/18,13:30,11.722
7/17/18,14:00,11.236
7/17/18,14:30,11.916
7/17/18,15:00,11.236
7/17/18,15:30,11.139
7/17/18,16:00,14.134
7/17/18,16:30,14.134
7/17/18,17:00,12.69
7/17/18,17:30,11.528
7/17/18,18:00,13.173
7/17/18,18:30,12.11
7/17/18,19:00,13.269
7/17/18,19:30,12.98
7/17/18,20:00,12.883
7/17/18,20:30,12.69
7/17/18,21:00,12.883
7/17/18,21:30,12.594
7/17/18,22:00,13.076
7/17/18,22:30,13.654
7/17/18,23:00,13.173
7/17/18,23:30,12.497
7/18/18,0:00,12.883
7/18/18,0:30,11.722
7/18/18,1:00,11.625
7/18/18,1:30,11.041
7/18/18,2:00,10.748
7/18/18,2:30,10.748
7/18/18,3:00,10.553
7/18/18,3:30,10.455
7/18/18,4:00,10.651
7/18/18,4:30,12.11
7/18/18,5:00,13.173
7/18/18,5:30,15.282
7/18/18,6:00,13.942
7/18/18,6:30,12.69
7/18/18,7:00,12.594
7/18/18,7:30,12.98
7/18/18,8:00,12.883
7/18/18,8:30,12.98
7/18/18,9:00,12.594
7/18/18,9:30,12.401
7/18/18,10:00,13.076
7/18/18,10:30,13.461
7/18/18,11:00,13.173
7/18/18,11:30,13.558
7/18/18,12:00,12.98
7/18/18,12:30,12.594
7/18/18,13:00,12.594
7/18/18,13:30,12.497
7/18/18,14:00,11.625
7/18/18,14:30,12.401
7/18/18,15:00,11.722
7/18/18,15:30,12.013
7/18/18,16:00,12.304
7/18/18,16:30,12.304
