Date,Time,X10m,X20m,X30m
2018-07-08,15:00,12.787,9.472,7.72
2018-07-08,15:30,12.304,8.779,7.619
2018-07-08,16:00,12.013,9.077,7.569
2018-07-08,16:30,11.819,8.779,7.519
2018-07-08,17:00,11.334,8.581,7.544
2018-07-08,17:30,11.041,8.68,7.519
2018-07-08,18:00,11.041,8.481,7.519
2018-07-08,18:30,11.236,8.382,7.494
2018-07-08,19:00,11.041,8.282,7.469
2018-07-08,19:30,10.846,9.472,7.619
2018-07-08,20:00,11.139,8.978,7.745
2018-07-08,20:30,11.722,8.978,7.67
2018-07-08,21:00,14.134,10.651,8.195
2018-07-08,21:30,14.421,9.669,7.92
2018-07-08,22:00,14.325,9.571,7.845
2018-07-08,22:30,15.569,10.063,7.77
2018-07-08,23:00,14.421,10.357,7.795
2018-07-08,23:30,13.461,10.063,8.02
2018-07-09,0:00,13.076,9.077,8.02
2018-07-09,0:30,12.787,10.357,7.82
2018-07-09,1:00,12.69,9.176,7.82
2018-07-09,1:30,12.497,9.669,7.745
2018-07-09,2:00,12.304,9.768,7.67
2018-07-09,2:30,12.401,10.161,7.519
2018-07-09,3:00,12.304,9.571,7.745
2018-07-09,3:30,11.722,8.779,7.945
2018-07-09,4:00,11.819,8.779,7.745
2018-07-09,4:30,11.625,8.68,7.695
2018-07-09,5:00,10.846,8.382,7.594
2018-07-09,5:30,10.553,8.082,7.444
2018-07-09,6:00,10.553,7.983,7.494
2018-07-09,6:30,11.431,8.382,7.494
2018-07-09,7:00,10.161,8.382,7.695
2018-07-09,7:30,10.161,8.082,7.544
2018-07-09,8:00,10.161,7.882,7.494
2018-07-09,8:30,11.334,8.581,7.594
2018-07-09,9:00,11.431,8.879,7.569
2018-07-09,9:30,11.528,8.779,7.619
2018-07-09,10:00,11.625,8.879,7.67
2018-07-09,10:30,11.819,9.373,7.619
2018-07-09,11:00,13.461,9.373,7.97
2018-07-09,11:30,13.365,9.176,7.87
2018-07-09,12:00,12.594,8.779,7.87
2018-07-09,12:30,12.98,9.176,7.82
2018-07-09,13:00,12.98,8.68,7.895
2018-07-09,13:30,13.365,9.373,7.845
2018-07-09,14:00,14.325,9.373,7.995
2018-07-09,14:30,12.594,9.571,7.87
2018-07-09,15:00,12.594,9.965,7.895
2018-07-09,15:30,12.207,9.571,8.045
2018-07-09,16:00,12.013,8.978,7.97
2018-07-09,16:30,12.11,8.68,7.695
2018-07-09,17:00,11.236,8.382,7.895
2018-07-09,17:30,10.944,8.282,7.92
2018-07-09,18:00,10.748,8.182,7.82
2018-07-09,18:30,9.866,8.282,7.67
2018-07-09,19:00,9.472,7.882,7.419
2018-07-09,19:30,9.373,7.983,7.419
2018-07-09,20:00,9.077,7.882,7.368
2018-07-09,20:30,8.879,7.983,7.318
2018-07-09,21:00,8.779,8.282,7.343
2018-07-09,21:30,9.669,8.581,7.444
2018-07-09,22:00,9.768,8.68,7.544
2018-07-09,22:30,10.357,8.779,7.368
2018-07-09,23:00,9.472,8.68,7.77
2018-07-09,23:30,9.669,8.68,7.92
2018-07-10,0:00,11.041,8.779,8.095
2018-07-10,0:30,12.883,9.571,8.095
2018-07-10,1:00,12.69,8.68,7.87
2018-07-10,1:30,12.787,9.866,7.82
2018-07-10,2:00,12.497,8.978,7.645
2018-07-10,2:30,12.013,8.68,7.619
2018-07-10,3:00,11.819,8.978,7.67
2018-07-10,3:30,12.207,8.879,7.569
2018-07-10,4:00,12.013,8.978,7.569
2018-07-10,4:30,11.819,8.879,7.594
2018-07-10,5:00,11.722,9.077,7.519
2018-07-10,5:30,10.553,8.082,7.469
2018-07-10,6:00,10.357,7.882,7.645
2018-07-10,6:30,9.965,7.882,7.569
2018-07-10,7:00,9.866,8.082,7.419
2018-07-10,7:30,9.768,7.882,7.569
2018-07-10,8:00,9.472,7.882,7.72
2018-07-10,8:30,9.275,7.782,7.619
2018-07-10,9:00,9.472,7.882,7.619
2018-07-10,9:30,9.077,8.082,7.695
2018-07-10,10:00,9.077,8.082,7.77
2018-07-10,10:30,9.768,8.182,7.845
2018-07-10,11:00,9.669,8.382,8.07
2018-07-10,11:30,9.866,8.581,7.645
2018-07-10,12:00,10.161,8.481,7.77
2018-07-10,12:30,10.357,8.68,7.77
2018-07-10,13:00,11.722,8.581,7.77
2018-07-10,13:30,11.528,8.68,7.695
2018-07-10,14:00,12.883,8.978,7.745
2018-07-10,14:30,13.269,8.879,7.82
2018-07-10,15:00,11.528,8.581,7.695
2018-07-10,15:30,10.944,8.481,7.645
2018-07-10,16:00,10.846,8.581,7.695
2018-07-10,16:30,10.455,8.779,7.519
2018-07-10,17:00,11.139,8.978,7.619
2018-07-10,17:30,10.846,8.481,7.116
2018-07-10,18:00,10.846,8.978,7.393
2018-07-10,18:30,10.846,8.282,7.544
2018-07-10,19:00,9.768,8.282,7.995
2018-07-10,19:30,9.866,8.382,7.845
2018-07-10,20:00,8.978,8.182,7.645
2018-07-10,20:30,9.077,8.182,7.368
2018-07-10,21:00,8.978,7.782,7.318
2018-07-10,21:30,8.581,7.782,7.242
2018-07-10,22:00,8.382,7.782,7.192
2018-07-10,22:30,8.282,7.782,7.167
2018-07-10,23:00,8.481,7.682,7.167
2018-07-10,23:30,8.382,7.682,7.217
2018-07-11,0:00,8.382,7.682,7.217
2018-07-11,0:30,9.176,7.481,7.318
2018-07-11,1:00,9.275,8.082,7.569
2018-07-11,1:30,9.275,8.481,8.145
2018-07-11,2:00,12.207,8.779,8.12
2018-07-11,2:30,11.236,9.077,7.945
2018-07-11,3:00,10.748,8.779,7.895
2018-07-11,3:30,9.965,8.382,7.594
2018-07-11,4:00,9.965,8.382,7.494
2018-07-11,4:30,9.965,8.382,7.469
2018-07-11,5:00,10.651,8.481,7.544
2018-07-11,5:30,11.139,8.481,7.368
2018-07-11,6:00,11.431,8.68,7.318
2018-07-11,6:30,11.041,8.68,7.268
2018-07-11,7:00,10.063,8.382,7.217
2018-07-11,7:30,9.669,7.983,7.116
2018-07-11,8:00,8.879,8.382,7.091
2018-07-11,8:30,9.077,8.382,7.242
2018-07-11,9:00,9.176,8.382,7.242
2018-07-11,9:30,8.879,7.983,7.217
2018-07-11,10:00,8.978,7.983,7.268
2018-07-11,10:30,9.571,8.182,7.469
2018-07-11,11:00,9.275,8.082,7.469
2018-07-11,11:30,9.669,8.282,7.469
2018-07-11,12:00,12.401,9.275,7.92
2018-07-11,12:30,15.951,9.077,8.245
2018-07-11,13:00,16.427,8.481,7.82
2018-07-11,13:30,15.569,8.779,7.82
2018-07-11,14:00,12.98,9.571,8.12
2018-07-11,14:30,12.883,9.373,8.319
2018-07-11,15:00,12.304,8.581,8.145
2018-07-11,15:30,16.141,8.978,7.945
2018-07-11,16:00,15.855,8.68,7.67
2018-07-11,16:30,15.664,8.779,7.469
2018-07-11,17:00,13.173,8.581,7.519
2018-07-11,17:30,15.091,8.879,7.594
2018-07-11,18:00,12.594,8.581,7.217
2018-07-11,18:30,10.748,8.481,7.318
2018-07-11,19:00,9.866,7.882,7.242
2018-07-11,19:30,9.472,7.983,7.217
2018-07-11,20:00,10.455,7.983,7.318
2018-07-11,20:30,10.161,8.282,7.268
2018-07-11,21:00,9.866,8.481,7.645
2018-07-11,21:30,11.431,8.581,7.72
2018-07-11,22:00,11.041,8.68,8.17
2018-07-11,22:30,12.013,9.373,7.92
2018-07-11,23:00,13.846,9.768,8.07
2018-07-11,23:30,11.819,9.866,8.444
2018-07-12,0:00,14.804,12.11,8.494
2018-07-12,0:30,15.664,10.651,8.891
2018-07-12,1:00,14.996,10.161,8.891
2018-07-12,1:30,14.038,10.259,8.941
2018-07-12,2:00,13.365,10.846,8.99
2018-07-12,2:30,13.846,10.161,8.792
2018-07-12,3:00,13.846,10.748,8.519
2018-07-12,3:30,14.421,10.944,8.27
2018-07-12,4:00,14.134,9.275,8.07
2018-07-12,4:30,13.654,9.176,8.12
2018-07-12,5:00,13.846,8.978,7.945
2018-07-12,5:30,13.076,8.779,8.519
2018-07-12,6:00,13.076,8.581,8.419
2018-07-12,6:30,13.654,8.779,8.319
2018-07-12,7:00,12.883,8.481,7.97
2018-07-12,7:30,12.207,8.282,7.945
2018-07-12,8:00,12.497,8.481,8.02
2018-07-12,8:30,11.916,8.481,7.995
2018-07-12,9:00,11.431,8.481,7.945
2018-07-12,9:30,11.139,8.382,7.895
2018-07-12,10:00,11.236,8.68,7.695
2018-07-12,10:30,11.236,8.382,7.544
2018-07-12,11:00,11.139,8.581,7.544
2018-07-12,11:30,11.528,9.176,7.594
2018-07-12,12:00,16.141,10.357,8.965
2018-07-12,12:30,14.134,9.669,8.519
2018-07-12,13:00,14.325,10.455,8.245
2018-07-12,13:30,15.282,9.866,8.095
2018-07-12,14:00,16.046,8.978,8.295
2018-07-12,14:30,17.475,10.553,8.17
2018-07-12,15:00,17.57,10.651,8.07
2018-07-12,15:30,17.95,12.11,7.97
2018-07-12,16:00,14.517,9.472,7.995
2018-07-12,16:30,14.9,9.768,8.22
2018-07-12,17:00,14.517,9.176,7.77
2018-07-12,17:30,15.282,8.879,7.895
2018-07-12,18:00,14.804,9.077,7.569
2018-07-12,18:30,13.365,9.275,7.695
2018-07-12,19:00,13.173,9.176,7.519
2018-07-12,19:30,11.819,8.182,7.645
2018-07-12,20:00,11.041,8.182,7.519
2018-07-12,20:30,11.819,7.983,7.544
2018-07-12,21:00,11.236,8.182,7.444
2018-07-12,21:30,10.161,7.983,7.419
2018-07-12,22:00,9.571,8.082,7.444
2018-07-12,22:30,12.207,9.176,7.619
2018-07-12,23:00,11.431,9.373,7.695
2018-07-12,23:30,12.69,9.472,7.995
2018-07-13,0:00,13.846,9.472,7.695
2018-07-13,0:30,15.187,10.259,8.295
2018-07-13,1:00,15.664,10.455,8.444
2018-07-13,1:30,16.046,9.176,8.22
2018-07-13,2:00,15.569,9.965,8.519
2018-07-13,2:30,16.141,10.944,8.469
2018-07-13,3:00,16.332,11.334,8.618
2018-07-13,3:30,14.996,11.041,8.319
2018-07-13,4:00,14.804,10.846,8.145
2018-07-13,4:30,15.473,9.472,7.97
2018-07-13,5:00,14.517,11.041,7.82
2018-07-13,5:30,15.951,9.768,8.195
2018-07-13,6:00,15.569,11.528,8.245
2018-07-13,6:30,14.709,9.669,7.995
2018-07-13,7:00,14.325,9.472,7.72
2018-07-13,7:30,14.325,8.978,7.97
2018-07-13,8:00,13.846,8.879,7.444
2018-07-13,8:30,13.75,8.978,7.569
2018-07-13,9:00,13.269,8.879,7.544
2018-07-13,9:30,12.69,8.779,7.72
2018-07-13,10:00,11.916,8.581,7.845
2018-07-13,10:30,11.625,8.481,7.87
2018-07-13,11:00,10.944,8.282,7.419
2018-07-13,11:30,11.041,8.481,7.419
2018-07-13,12:00,11.431,8.879,7.569
2018-07-13,12:30,14.804,9.965,8.145
2018-07-13,13:00,12.69,8.68,7.97
2018-07-13,13:30,18.331,11.334,8.593
2018-07-13,14:00,17.475,10.063,8.07
2018-07-13,14:30,18.236,10.553,7.87
2018-07-13,15:00,16.237,10.944,7.82
2018-07-13,15:30,18.045,12.69,8.618
2018-07-13,16:00,18.045,9.965,8.618
2018-07-13,16:30,17.95,9.176,7.82
2018-07-13,17:00,17.855,9.077,7.77
2018-07-13,17:30,16.808,9.472,8.02
2018-07-13,18:00,14.038,9.866,7.72
2018-07-13,18:30,15.282,10.553,7.645
2018-07-13,19:00,14.804,9.866,7.519
2018-07-13,19:30,13.269,9.077,7.494
2018-07-13,20:00,12.69,9.176,7.494
2018-07-13,20:30,12.207,8.581,7.645
2018-07-13,21:00,11.722,8.481,7.695
2018-07-13,21:30,12.207,8.581,7.594
2018-07-13,22:00,12.497,8.68,7.594
2018-07-13,22:30,10.748,8.779,7.619
2018-07-13,23:00,10.748,8.68,7.393
2018-07-13,23:30,10.651,8.382,7.419
2018-07-14,0:00,10.846,8.68,7.569
2018-07-14,0:30,11.041,9.077,7.519
2018-07-14,1:00,11.334,9.077,7.519
2018-07-14,1:30,15.473,10.651,8.99
