"Plot Title: 20443274"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20443274, SEN S/N: 20443274)","Button Down (LGR S/N: 20443274)","Button Up (LGR S/N: 20443274)","Low Power Warning (LGR S/N: 20443274)","Safe Shutdown - Low Battery (LGR S/N: 20443274)","End Of File (LGR S/N: 20443274)"
1,08/28/18 09:39:32 AM,26.98,,,,,
2,08/28/18 10:09:32 AM,32.17,,,,,
3,08/28/18 10:39:32 AM,37.71,,,,,
4,08/28/18 11:09:32 AM,36.42,,,,,
5,08/28/18 11:39:32 AM,39.85,,,,,
6,08/28/18 12:09:32 PM,40.32,,,,,
7,08/28/18 12:39:32 PM,42.43,,,,,
8,08/28/18 01:09:32 PM,37.19,,,,,
9,08/28/18 01:39:32 PM,34.19,,,,,
10,08/28/18 02:09:32 PM,32.00,,,,,
11,08/28/18 02:39:32 PM,26.55,,,,,
12,08/28/18 02:54:22 PM,,Logged,,,,
13,08/28/18 02:54:23 PM,,Logged,Logged,,,
14,08/28/18 02:54:25 PM,,Logged,Logged,,,
15,08/28/18 02:54:26 PM,,Logged,Logged,,,
16,08/28/18 02:54:27 PM,,Logged,Logged,,,
17,08/28/18 02:54:35 PM,,Logged,Logged,,,
18,08/28/18 02:54:42 PM,,Logged,Logged,,,
19,08/28/18 02:55:18 PM,,Logged,,,,
20,08/28/18 02:55:20 PM,,,Logged,,,
21,08/28/18 02:55:27 PM,,Logged,,,,
22,08/28/18 02:55:32 PM,,,Logged,,,
23,08/28/18 02:55:37 PM,,Logged,,,,
24,08/28/18 03:09:32 PM,15.61,,,,,
25,08/28/18 03:39:32 PM,14.71,,,,,
26,08/28/18 04:09:32 PM,13.81,,,,,
27,08/28/18 04:39:32 PM,12.65,,,,,
28,08/28/18 05:09:32 PM,14.97,,,,,
29,08/28/18 05:39:32 PM,14.24,,,,,
30,08/28/18 06:09:32 PM,17.33,,,,,
31,08/28/18 06:39:32 PM,13.17,,,,,
32,08/28/18 07:09:32 PM,13.17,,,,,
33,08/28/18 07:39:32 PM,13.98,,,,,
34,08/28/18 08:09:32 PM,14.97,,,,,
35,08/28/18 08:39:32 PM,12.91,,,,,
36,08/28/18 09:09:32 PM,12.48,,,,,
37,08/28/18 09:39:32 PM,12.87,,,,,
38,08/28/18 10:09:32 PM,12.61,,,,,
39,08/28/18 10:39:32 PM,12.48,,,,,
40,08/28/18 11:09:32 PM,12.31,,,,,
41,08/28/18 11:39:32 PM,11.84,,,,,
42,08/29/18 12:09:32 AM,12.74,,,,,
43,08/29/18 12:39:32 AM,11.79,,,,,
44,08/29/18 01:09:32 AM,13.94,,,,,
45,08/29/18 01:39:32 AM,13.73,,,,,
46,08/29/18 02:09:32 AM,12.05,,,,,
47,08/29/18 02:39:32 AM,12.18,,,,,
48,08/29/18 03:09:32 AM,13.85,,,,,
49,08/29/18 03:39:32 AM,14.41,,,,,
50,08/29/18 04:09:32 AM,16.39,,,,,
51,08/29/18 04:39:32 AM,15.31,,,,,
52,08/29/18 05:09:32 AM,17.46,,,,,
53,08/29/18 05:39:32 AM,15.70,,,,,
54,08/29/18 06:09:32 AM,15.40,,,,,
55,08/29/18 06:39:32 AM,14.58,,,,,
56,08/29/18 07:09:32 AM,12.91,,,,,
57,08/29/18 07:39:32 AM,14.45,,,,,
58,08/29/18 08:09:32 AM,15.01,,,,,
59,08/29/18 08:39:32 AM,14.84,,,,,
60,08/29/18 09:09:32 AM,13.43,,,,,
61,08/29/18 09:39:32 AM,12.91,,,,,
62,08/29/18 10:09:32 AM,12.48,,,,,
63,08/29/18 10:39:32 AM,12.18,,,,,
64,08/29/18 11:09:32 AM,11.49,,,,,
65,08/29/18 11:39:32 AM,11.79,,,,,
66,08/29/18 12:09:32 PM,11.84,,,,,
67,08/29/18 12:39:32 PM,11.92,,,,,
68,08/29/18 01:09:32 PM,11.71,,,,,
69,08/29/18 01:39:32 PM,12.31,,,,,
70,08/29/18 02:09:32 PM,13.17,,,,,
71,08/29/18 02:39:32 PM,12.31,,,,,
72,08/29/18 03:09:32 PM,13.17,,,,,
73,08/29/18 03:39:32 PM,14.20,,,,,
74,08/29/18 04:09:32 PM,15.44,,,,,
75,08/29/18 04:39:32 PM,15.87,,,,,
76,08/29/18 05:09:32 PM,16.56,,,,,
77,08/29/18 05:39:32 PM,16.34,,,,,
78,08/29/18 06:09:32 PM,17.03,,,,,
79,08/29/18 06:39:32 PM,15.48,,,,,
80,08/29/18 07:09:32 PM,16.17,,,,,
81,08/29/18 07:39:32 PM,15.53,,,,,
82,08/29/18 08:09:32 PM,16.17,,,,,
83,08/29/18 08:39:32 PM,15.57,,,,,
84,08/29/18 09:09:32 PM,15.06,,,,,
85,08/29/18 09:39:32 PM,13.51,,,,,
86,08/29/18 10:09:32 PM,14.20,,,,,
87,08/29/18 10:39:32 PM,12.31,,,,,
88,08/29/18 11:09:32 PM,12.18,,,,,
89,08/29/18 11:39:32 PM,12.18,,,,,
90,08/30/18 12:09:32 AM,12.14,,,,,
91,08/30/18 12:39:32 AM,11.92,,,,,
92,08/30/18 01:09:32 AM,11.45,,,,,
93,08/30/18 01:39:32 AM,11.62,,,,,
94,08/30/18 02:09:32 AM,11.58,,,,,
95,08/30/18 02:39:32 AM,12.31,,,,,
96,08/30/18 03:09:32 AM,15.18,,,,,
97,08/30/18 03:39:32 AM,13.98,,,,,
98,08/30/18 04:09:32 AM,13.21,,,,,
99,08/30/18 04:39:32 AM,13.47,,,,,
100,08/30/18 05:09:32 AM,13.60,,,,,
101,08/30/18 05:39:32 AM,14.80,,,,,
102,08/30/18 06:09:32 AM,14.71,,,,,
103,08/30/18 06:39:32 AM,14.71,,,,,
104,08/30/18 07:09:32 AM,13.90,,,,,
105,08/30/18 07:39:32 AM,13.81,,,,,
106,08/30/18 08:09:32 AM,14.37,,,,,
107,08/30/18 08:39:32 AM,14.93,,,,,
108,08/30/18 09:09:32 AM,14.97,,,,,
109,08/30/18 09:39:32 AM,14.58,,,,,
110,08/30/18 10:09:32 AM,13.47,,,,,
111,08/30/18 10:39:32 AM,13.30,,,,,
112,08/30/18 11:09:32 AM,12.82,,,,,
113,08/30/18 11:39:32 AM,12.95,,,,,
114,08/30/18 12:09:32 PM,12.70,,,,,
115,08/30/18 12:39:32 PM,12.40,,,,,
116,08/30/18 01:09:32 PM,12.87,,,,,
117,08/30/18 01:39:32 PM,11.28,,,,,
118,08/30/18 02:09:32 PM,12.05,,,,,
119,08/30/18 02:39:32 PM,12.57,,,,,
