"Plot Title: 20443275"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20443275, SEN S/N: 20443275)","Host Connected (LGR S/N: 20443275)","Button Down (LGR S/N: 20443275)","Low Power Warning (LGR S/N: 20443275)","Safe Shutdown - Low Battery (LGR S/N: 20443275)","Stopped (LGR S/N: 20443275)","End Of File (LGR S/N: 20443275)"
1,08/28/18 09:35:58 AM,27.15,,,,,,
2,08/28/18 09:36:51 AM,,Logged,,,,,
3,08/28/18 10:05:58 AM,32.64,,,,,,
4,08/28/18 10:35:58 AM,38.01,,,,,,
5,08/28/18 11:05:58 AM,37.28,,,,,,
6,08/28/18 11:35:58 AM,33.12,,,,,,
7,08/28/18 11:39:48 AM,,,Logged,,,,
8,08/28/18 12:05:58 PM,10.72,,,,,,
9,08/28/18 12:35:58 PM,10.81,,,,,,
10,08/28/18 01:05:58 PM,10.81,,,,,,
11,08/28/18 01:35:58 PM,10.64,,,,,,
12,08/28/18 02:05:58 PM,11.02,,,,,,
13,08/28/18 02:35:58 PM,11.07,,,,,,
14,08/28/18 03:05:58 PM,10.77,,,,,,
15,08/28/18 03:35:58 PM,10.89,,,,,,
16,08/28/18 04:05:58 PM,10.89,,,,,,
17,08/28/18 04:35:58 PM,10.85,,,,,,
18,08/28/18 05:05:58 PM,11.24,,,,,,
19,08/28/18 05:35:58 PM,11.32,,,,,,
20,08/28/18 06:05:58 PM,10.77,,,,,,
21,08/28/18 06:35:58 PM,10.89,,,,,,
22,08/28/18 07:05:58 PM,10.94,,,,,,
23,08/28/18 07:35:58 PM,10.72,,,,,,
24,08/28/18 08:05:58 PM,10.42,,,,,,
25,08/28/18 08:35:58 PM,10.72,,,,,,
26,08/28/18 09:05:58 PM,10.25,,,,,,
27,08/28/18 09:35:58 PM,10.29,,,,,,
28,08/28/18 10:05:58 PM,10.38,,,,,,
29,08/28/18 10:35:58 PM,9.99,,,,,,
30,08/28/18 11:05:58 PM,10.16,,,,,,
31,08/28/18 11:35:58 PM,9.78,,,,,,
