Date,Mean,Max
2/26/97,3.657,3.75
2/27/97,3.75,3.75
2/28/97,3.79,3.87
3/1/97,3.887,3.91
3/2/97,3.91,3.91
3/3/97,3.913,3.948
3/4/97,3.91,3.91
3/5/97,3.91,3.91
3/6/97,3.923,4.023
3/7/97,3.9,3.91
3/8/97,3.883,3.91
3/9/97,3.75,3.91
3/10/97,3.703,3.75
3/11/97,3.67,3.75
3/12/97,3.65,3.75
3/13/97,3.523,3.75
3/14/97,3.361,3.43
3/15/97,3.358,3.43
3/16/97,3.323,3.43
3/17/97,3.265,3.43
3/18/97,3.383,3.47
3/19/97,3.346,3.43
3/20/97,3.368,3.43
3/21/97,3.283,3.318
3/22/97,3.364,3.43
3/23/97,3.408,3.43
3/24/97,3.368,3.43
3/25/97,3.386,3.43
3/26/97,3.43,3.43
3/27/97,3.47,3.59
3/28/97,3.627,3.75
3/29/97,3.747,3.75
3/30/97,3.743,3.87
3/31/97,3.906,4.22
4/1/97,3.983,4.22
4/2/97,3.91,3.91
4/3/97,3.913,3.948
4/4/97,3.926,3.985
4/5/97,3.951,4.06
4/6/97,4.001,4.18
4/7/97,3.948,4.06
4/8/97,3.893,3.948
4/9/97,3.87,3.91
4/10/97,3.926,4.06
4/11/97,4.018,4.295
4/12/97,4.068,4.333
4/13/97,4.162,4.37
4/14/97,4.145,4.49
4/15/97,4.178,4.53
4/16/97,4.256,4.803
4/17/97,4.123,4.375
4/18/97,4.072,4.295
4/19/97,4.639,4.84
4/20/97,4.663,4.69
4/21/97,4.754,5.04
4/22/97,4.721,4.84
4/23/97,4.728,4.803
4/24/97,5.408,6.05
4/25/97,5.334,5.62
4/26/97,4.987,5.273
4/27/97,4.811,5
4/28/97,4.913,5.16
4/29/97,4.835,4.92
4/30/97,4.88,5.12
5/1/97,5.098,5.47
5/2/97,4.775,5.47
5/3/97,5.426,6.785
5/4/97,4.922,5.235
5/5/97,4.919,5.663
5/6/97,5.228,5.933
5/7/97,4.641,4.88
5/8/97,4.791,5.39
5/9/97,5.27,5.7
5/10/97,5.201,5.738
5/11/97,4.927,5.118
5/12/97,4.895,5.273
5/13/97,4.883,5.313
5/14/97,4.862,6.39
5/15/97,4.667,4.818
5/16/97,4.622,4.895
5/17/97,4.632,4.78
5/18/97,4.677,4.78
5/19/97,4.955,5.32
5/20/97,5.286,5.713
5/21/97,4.981,5.128
5/22/97,4.848,5.05
5/23/97,5.896,6.605
5/24/97,6.118,6.76
5/25/97,5.293,5.985
5/26/97,4.949,5.24
5/27/97,5.509,6.33
5/28/97,5.263,5.868
5/29/97,5.27,5.713
5/30/97,5.384,5.635
5/31/97,5.366,5.635
6/1/97,5.357,5.52
6/2/97,5.889,7.108
6/3/97,6.275,7.61
6/4/97,8.159,9.953
6/5/97,9.555,10.58
6/6/97,9.583,10.46
6/7/97,9.522,10.885
6/8/97,10.104,11.31
6/9/97,9.872,10.655
6/10/97,8.794,10.15
6/11/97,8.666,10.77
6/12/97,8.393,9.763
6/13/97,7.713,9.105
6/14/97,6.514,7.223
6/15/97,7.758,9.298
6/16/97,7.659,9.143
6/17/97,6.684,7.95
6/18/97,6.276,7.07
6/19/97,6.319,6.643
6/20/97,7.015,7.95
6/21/97,7.235,8.298
6/22/97,6.461,7.225
6/23/97,6.294,6.603
6/24/97,7.185,8.105
6/25/97,7.276,7.955
6/26/97,6.994,7.645
6/27/97,6.995,7.725
6/28/97,7.298,7.88
6/29/97,7.583,8.068
6/30/97,7.682,8.068
7/1/97,7.464,7.88
7/2/97,7.293,7.573
7/3/97,6.993,7.418
7/4/97,6.704,7.34
7/5/97,6.468,6.72
7/6/97,7.039,7.955
7/7/97,7.472,7.993
7/8/97,6.878,7.265
7/9/97,6.745,7.113
7/10/97,6.744,6.995
7/11/97,7.069,7.8
7/12/97,6.916,7.3
7/13/97,7.058,7.648
7/14/97,7.771,8.49
7/15/97,7.816,8.953
7/16/97,8.159,8.608
7/17/97,8.683,9.415
7/18/97,8.363,9.11
7/19/97,8.268,9.685
7/20/97,8.235,9.375
7/21/97,9.891,11.04
7/22/97,9.125,11.965
7/23/97,8.348,9.8
7/24/97,7.733,8.378
7/25/97,11.501,16.92
7/26/97,15.01,17.04
7/27/97,11.576,14.32
7/28/97,8.931,10.463
7/29/97,8.6,9.685
7/30/97,9.602,11.463
7/31/97,9.851,11.618
8/1/97,8.867,10.188
8/2/97,8.251,9.375
8/3/97,8.437,9.685
8/4/97,8.988,9.995
8/5/97,10.397,13.125
8/6/97,10.875,13.513
8/7/97,9.497,11.118
8/8/97,8.866,10.073
8/9/97,8.58,9.57
8/10/97,8.197,9.068
8/11/97,8.155,8.99
8/12/97,7.857,8.875
8/13/97,8.556,9.413
8/14/97,7.78,8.795
8/15/97,7.813,8.568
8/16/97,8.012,9.033
8/17/97,7.918,8.99
8/18/97,8.399,9.415
8/19/97,8.71,10.653
8/20/97,9.075,9.955
8/21/97,10.694,15.733
8/22/97,9.23,10.46
8/23/97,7.768,8.643
8/24/97,10.104,11.578
8/25/97,11.817,12.933
8/26/97,12.403,13.358
8/27/97,11.195,13.705
8/28/97,9.374,11.463
8/29/97,8.988,10.538
8/30/97,9.302,10.113
8/31/97,9.688,10.5
9/1/97,9.96,11.503
9/2/97,9.785,10.498
9/3/97,9.854,10.85
9/4/97,10.892,12.43
9/5/97,11.418,12.74
9/6/97,11.163,12.973
9/7/97,10.144,11.463
9/8/97,10.282,11.735
9/9/97,11.428,13.508
9/10/97,12.863,14.788
9/11/97,13.739,15.575
9/12/97,13.532,14.785
9/13/97,12.207,14.12
9/14/97,12.266,13.28
9/15/97,11.92,13.623
9/16/97,11.553,13.59
9/17/97,12.489,13.815
9/18/97,11.247,12.933
9/19/97,9.759,10.383
9/20/97,9.859,11.005
9/21/97,9.672,11.69
9/22/97,12.389,14.398
9/23/97,10.841,12.12
9/24/97,9.814,10.5
9/25/97,10.656,11.615
9/26/97,10.191,11.615
9/27/97,9.92,10.77
9/28/97,10.203,11.615
9/29/97,9.747,11.348
9/30/97,8.645,9.3
10/1/97,8.539,9.375
10/2/97,8.747,9.335
10/3/97,10.393,11.12
10/4/97,10.719,11.578
10/5/97,10.499,10.96
10/6/97,9.682,10.42
10/7/97,9.481,10.148
10/8/97,9.848,10.768
10/9/97,10.621,11.233
10/10/97,9.682,10.925
10/11/97,9.261,9.84
10/12/97,10.314,10.773
10/13/97,10.875,12.078
10/14/97,10.446,11.385
10/15/97,10.648,11.77
10/16/97,10.482,11.385
10/17/97,11.593,12.895
10/18/97,12.295,13.205
10/19/97,12.374,13.09
10/20/97,12.834,12.97
10/21/97,12.766,12.97
10/22/97,12.284,12.82
10/23/97,11.815,12.19
10/24/97,10.994,11.695
10/25/97,10.598,11.308
10/26/97,11.118,11.42
10/27/97,#DIV/0!,0
10/28/97,#DIV/0!,0
10/29/97,#DIV/0!,0
10/30/97,#DIV/0!,0
10/31/97,#DIV/0!,0
11/1/97,#DIV/0!,0
11/2/97,#DIV/0!,0
11/3/97,#DIV/0!,0
11/4/97,#DIV/0!,0
11/5/97,#DIV/0!,0
11/6/97,#DIV/0!,0
11/7/97,#DIV/0!,0
11/8/97,#DIV/0!,0
11/9/97,#DIV/0!,0
11/10/97,#DIV/0!,0
11/11/97,#DIV/0!,0
11/12/97,#DIV/0!,0
11/13/97,#DIV/0!,0
11/14/97,#DIV/0!,0
11/15/97,#DIV/0!,0
11/16/97,#DIV/0!,0
11/17/97,#DIV/0!,0
11/18/97,#DIV/0!,0
11/19/97,#DIV/0!,0
11/20/97,#DIV/0!,0
11/21/97,#DIV/0!,0
11/22/97,#DIV/0!,0
11/23/97,#DIV/0!,0
11/24/97,#DIV/0!,0
11/25/97,#DIV/0!,0
11/26/97,#DIV/0!,0
11/27/97,#DIV/0!,0
11/28/97,#DIV/0!,0
11/29/97,#DIV/0!,0
11/30/97,#DIV/0!,0
12/1/97,#DIV/0!,0
12/2/97,#DIV/0!,0
12/3/97,#DIV/0!,0
12/4/97,#DIV/0!,0
12/5/97,#DIV/0!,0
12/6/97,#DIV/0!,0
12/7/97,#DIV/0!,0
12/8/97,#DIV/0!,0
12/9/97,#DIV/0!,0
12/10/97,#DIV/0!,0
12/11/97,#DIV/0!,0
12/12/97,#DIV/0!,0
12/13/97,#DIV/0!,0
12/14/97,#DIV/0!,0
12/15/97,#DIV/0!,0
12/16/97,#DIV/0!,0
12/17/97,#DIV/0!,0
12/18/97,#DIV/0!,0
12/19/97,#DIV/0!,0
12/20/97,#DIV/0!,0
12/21/97,#DIV/0!,0
12/22/97,#DIV/0!,0
12/23/97,#DIV/0!,0
12/24/97,#DIV/0!,0
12/25/97,#DIV/0!,0
12/26/97,#DIV/0!,0
12/27/97,#DIV/0!,0
12/28/97,#DIV/0!,0
12/29/97,#DIV/0!,0
12/30/97,#DIV/0!,0
12/31/97,#DIV/0!,0
1/1/98,#DIV/0!,0
1/2/98,#DIV/0!,0
1/3/98,#DIV/0!,0
1/4/98,#DIV/0!,0
1/5/98,#DIV/0!,0
1/6/98,#DIV/0!,0
1/7/98,#DIV/0!,0
1/8/98,#DIV/0!,0
1/9/98,#DIV/0!,0
1/10/98,#DIV/0!,0
1/11/98,#DIV/0!,0
1/12/98,#DIV/0!,0
1/13/98,#DIV/0!,0
1/14/98,#DIV/0!,0
1/15/98,#DIV/0!,0
1/16/98,#DIV/0!,0
1/17/98,#DIV/0!,0
1/18/98,#DIV/0!,0
1/19/98,#DIV/0!,0
1/20/98,#DIV/0!,0
1/21/98,#DIV/0!,0
1/22/98,#DIV/0!,0
1/23/98,#DIV/0!,0
1/24/98,#DIV/0!,0
1/25/98,#DIV/0!,0
1/26/98,#DIV/0!,0
1/27/98,#DIV/0!,0
1/28/98,#DIV/0!,0
1/29/98,#DIV/0!,0
1/30/98,#DIV/0!,0
1/31/98,#DIV/0!,0
2/1/98,#DIV/0!,0
2/2/98,#DIV/0!,0
2/3/98,#DIV/0!,0
2/4/98,#DIV/0!,0
2/5/98,#DIV/0!,0
2/6/98,#DIV/0!,0
2/7/98,#DIV/0!,0
2/8/98,#DIV/0!,0
2/9/98,#DIV/0!,0
2/10/98,#DIV/0!,0
2/11/98,#DIV/0!,0
2/12/98,#DIV/0!,0
2/13/98,#DIV/0!,0
2/14/98,#DIV/0!,0
2/15/98,#DIV/0!,0
2/16/98,#DIV/0!,0
2/17/98,#DIV/0!,0
2/18/98,#DIV/0!,0
2/19/98,#DIV/0!,0
2/20/98,#DIV/0!,0
2/21/98,#DIV/0!,0
2/22/98,#DIV/0!,0
2/23/98,#DIV/0!,0
2/24/98,#DIV/0!,0
2/25/98,#DIV/0!,0
2/26/98,#DIV/0!,0
2/27/98,#DIV/0!,0
2/28/98,#DIV/0!,0
3/1/98,#DIV/0!,0
3/2/98,#DIV/0!,0
3/3/98,#DIV/0!,0
3/4/98,#DIV/0!,0
3/5/98,#DIV/0!,0
3/6/98,#DIV/0!,0
3/7/98,3.69,3.69
3/8/98,3.696,3.728
3/9/98,3.686,3.728
3/10/98,3.577,3.69
3/11/98,3.543,3.61
3/12/98,3.499,3.53
3/13/98,3.25,3.418
3/14/98,3.213,3.493
3/15/98,3.26,3.38
3/16/98,3.14,3.26
3/17/98,3.038,3.06
3/18/98,3.06,3.06
3/19/98,3.063,3.1
3/20/98,3.06,3.06
3/21/98,2.915,3.06
3/22/98,2.775,2.91
3/23/98,2.801,2.91
3/24/98,2.906,2.91
3/25/98,2.976,3.06
3/26/98,3.052,3.22
3/27/98,3.054,3.06
3/28/98,3.063,3.1
3/29/98,3.063,3.1
3/30/98,3.073,3.18
3/31/98,3.197,3.26
4/1/98,3.679,4.235
4/2/98,3.961,4.198
4/3/98,4.076,4.273
4/4/98,4.205,4.78
4/5/98,4.567,4.818
4/6/98,4.274,4.468
4/7/98,4.164,4.43
4/8/98,4.134,4.39
4/9/98,4.082,4.31
4/10/98,4.806,5.24
4/11/98,4.461,4.7
4/12/98,4.475,4.66
4/13/98,4.685,5.518
4/14/98,4.588,5.05
4/15/98,4.325,4.545
4/16/98,4.268,4.47
4/17/98,4.155,4.35
4/18/98,4.09,4.16
4/19/98,4.097,4.16
4/20/98,4.274,4.39
4/21/98,4.322,4.74
4/22/98,4.167,4.275
4/23/98,4.513,6.14
4/24/98,6.061,6.41
4/25/98,6.109,6.41
4/26/98,6.216,6.64
4/27/98,6.19,6.76
4/28/98,5.974,6.64
4/29/98,5.89,6.215
4/30/98,5.764,6.18
5/1/98,5.154,5.478
5/2/98,5.338,5.865
5/3/98,4.645,5.05
5/4/98,4.465,4.7
5/5/98,5.085,5.595
5/6/98,5.896,6.295
5/7/98,5.978,6.643
5/8/98,5.97,6.565
5/9/98,7.45,8.95
5/10/98,8.468,8.873
5/11/98,7.955,8.03
5/12/98,8.08,8.18
5/13/98,8.146,8.26
5/14/98,7.809,8.07
5/15/98,6.64,7.303
5/16/98,6.5,7.44
5/17/98,6.266,6.505
5/18/98,5.873,6.353
5/19/98,5.916,6.155
5/20/98,5.595,6
5/21/98,5.491,5.995
5/22/98,6.094,6.933
5/23/98,6.154,6.818
5/24/98,6.026,6.973
5/25/98,5.791,6.7
5/26/98,5.593,5.92
5/27/98,5.629,6.078
5/28/98,5.403,5.565
5/29/98,5.304,5.645
5/30/98,5.287,5.45
5/31/98,5.563,5.84
6/1/98,5.443,5.603
6/2/98,5.606,6.118
6/3/98,5.452,5.998
6/4/98,5.426,5.685
6/5/98,6.051,7.165
6/6/98,7.653,7.945
6/7/98,7.173,7.943
6/8/98,6.947,8.1
6/9/98,6.009,7.52
6/10/98,5.402,5.96
6/11/98,5.381,5.68
6/12/98,5.288,5.643
6/13/98,5.674,6.348
6/14/98,5.398,5.763
6/15/98,5.21,5.49
6/16/98,5.425,6.235
6/17/98,6.664,8.175
6/18/98,8.531,9.84
6/19/98,9.149,9.72
6/20/98,8.998,9.37
6/21/98,9.034,9.685
6/22/98,9.155,9.76
6/23/98,8.226,9.215
6/24/98,7.83,8.675
6/25/98,7.326,7.79
6/26/98,7.556,8.288
6/27/98,9.565,11.353
6/28/98,8.836,9.525
6/29/98,7.943,8.483
6/30/98,7.694,8.138
7/1/98,7.365,7.673
7/2/98,7.609,8.52
7/3/98,6.746,7.323
7/4/98,6.203,6.778
7/5/98,6.451,6.975
7/6/98,7.462,8.1
7/7/98,7.274,8.023
7/8/98,6.654,7.363
7/9/98,6.641,7.09
7/10/98,6.381,6.935
7/11/98,7.68,8.368
7/12/98,7.236,7.673
7/13/98,5.988,6.35
7/14/98,5.977,6.738
7/15/98,6.339,7.05
7/16/98,6.791,7.635
7/17/98,6.622,7.478
7/18/98,6.625,7.323
7/19/98,6.554,7.325
7/20/98,6.443,7.595
7/21/98,6.648,7.595
7/22/98,6.69,7.75
7/23/98,6.939,7.943
7/24/98,6.8,7.868
7/25/98,7.157,8.1
7/26/98,7.021,8.175
7/27/98,6.733,7.558
7/28/98,6.158,6.858
7/29/98,5.85,6.04
7/30/98,5.88,6.12
7/31/98,6.086,6.505
8/1/98,6.21,6.858
8/2/98,6.13,6.855
8/3/98,5.943,6.43
8/4/98,6.126,6.505
8/5/98,6.079,6.43
8/6/98,6.255,6.82
8/7/98,6.451,7.363
8/8/98,6.691,7.285
8/9/98,6.622,7.323
8/10/98,6.289,6.775
8/11/98,6.083,6.35
8/12/98,6.616,7.518
8/13/98,6.969,7.788
8/14/98,6.58,7.48
8/15/98,6.091,6.39
8/16/98,6.143,6.39
8/17/98,6.279,6.775
8/18/98,6.502,7.205
8/19/98,7.577,8.598
8/20/98,7.669,9.37
8/21/98,#DIV/0!,0
8/22/98,#DIV/0!,0
8/23/98,#DIV/0!,0
8/24/98,#DIV/0!,0
8/25/98,#DIV/0!,0
8/26/98,#DIV/0!,0
8/27/98,#DIV/0!,0
8/28/98,#DIV/0!,0
8/29/98,#DIV/0!,0
8/30/98,#DIV/0!,0
8/31/98,#DIV/0!,0
9/1/98,#DIV/0!,0
9/2/98,#DIV/0!,0
9/3/98,#DIV/0!,0
9/4/98,#DIV/0!,0
9/5/98,#DIV/0!,0
9/6/98,#DIV/0!,0
9/7/98,#DIV/0!,0
9/8/98,#DIV/0!,0
9/9/98,#DIV/0!,0
9/10/98,#DIV/0!,0
9/11/98,#DIV/0!,0
9/12/98,#DIV/0!,0
9/13/98,#DIV/0!,0
9/14/98,#DIV/0!,0
9/15/98,#DIV/0!,0
9/16/98,#DIV/0!,0
9/17/98,#DIV/0!,0
9/18/98,#DIV/0!,0
9/19/98,#DIV/0!,0
9/20/98,#DIV/0!,0
9/21/98,#DIV/0!,0
9/22/98,#DIV/0!,0
9/23/98,#DIV/0!,0
9/24/98,#DIV/0!,0
9/25/98,#DIV/0!,0
9/26/98,#DIV/0!,0
9/27/98,#DIV/0!,0
9/28/98,#DIV/0!,0
9/29/98,#DIV/0!,0
9/30/98,#DIV/0!,0
10/1/98,#DIV/0!,0
10/2/98,#DIV/0!,0
10/3/98,#DIV/0!,0
10/4/98,#DIV/0!,0
10/5/98,#DIV/0!,0
10/6/98,#DIV/0!,0
10/7/98,#DIV/0!,0
10/8/98,#DIV/0!,0
10/9/98,#DIV/0!,0
10/10/98,#DIV/0!,0
10/11/98,#DIV/0!,0
10/12/98,#DIV/0!,0
10/13/98,#DIV/0!,0
10/14/98,#DIV/0!,0
10/15/98,#DIV/0!,0
10/16/98,#DIV/0!,0
10/17/98,#DIV/0!,0
10/18/98,#DIV/0!,0
10/19/98,#DIV/0!,0
10/20/98,#DIV/0!,0
10/21/98,#DIV/0!,0
10/22/98,#DIV/0!,0
10/23/98,#DIV/0!,0
10/24/98,#DIV/0!,0
10/25/98,#DIV/0!,0
10/26/98,#DIV/0!,0
10/27/98,#DIV/0!,0
10/28/98,#DIV/0!,0
10/29/98,#DIV/0!,0
10/30/98,#DIV/0!,0
10/31/98,#DIV/0!,0
11/1/98,#DIV/0!,0
11/2/98,#DIV/0!,0
11/3/98,#DIV/0!,0
