Date,Time,10m,20m,30m
7/7/17,11:15,9.669,7.28,6.661
7/7/17,11:30,9.373,7.782,6.611
7/7/17,11:45,9.373,7.582,6.56
7/7/17,12:00,9.866,7.782,6.56
7/7/17,12:15,9.571,7.782,6.56
7/7/17,12:30,10.063,7.983,6.56
7/7/17,12:45,9.571,8.082,6.535
7/7/17,1:00,9.472,7.882,6.661
7/7/17,1:15,9.472,7.782,6.585
7/7/17,1:30,10.161,7.782,7.318
7/7/17,1:45,10.259,7.882,7.419
7/7/17,2:00,10.455,8.082,7.494
7/7/17,2:15,10.455,8.581,7.745
7/7/17,2:30,10.651,8.481,7.795
7/7/17,2:45,10.259,8.382,7.519
7/7/17,3:00,10.259,8.282,7.293
7/7/17,3:15,10.063,8.182,7.619
7/7/17,3:30,10.063,8.182,7.015
7/7/17,3:45,10.161,8.182,6.889
7/7/17,4:00,10.161,8.282,6.94
7/7/17,4:15,9.965,8.282,6.94
7/7/17,4:30,9.866,8.282,6.94
7/7/17,4:45,10.161,7.782,6.813
7/7/17,5:00,9.768,7.983,6.763
7/7/17,5:15,9.768,7.882,6.763
7/7/17,5:30,9.866,7.983,7.066
7/7/17,5:45,9.866,7.882,7.116
7/7/17,6:00,10.063,7.882,6.763
7/7/17,6:15,9.965,7.882,6.763
7/7/17,6:30,9.768,7.882,6.763
7/7/17,6:45,9.768,7.782,6.661
7/7/17,7:00,9.669,7.782,6.585
7/7/17,7:15,9.768,7.782,6.712
7/7/17,7:30,9.571,7.782,6.611
7/7/17,7:45,9.571,7.782,6.611
7/7/17,8:00,9.373,7.782,6.611
7/7/17,8:15,9.571,7.782,6.611
7/7/17,8:30,9.571,7.782,6.611
7/7/17,8:45,9.472,7.782,6.56
7/7/17,9:00,9.472,7.782,6.56
7/7/17,9:15,9.373,7.782,6.509
7/7/17,9:30,9.275,7.782,6.509
7/7/17,9:45,9.176,7.582,6.509
7/7/17,10:00,8.779,7.582,6.509
7/7/17,10:15,9.077,7.682,6.509
7/7/17,10:30,8.879,7.682,6.535
7/7/17,10:45,8.879,7.582,6.535
7/7/17,11:00,8.779,7.582,6.56
7/7/17,11:15,9.275,7.782,6.636
7/7/17,11:30,9.571,7.882,6.763
7/7/17,11:45,12.11,8.082,7.318
7/8/17,12:00,10.553,7.983,7.368
7/8/17,12:15,10.259,8.779,7.444
7/8/17,12:30,10.063,8.68,7.494
7/8/17,12:45,11.334,8.581,7.569
7/8/17,1:00,11.236,8.282,7.569
7/8/17,1:15,11.236,8.382,7.594
7/8/17,1:30,11.236,8.481,7.519
7/8/17,1:45,11.041,8.481,7.268
7/8/17,2:00,11.041,7.983,7.142
7/8/17,2:15,11.334,8.382,7.469
7/8/17,2:30,11.334,8.481,7.469
7/8/17,2:45,12.401,8.282,7.444
7/8/17,3:00,14.23,8.082,7.444
7/8/17,3:15,14.613,8.382,7.343
7/8/17,3:30,11.431,8.282,6.965
7/8/17,3:45,12.013,8.182,6.94
7/8/17,4:00,10.748,8.382,6.965
7/8/17,4:15,13.365,8.581,6.94
7/8/17,4:30,11.528,8.581,6.94
7/8/17,4:45,12.401,8.779,6.94
7/8/17,5:00,15.187,8.779,7.015
7/8/17,5:15,11.236,8.68,6.99
7/8/17,5:30,13.173,8.68,6.99
7/8/17,5:45,11.625,8.978,6.99
7/8/17,6:00,12.013,8.282,6.99
7/8/17,6:15,11.722,8.282,7.066
7/8/17,6:30,14.804,8.182,7.192
7/8/17,6:45,11.041,7.882,7.293
7/8/17,7:00,11.041,8.082,7.368
7/8/17,7:15,10.259,8.182,6.965
7/8/17,7:30,10.063,8.282,6.763
7/8/17,7:45,9.965,8.282,6.636
7/8/17,8:00,9.768,7.882,6.611
7/8/17,8:15,9.866,7.782,6.611
7/8/17,8:30,9.965,7.882,6.712
7/8/17,8:45,9.669,7.682,6.788
7/8/17,9:00,9.571,7.682,6.788
7/8/17,9:15,9.669,7.882,6.889
7/8/17,9:30,9.472,7.582,6.889
7/8/17,9:45,9.176,7.582,6.94
7/8/17,10:00,9.077,7.582,6.94
7/8/17,10:15,9.077,7.481,6.99
7/8/17,10:30,9.077,7.381,6.94
7/8/17,10:45,9.077,7.481,6.99
7/8/17,11:00,9.077,7.582,6.914
7/8/17,11:15,9.176,7.481,6.914
7/8/17,11:30,9.275,7.481,6.94
7/8/17,11:45,9.571,7.682,6.94
7/8/17,12:00,9.472,7.983,6.94
7/8/17,12:15,9.472,7.882,6.965
7/8/17,12:30,9.472,7.882,6.914
7/8/17,12:45,9.472,7.983,6.914
7/8/17,1:00,9.373,7.782,6.914
7/8/17,1:15,9.472,7.882,7.116
7/8/17,1:30,9.373,7.882,7.192
7/8/17,1:45,9.373,7.983,7.293
7/8/17,2:00,9.373,7.782,7.217
7/8/17,2:15,10.161,8.779,7.217
7/8/17,2:30,10.259,8.779,7.469
7/8/17,2:45,10.161,8.382,7.469
7/8/17,3:00,11.431,8.382,7.293
7/8/17,3:15,11.528,8.581,7.217
7/8/17,3:30,11.041,7.983,7.142
7/8/17,3:45,11.041,7.882,7.066
7/8/17,4:00,11.041,7.983,7.015
7/8/17,4:15,10.748,7.983,7.167
7/8/17,4:30,11.236,8.082,7.015
7/8/17,4:45,11.139,8.182,6.99
7/8/17,5:00,10.944,8.182,7.116
7/8/17,5:15,10.846,7.983,7.091
7/8/17,5:30,10.651,7.882,7.066
7/8/17,5:45,10.651,7.882,6.99
7/8/17,6:00,10.553,7.882,7.116
7/8/17,6:15,10.455,8.382,7.167
7/8/17,6:30,10.357,8.082,7.142
7/8/17,6:45,10.259,8.282,7.594
7/8/17,7:00,10.651,8.282,7.619
7/8/17,7:15,10.063,7.983,7.494
7/8/17,7:30,9.965,7.882,7.368
7/8/17,7:45,10.161,7.882,7.217
7/8/17,8:00,10.553,7.882,7.066
7/8/17,8:15,10.063,7.882,6.813
7/8/17,8:30,10.455,8.082,6.763
7/8/17,8:45,9.669,7.983,6.737
7/8/17,9:00,9.669,7.983,6.788
7/8/17,9:15,9.571,8.082,6.737
7/8/17,9:30,9.472,8.182,6.763
7/8/17,9:45,9.571,8.182,6.788
7/8/17,10:00,9.275,7.582,6.839
7/8/17,10:15,9.472,8.082,6.864
7/8/17,10:30,9.275,7.983,6.864
7/8/17,10:45,9.176,7.682,6.889
7/8/17,11:00,9.275,7.481,6.889
7/8/17,11:15,9.176,7.381,6.914
7/8/17,11:30,9.077,7.682,6.965
7/8/17,11:45,9.077,7.582,6.965
7/9/17,12:00,9.077,7.381,7.041
7/9/17,12:15,9.077,7.381,7.015
7/9/17,12:30,9.472,7.582,7.041
7/9/17,12:45,9.373,7.582,7.116
7/9/17,1:00,9.373,7.682,7.142
7/9/17,1:15,9.275,7.582,7.066
7/9/17,1:30,9.275,7.682,7.142
7/9/17,1:45,9.275,7.782,7.167
7/9/17,2:00,9.176,7.782,7.066
7/9/17,2:15,9.077,7.782,7.091
7/9/17,2:30,9.077,7.682,7.116
7/9/17,2:45,8.978,7.782,7.192
7/9/17,3:00,10.357,8.481,7.343
7/9/17,3:15,10.259,8.282,7.569
7/9/17,3:30,9.866,8.082,7.041
7/9/17,3:45,10.357,8.481,7.745
7/9/17,4:00,12.401,8.481,7.519
7/9/17,4:15,10.357,8.282,7.544
7/9/17,4:30,10.553,8.382,7.519
7/9/17,4:45,10.944,8.082,7.494
7/9/17,5:00,10.651,7.882,7.72
7/9/17,5:15,10.846,7.882,7.469
7/9/17,5:30,10.651,7.782,7.116
7/9/17,5:45,11.041,7.682,6.965
7/9/17,6:00,10.748,7.682,7.041
7/9/17,6:15,9.669,7.782,7.142
7/9/17,6:30,9.866,7.882,7.116
7/9/17,6:45,9.472,7.882,7.167
7/9/17,7:00,9.373,7.983,7.217
7/9/17,7:15,9.965,8.182,7.343
7/9/17,7:30,9.275,8.182,7.419
7/9/17,7:45,8.978,8.182,7.343
7/9/17,8:00,9.275,8.082,7.116
7/9/17,8:15,9.373,7.983,7.015
7/9/17,8:30,9.373,7.983,6.99
7/9/17,8:45,9.373,7.983,6.889
7/9/17,9:00,9.373,7.983,6.788
7/9/17,9:15,9.373,7.983,6.763
7/9/17,9:30,9.373,7.983,6.813
7/9/17,9:45,9.077,7.782,6.788
7/9/17,10:00,9.077,7.882,6.788
7/9/17,10:15,9.077,7.782,6.839
7/9/17,10:30,8.879,7.882,6.813
7/9/17,10:45,9.373,7.782,6.813
7/9/17,11:00,9.472,7.682,6.813
7/9/17,11:15,9.077,7.682,6.839
7/9/17,11:30,8.779,7.582,6.864
7/9/17,11:45,9.571,7.682,6.864
7/9/17,12:00,9.669,7.782,6.864
7/9/17,12:15,9.768,7.782,6.889
7/9/17,12:30,9.571,7.381,6.889
7/9/17,12:45,9.472,7.682,6.889
7/9/17,1:00,9.472,7.782,6.914
7/9/17,1:15,9.373,7.882,6.94
7/9/17,1:30,9.768,7.882,6.94
7/9/17,1:45,9.669,7.882,6.914
7/9/17,2:00,9.472,7.983,6.914
7/9/17,2:15,9.472,7.882,6.914
7/9/17,2:30,9.472,7.882,7.142
7/9/17,2:45,9.965,8.082,7.167
7/9/17,3:00,9.373,7.882,7.167
7/9/17,3:15,11.528,8.581,7.569
7/9/17,3:30,11.722,7.882,7.217
7/9/17,3:45,14.038,8.581,7.745
7/9/17,4:00,13.654,7.983,7.192
7/9/17,4:15,12.787,8.182,7.142
7/9/17,4:30,14.421,8.082,7.192
7/9/17,4:45,10.259,7.983,7.091
7/9/17,5:00,14.421,7.882,7.091
7/9/17,5:15,13.269,8.082,7.116
7/9/17,5:30,13.173,8.082,7.142
