YY,MM,DD,AverageTemp
1999,12,14,7.06695652173913
1999,12,15,7.216666666666667
1999,12,16,7.37
1999,12,17,7.33875
1999,12,18,7.248125
1999,12,19,7.173125
1999,12,20,6.875624999999999
1999,12,21,6.80375
1999,12,22,6.853541666666667
1999,12,23,7.149375
1999,12,24,7.020416666666667
1999,12,25,6.7022916666666665
1999,12,26,6.441666666666666
1999,12,27,6.302291666666667
1999,12,28,5.7856250000000005
1999,12,29,5.8602083333333335
1999,12,30,5.877291666666666
1999,12,31,6.166666666666667
2000,1,1,6.23375
2000,1,2,5.851875
2000,1,3,5.799375
2000,1,4,5.66
2000,1,5,5.8675
2000,1,6,5.715
2000,1,7,5.43
2000,1,8,5.528125
2000,1,9,5.704166666666667
2000,1,10,5.714166666666666
2000,1,11,5.604583333333333
2000,1,12,5.7647916666666665
2000,1,13,5.738125
2000,1,14,5.224166666666666
2000,1,15,4.073958333333334
2000,1,16,3.6825
2000,1,17,4.14875
2000,1,18,3.517916666666667
2000,1,19,4.008125
2000,1,20,4.069791666666667
2000,1,21,3.8360416666666666
2000,1,22,3.1645833333333333
2000,1,23,2.9091666666666667
2000,1,24,3.4341666666666666
2000,1,25,3.155625
2000,1,26,3.2360416666666665
2000,1,27,3.2333333333333334
2000,1,28,2.8847916666666666
2000,1,29,2.0052083333333335
2000,1,30,1.3460416666666668
2000,1,31,1.7816666666666667
2000,2,1,2.106666666666667
2000,2,2,2.511875
2000,2,3,2.0064583333333332
2000,2,4,2.236666666666667
2000,2,5,2.1966666666666668
2000,2,6,2.501875
2000,2,7,2.570625
2000,2,8,2.8202083333333334
2000,2,9,2.623125
2000,2,10,2.8341666666666665
2000,2,11,2.727708333333333
2000,2,12,2.558125
2000,2,13,2.3866666666666667
2000,2,14,2.34
2000,2,15,2.3266666666666667
2000,2,16,2.3997916666666668
2000,2,17,2.6020833333333333
2000,2,18,2.6020833333333333
2000,2,19,2.413125
2000,2,20,2.4233333333333333
2000,2,21,2.7314583333333333
2000,2,22,2.660625
2000,2,23,2.7508333333333335
2000,2,24,2.953333333333333
2000,2,25,2.9899999999999998
2000,2,26,3.01
2000,2,27,3.083333333333333
2000,2,28,3.1866666666666665
2000,2,29,3.3033333333333332
2000,3,1,3.364375
2000,3,2,3.451875
2000,3,3,3.476875
2000,3,4,3.506666666666667
2000,3,5,3.470625
2000,3,6,3.533333333333333
2000,3,7,3.6233333333333335
2000,3,8,3.64
2000,3,9,3.65
2000,3,10,3.6889583333333333
2000,3,11,3.800625
2000,3,12,3.9406250000000003
2000,3,13,3.88125
2000,3,14,3.846875
2000,3,15,3.853125
2000,3,16,3.9691666666666667
2000,3,17,4.063541666666667
2000,3,18,3.8806249999999998
2000,3,19,3.8
2000,3,20,3.75
2000,3,21,3.7533333333333334
2000,3,22,3.743333333333333
2000,3,23,3.736666666666667
2000,3,24,3.75
2000,3,25,3.7966666666666664
2000,3,26,3.8
2000,3,27,3.8031249999999996
2000,3,28,3.955625
2000,3,29,4.426041666666666
2000,3,30,4.092708333333333
2000,3,31,4.1189583333333335
2000,4,1,4.003333333333334
2000,4,2,4.119791666666667
2000,4,3,4.139166666666666
2000,4,4,4.1658333333333335
2000,4,5,4.07
2000,4,6,4.000625
2000,4,7,4.07
2000,4,8,4.260833333333333
2000,4,9,4.706875
2000,4,10,4.723125
2000,4,11,4.6033333333333335
2000,4,12,4.593333333333334
2000,4,13,4.863333333333333
2000,4,14,5.1025
2000,4,15,5.310416666666667
2000,4,16,5.228541666666667
2000,4,17,5.3464583333333335
2000,4,18,5.892708333333333
2000,4,19,6.033333333333333
2000,4,20,5.98
2000,4,21,6.134375
2000,4,22,6.099583333333333
2000,4,23,5.855
2000,4,24,5.83
2000,4,25,5.86125
2000,4,26,5.9750000000000005
2000,4,27,5.88
2000,4,28,5.925833333333333
2000,4,29,5.858333333333333
2000,4,30,5.84875
2000,5,1,5.940833333333334
2000,5,2,6.07625
2000,5,3,6.037708333333334
2000,5,4,6.145
2000,5,5,5.985625
2000,5,6,5.858958333333334
2000,5,7,5.839375
2000,5,8,5.839375
2000,5,9,5.87375
2000,5,10,6.603541666666667
2000,5,11,7.976458333333333
2000,5,12,8.684791666666667
2000,5,13,8.385833333333332
2000,5,14,7.686875000000001
2000,5,15,7.314375
2000,5,16,7.119375
2000,5,17,7.340625
2000,5,18,7.125
2000,5,19,6.240833333333334
2000,5,20,6.88125
2000,5,21,7.33375
2000,5,22,6.800416666666667
2000,5,23,6.671875
2000,5,24,6.4799999999999995
2001,3,20,3.69
2001,3,21,3.69
2001,3,22,3.8066666666666666
2001,3,23,3.8333333333333335
2001,3,24,3.7866666666666666
2001,3,25,3.85
2001,3,26,3.836666666666667
2001,3,27,3.836666666666667
2001,3,28,3.85
2001,3,29,3.85
2001,3,30,3.9666666666666663
2001,3,31,3.9366666666666665
2001,4,1,3.8633333333333333
2001,4,2,3.79
2001,4,3,3.8033333333333332
2001,4,4,3.85
2001,4,5,3.85
2001,4,6,3.886041666666667
