YY,mean
1979,NA
1980,NA
1981,NA
1982,9.24855710550103
1983,9.457770542675437
1984,9.299381193040825
1985,9.199264284223695
1986,9.193941725506091
1987,9.388962605652045
1988,9.14682700862714
1989,9.23396991507814
1990,9.243113739056335
1991,9.244898459745324
1992,9.059816434495543
1993,9.224784765843461
1994,9.240629753878343
1995,9.404804808266451
1996,9.147903400818343
1997,9.297005783565552
1998,8.227628570021748
1999,8.632893488010293
2000,9.492298152057163
2001,7.828878464090554
2002,9.839667387323516
2003,8.368194177056441
2004,8.567656744089167
2005,7.7008738615664845
2006,9.818980651925276
2007,8.173757868045872
2008,9.243792392707528
2009,9.653019919238186
2010,9.40564726232352
2011,10.009042520491803
2012,10.403705102459016
2013,9.920528346994535
2014,8.913563596491228
2015,9.958805157103825
2016,10.334803449453553
2017,9.344122960104176
2018,10.198327319686678
2019,9.182263527687068
2020,9.887314701102826
2021,11.73120937476694
2022,9.568639368985806
