MM,DD,YY,HRI_AverageTemp,HRI_MaxTemp,HRI_TempDifference,Samples_per_day
1,1,2000,6.23375,6.29,0.056250000000000355,48
1,1,2002,6.525625,6.69,0.1643750000000006,48
1,1,2005,5.0597916666666665,5.24,0.18020833333333375,48
1,1,2006,5.608333333333333,5.75,0.1416666666666666,48
1,1,2008,5.232708333333333,5.42,0.18729166666666686,48
1,1,2009,4.9998125,5.565,0.5651875000000004,48
1,1,2010,4.489166666666667,4.88,0.39083333333333314,48
1,1,2012,7.877125,8.02,0.1428749999999992,48
1,1,2013,7.4965,7.77,0.2734999999999994,48
1,1,2014,6.116270833333333,6.661,0.5447291666666665,48
1,1,2015,6.8453125,7.619,0.7736874999999994,48
1,1,2016,8.6535625,8.792,0.1384375000000002,48
1,2,2000,5.851875,6.29,0.4381250000000003,48
1,2,2002,6.3062499999999995,6.53,0.22375000000000078,48
1,2,2005,5.104791666666666,5.24,0.13520833333333382,48
1,2,2006,5.60125,5.75,0.14874999999999972,48
1,2,2008,4.779583333333333,5.13,0.3504166666666668,48
1,2,2009,5.0638125,5.257,0.19318749999999962,48
1,2,2010,4.464791666666667,4.88,0.4152083333333332,48
1,2,2012,7.793916666666666,8.07,0.2760833333333341,48
1,2,2013,7.017854166666667,7.419,0.40114583333333265,48
1,2,2014,5.481354166666667,6.23,0.7486458333333337,48
1,2,2015,7.3144583333333335,8.045,0.7305416666666664,48
1,2,2016,8.497229166666667,8.817,0.3197708333333331,48
1,3,2000,5.799375,5.98,0.18062500000000004,48
1,3,2002,6.316666666666666,6.38,0.06333333333333346,48
1,3,2005,5.355416666666667,5.39,0.034583333333332966,48
1,3,2006,5.661666666666666,6.06,0.39833333333333343,48
1,3,2008,4.453333333333333,4.84,0.3866666666666667,48
1,3,2009,5.047083333333333,5.205,0.15791666666666693,48
1,3,2010,4.157916666666667,4.59,0.43208333333333293,48
1,3,2012,7.942395833333333,8.095,0.15260416666666732,48
1,3,2013,6.351791666666666,6.661,0.3092083333333333,48
1,3,2014,4.816895833333334,5.437,0.6201041666666667,48
1,3,2015,7.060833333333333,7.619,0.5581666666666667,48
1,3,2016,8.20425,8.469,0.2647499999999994,48
1,4,2000,5.66,5.83,0.16999999999999993,48
1,4,2002,6.141041666666666,6.38,0.2389583333333336,48
1,4,2005,5.286041666666667,5.39,0.10395833333333293,48
1,4,2006,5.59875,5.75,0.1512500000000001,48
1,4,2008,4.6225,4.84,0.21750000000000025,48
1,4,2009,4.773875,4.947,0.17312499999999975,48
1,4,2010,3.8670833333333334,4.29,0.4229166666666666,48
1,4,2012,7.422395833333333,7.67,0.24760416666666707,48
1,4,2013,6.043125,6.357,0.31387500000000035,48
1,4,2014,4.4138125,4.688,0.27418750000000003,48
1,4,2015,6.954166666666667,7.92,0.9658333333333333,48
1,4,2016,8.0600625,8.419,0.3589374999999997,48
1,5,2000,5.8675,5.98,0.11250000000000071,48
1,5,2002,5.913541666666666,6.06,0.14645833333333336,48
1,5,2005,5.196458333333333,5.39,0.1935416666666665,48
1,5,2006,5.5893749999999995,5.75,0.16062500000000046,48
1,5,2008,4.489583333333333,4.84,0.3504166666666668,48
1,5,2009,4.752791666666667,4.921,0.1682083333333333,48
1,5,2010,3.8670833333333334,4.29,0.4229166666666666,48
1,5,2012,6.916083333333333,7.268,0.3519166666666669,48
1,5,2013,6.381645833333334,6.611,0.22935416666666608,48
1,5,2014,4.382875,4.74,0.3571249999999999,48
1,5,2015,6.924979166666667,7.519,0.5940208333333334,48
1,5,2016,7.738333333333333,7.995,0.2566666666666668,48
1,6,2000,5.715,5.83,0.11500000000000021,48
1,6,2002,6.083125,6.38,0.296875,48
1,6,2005,4.819375,5.08,0.2606250000000001,48
1,6,2006,5.684166666666666,5.75,0.06583333333333385,48
1,6,2008,4.459375,4.84,0.3806250000000002,48
1,6,2009,4.760354166666667,4.973,0.2126458333333332,48
1,6,2010,3.7824999999999998,4,0.21750000000000025,48
1,6,2012,6.787708333333333,7.242,0.4542916666666672,48
1,6,2013,6.3509375,6.585,0.23406250000000028,48
1,6,2014,4.73825,4.895,0.15674999999999972,48
1,6,2015,6.800458333333333,7.116,0.3155416666666664,48
1,6,2016,7.2264375,7.494,0.2675624999999995,48
1,7,2000,5.43,5.52,0.08999999999999986,48
1,7,2002,6.170624999999999,6.22,0.04937500000000039,48
1,7,2005,4.845208333333333,5.08,0.23479166666666718,48
1,7,2006,5.667083333333333,5.91,0.2429166666666669,48
1,7,2008,4.501666666666667,4.84,0.33833333333333293,48
1,7,2009,4.92275,4.973,0.05025000000000013,48
1,7,2010,3.5710416666666664,4,0.42895833333333355,48
1,7,2012,6.7999583333333335,7.167,0.36704166666666627,48
1,7,2013,6.429166666666666,6.813,0.38383333333333347,48
1,7,2014,4.607291666666667,4.74,0.13270833333333343,48
1,7,2015,6.606354166666667,6.889,0.2826458333333335,48
1,7,2016,7.34675,7.67,0.3232499999999998,48
1,8,2000,5.528125,5.83,0.3018749999999999,48
1,8,2002,6.085416666666666,6.22,0.1345833333333335,48
1,8,2005,4.862708333333333,5.08,0.2172916666666671,48
1,8,2006,5.886458333333334,6.06,0.17354166666666604,48
1,8,2008,4.719166666666666,4.84,0.12083333333333357,48
1,8,2009,4.77325,4.999,0.22574999999999967,48
1,8,2010,3.5347916666666666,3.71,0.1752083333333334,48
1,8,2012,6.731541666666667,6.864,0.13245833333333312,48
1,8,2013,6.927375,7.041,0.11362500000000075,48
1,8,2014,4.607833333333334,4.688,0.08016666666666605,48
1,8,2015,6.311208333333333,6.458,0.1467916666666671,48
1,8,2016,7.266979166666666,7.544,0.27702083333333327,48
1,9,2000,5.704166666666667,5.83,0.12583333333333346,48
1,9,2002,5.86875,6.06,0.19124999999999925,48
1,9,2005,4.703333333333333,4.93,0.22666666666666657,48
1,9,2006,5.804375,6.06,0.2556249999999993,48
1,9,2008,4.695,4.84,0.14499999999999957,48
1,9,2009,4.718020833333333,4.921,0.20297916666666715,48
1,9,2010,3.5952083333333333,3.71,0.11479166666666663,48
1,9,2012,6.825645833333334,7.192,0.36635416666666654,48
1,9,2013,6.8784375,7.066,0.1875624999999994,48
1,9,2014,4.324,4.48,0.15600000000000058,48
1,9,2015,6.164291666666667,6.357,0.19270833333333304,48
1,9,2016,7.150375,7.368,0.21762499999999996,48
1,10,2000,5.714166666666666,5.83,0.11583333333333368,48
1,10,2002,5.531041666666667,5.91,0.3789583333333333,48
1,10,2005,4.762291666666667,5.08,0.31770833333333304,48
1,10,2006,5.690416666666667,5.91,0.21958333333333346,48
1,10,2008,4.610416666666667,4.84,0.22958333333333325,48
1,10,2009,4.299354166666666,4.662,0.36264583333333356,48
1,10,2010,3.40125,3.42,0.018749999999999822,48
1,10,2012,6.675104166666666,6.864,0.18889583333333348,48
1,10,2013,6.355229166666667,6.864,0.5087708333333332,48
1,10,2014,4.2132708333333335,4.402,0.18872916666666661,48
1,10,2015,5.927770833333334,6.102,0.17422916666666666,48
1,10,2016,7.2203124999999995,7.268,0.04768750000000033,48
1,11,2000,5.604583333333333,5.83,0.22541666666666682,48
1,11,2002,5.752083333333333,6.06,0.3079166666666664,48
1,11,2005,4.948958333333334,5.08,0.1310416666666665,48
1,11,2006,5.683541666666667,6.06,0.3764583333333329,48
1,11,2008,4.610416666666667,4.84,0.22958333333333325,48
1,11,2009,4.003770833333333,4.662,0.6582291666666666,48
1,11,2010,3.1950000000000003,3.42,0.22499999999999964,48
