YY,MM,DD,AverageTemp
1996,11,4,10.8925
1996,11,5,10.738958333333334
1996,11,6,10.551666666666666
1996,11,7,10.589375
1996,11,8,10.668541666666666
1996,11,9,10.81
1996,11,10,10.86
1996,11,11,10.643958333333334
1996,11,12,10.44
1996,11,13,10.230625
1996,11,14,9.967291666666666
1996,11,15,9.136041666666667
1996,11,16,8.96875
1996,11,17,9.196041666666668
1996,11,18,9.370000000000001
1996,11,19,9.41875
1996,11,20,9.167083333333334
1996,11,21,8.740208333333333
1996,11,22,8.321458333333332
1996,11,23,8.379166666666666
1996,11,24,8.312083333333334
1996,11,25,8.616458333333334
1996,11,26,8.505625
1996,11,27,8.30875
1996,11,28,8.237499999999999
1996,11,29,7.9475
1996,11,30,7.698958333333334
1996,12,1,7.771458333333333
1996,12,2,8.174375
1996,12,3,8.035416666666666
1996,12,4,8.039166666666667
1996,12,5,7.831458333333333
1996,12,6,7.722708333333333
1996,12,7,7.757291666666666
1996,12,8,7.738541666666666
1996,12,9,7.653333333333333
1996,12,10,7.320208333333333
1996,12,11,7.261041666666666
1996,12,12,7.097708333333333
1996,12,13,7.275833333333333
1996,12,14,7.0685416666666665
1996,12,15,6.839583333333334
1996,12,16,6.704166666666667
1996,12,17,6.837291666666666
1996,12,18,6.8325
1996,12,19,7.036666666666667
1996,12,20,7.4227083333333335
1996,12,21,7.225416666666667
1996,12,22,7.0252083333333335
1996,12,23,6.898958333333333
1996,12,24,7.009375
1996,12,25,7.5575
1996,12,26,6.710833333333333
1996,12,27,7.243333333333333
1996,12,28,6.7993749999999995
1996,12,29,7.070416666666667
1996,12,30,7.375
1996,12,31,6.83875
1997,1,1,5.649791666666666
1997,1,2,5.7960416666666665
1997,1,3,5.954166666666667
1997,1,4,6.0477083333333335
1997,1,5,5.888541666666667
1997,1,6,6.142083333333333
1997,1,7,6.147916666666666
1997,1,8,6.14875
1997,1,9,5.879166666666666
1997,1,10,5.87
1997,1,11,5.708125
1997,1,12,5.509166666666666
1997,1,13,5.317083333333334
1997,1,14,5.168125
1997,1,15,5.199375
1997,1,16,4.9070833333333335
1997,1,17,4.7525
1997,1,18,4.870416666666666
1997,1,19,4.4712499999999995
1997,1,20,4.263333333333333
1997,1,21,4.195833333333333
1997,1,22,4.046875
1997,1,23,4.318125
1997,1,24,4.109166666666667
1997,1,25,4.1725
1997,1,26,4.02875
1997,1,27,3.7170833333333335
1997,1,28,3.9970833333333333
1997,1,29,3.8449999999999998
1997,1,30,3.501875
1997,1,31,3.6741666666666664
1997,2,1,3.7022916666666665
1997,2,2,3.6333333333333333
1997,2,3,3.545208333333333
1997,2,4,3.4877083333333334
1997,2,5,3.585625
1997,2,6,3.680833333333333
1997,2,7,3.6218749999999997
1997,2,8,3.5858333333333334
1997,2,9,3.53
1997,2,10,3.480208333333333
1997,2,11,3.41125
1997,2,12,3.389375
1997,2,13,3.4685416666666664
1997,2,14,3.38
1997,2,15,3.4570833333333333
1997,2,16,3.31625
1997,2,17,3.355625
