YY,mean
1979,NA
1980,NA
1981,NA
1982,11.385411775289716
1983,11.56256251051878
1984,11.338085860794884
1985,11.360997734253477
1986,11.266045172672483
1987,11.486379113558463
1988,11.223040712908695
1989,11.491565853275475
1990,11.510043663479587
1991,11.563151264192589
1992,11.001418616538261
1993,11.281387012947503
1994,11.333864601275701
1995,11.506954738627266
1996,11.405393138579077
1997,12.287134386500274
1998,10.172252390710382
1999,11.267350192498759
2000,12.416693083502677
2001,10.571137643582023
2002,12.56193674863388
2003,10.783429620342563
2004,11.405090075215169
2005,10.634821077155038
2006,11.49980572208096
2007,10.86693960235587
2008,12.042816598360655
2009,12.967050841691055
2010,11.35640979065783
2011,12.438708333333333
2012,11.216692927137753
2013,12.327192254803544
2014,11.319129293520687
2015,12.855922513241476
2016,13.184603488495554
2017,11.824636645015877
2018,13.002329104990945
2019,11.973351958568067
2020,12.500362233737004
2021,14.563597109660995
2022,12.23579829710925
