Date,YY,MM,DD,Buoy44029_2m,Buoy44029_20m,Buoy44005,Buoy44013,Buoy44098,OISST,HRI_Tidbit,HRO_Tidbit,Season
1979-01-01,1979,1,1,NA,NA,6.975000024,NA,NA,NA,NA,NA,Cold
1979-01-02,1979,1,2,NA,NA,7.174999833,NA,NA,NA,NA,NA,Cold
1979-01-03,1979,1,3,NA,NA,7.012499988,NA,NA,NA,NA,NA,Cold
1979-01-04,1979,1,4,NA,NA,6.84444454,NA,NA,NA,NA,NA,Cold
1979-01-05,1979,1,5,NA,NA,6.866666794,NA,NA,NA,NA,NA,Cold
1979-01-06,1979,1,6,NA,NA,6.599999905,NA,NA,NA,NA,NA,Cold
1979-01-07,1979,1,7,NA,NA,6.599999905,NA,NA,NA,NA,NA,Cold
1979-01-08,1979,1,8,NA,NA,6.75,NA,NA,NA,NA,NA,Cold
1979-01-09,1979,1,9,NA,NA,6.699999928,NA,NA,NA,NA,NA,Cold
1979-01-10,1979,1,10,NA,NA,6.5,NA,NA,NA,NA,NA,Cold
1979-01-11,1979,1,11,NA,NA,6.425000072,NA,NA,NA,NA,NA,Cold
1979-01-12,1979,1,12,NA,NA,6.362500131,NA,NA,NA,NA,NA,Cold
1979-01-13,1979,1,13,NA,NA,6.362500072,NA,NA,NA,NA,NA,Cold
1979-01-14,1979,1,14,NA,NA,6.450000048,NA,NA,NA,NA,NA,Cold
1979-01-15,1979,1,15,NA,NA,6.375000119,NA,NA,NA,NA,NA,Cold
1979-01-16,1979,1,16,NA,NA,6.287500143,NA,NA,NA,NA,NA,Cold
1979-01-17,1979,1,17,NA,NA,6.212499917,NA,NA,NA,NA,NA,Cold
1979-01-18,1979,1,18,NA,NA,6.237499893,NA,NA,NA,NA,NA,Cold
1979-01-19,1979,1,19,NA,NA,6.366666794,NA,NA,NA,NA,NA,Cold
1979-01-20,1979,1,20,NA,NA,6.237499893,NA,NA,NA,NA,NA,Cold
1979-01-21,1979,1,21,NA,NA,6.362500012,NA,NA,NA,NA,NA,Cold
1979-01-22,1979,1,22,NA,NA,6.524999976,NA,NA,NA,NA,NA,Cold
1979-01-23,1979,1,23,NA,NA,6.414285796,NA,NA,NA,NA,NA,Cold
1979-01-24,1979,1,24,NA,NA,6.362500131,NA,NA,NA,NA,NA,Cold
1979-01-25,1979,1,25,NA,NA,6.440000057,NA,NA,NA,NA,NA,Cold
1979-01-26,1979,1,26,NA,NA,6.56249994,NA,NA,NA,NA,NA,Cold
1979-01-27,1979,1,27,NA,NA,6.649999917,NA,NA,NA,NA,NA,Cold
1979-01-28,1979,1,28,NA,NA,6.612499893,NA,NA,NA,NA,NA,Cold
1979-01-29,1979,1,29,NA,NA,6.674999952,NA,NA,NA,NA,NA,Cold
1979-01-30,1979,1,30,NA,NA,6.674999833,NA,NA,NA,NA,NA,Cold
1979-01-31,1979,1,31,NA,NA,6.712499857,NA,NA,NA,NA,NA,Cold
1979-02-01,1979,2,1,NA,NA,6.687499881,NA,NA,NA,NA,NA,Cold
1979-02-02,1979,2,2,NA,NA,6.5,NA,NA,NA,NA,NA,Cold
1979-02-03,1979,2,3,NA,NA,6.337500155,NA,NA,NA,NA,NA,Cold
1979-02-04,1979,2,4,NA,NA,6.350000143,NA,NA,NA,NA,NA,Cold
1979-02-05,1979,2,5,NA,NA,6.300000191,NA,NA,NA,NA,NA,Cold
1979-02-06,1979,2,6,NA,NA,6.350000143,NA,NA,NA,NA,NA,Cold
1979-02-07,1979,2,7,NA,NA,6.25,NA,NA,NA,NA,NA,Cold
1979-02-08,1979,2,8,NA,NA,6.124999881,NA,NA,NA,NA,NA,Cold
1979-02-09,1979,2,9,NA,NA,6.049999952,NA,NA,NA,NA,NA,Cold
1979-02-10,1979,2,10,NA,NA,6,NA,NA,NA,NA,NA,Cold
1979-02-11,1979,2,11,NA,NA,5.825000048,NA,NA,NA,NA,NA,Cold
1979-02-12,1979,2,12,NA,NA,5.512499988,NA,NA,NA,NA,NA,Cold
1979-02-13,1979,2,13,NA,NA,5.375000119,NA,NA,NA,NA,NA,Cold
1979-02-14,1979,2,14,NA,NA,5.412500083,NA,NA,NA,NA,NA,Cold
1979-02-15,1979,2,15,NA,NA,5.285714286,NA,NA,NA,NA,NA,Cold
1979-02-16,1979,2,16,NA,NA,4.399999976,NA,NA,NA,NA,NA,Cold
1979-02-17,1979,2,17,NA,NA,4,NA,NA,NA,NA,NA,Cold
1979-02-18,1979,2,18,NA,NA,3.828571422,NA,NA,NA,NA,NA,Cold
1979-02-19,1979,2,19,NA,NA,3.599999994,NA,NA,NA,NA,NA,Cold
1979-02-20,1979,2,20,NA,NA,3.450000048,NA,NA,NA,NA,NA,Cold
1979-02-21,1979,2,21,NA,NA,3.475000024,NA,NA,NA,NA,NA,Cold
1979-02-22,1979,2,22,NA,NA,3.575000018,NA,NA,NA,NA,NA,Cold
1979-02-23,1979,2,23,NA,NA,3.342857122,NA,NA,NA,NA,NA,Cold
1979-02-24,1979,2,24,NA,NA,3.18749994,NA,NA,NA,NA,NA,Cold
1979-02-25,1979,2,25,NA,NA,3.25,NA,NA,NA,NA,NA,Cold
1979-02-26,1979,2,26,NA,NA,3.174999952,NA,NA,NA,NA,NA,Cold
1979-02-27,1979,2,27,NA,NA,3.337499976,NA,NA,NA,NA,NA,Cold
1979-02-28,1979,2,28,NA,NA,3.287499964,NA,NA,NA,NA,NA,Cold
1979-03-01,1979,3,1,NA,NA,3.237500012,NA,NA,NA,NA,NA,Cold
1979-03-02,1979,3,2,NA,NA,3.225000024,NA,NA,NA,NA,NA,Cold
1979-03-03,1979,3,3,NA,NA,3.212500036,NA,NA,NA,NA,NA,Cold
1979-03-04,1979,3,4,NA,NA,3.349999964,NA,NA,NA,NA,NA,Cold
1979-03-05,1979,3,5,NA,NA,3.462500036,NA,NA,NA,NA,NA,Cold
1979-03-06,1979,3,6,NA,NA,3.56249994,NA,NA,NA,NA,NA,Cold
1979-03-07,1979,3,7,NA,NA,3.614285639,NA,NA,NA,NA,NA,Cold
1979-03-08,1979,3,8,NA,NA,3.775000006,NA,NA,NA,NA,NA,Cold
1979-03-09,1979,3,9,NA,NA,3.800000012,NA,NA,NA,NA,NA,Cold
1979-03-10,1979,3,10,NA,NA,3.81250003,NA,NA,NA,NA,NA,Cold
1979-03-11,1979,3,11,NA,NA,3.824999988,NA,NA,NA,NA,NA,Cold
1979-03-12,1979,3,12,NA,NA,4.12499994,NA,NA,NA,NA,NA,Cold
1979-03-13,1979,3,13,NA,NA,4.099999905,NA,NA,NA,NA,NA,Cold
1979-03-14,1979,3,14,NA,NA,4.262499988,NA,NA,NA,NA,NA,Cold
1979-03-15,1979,3,15,NA,NA,4.412500083,NA,NA,NA,NA,NA,Cold
1979-03-16,1979,3,16,NA,NA,4.112500012,NA,NA,NA,NA,NA,Cold
1979-03-17,1979,3,17,NA,NA,3.683333317,NA,NA,NA,NA,NA,Cold
1979-03-18,1979,3,18,NA,NA,3.737500012,NA,NA,NA,NA,NA,Cold
1979-03-19,1979,3,19,NA,NA,3.914285694,NA,NA,NA,NA,NA,Cold
1979-03-20,1979,3,20,NA,NA,3.987500012,NA,NA,NA,NA,NA,Cold
1979-03-21,1979,3,21,NA,NA,4.124999881,NA,NA,NA,NA,NA,Cold
1979-03-22,1979,3,22,NA,NA,4.149999976,NA,NA,NA,NA,NA,Cold
1979-03-23,1979,3,23,NA,NA,4.24999994,NA,NA,NA,NA,NA,Cold
1979-03-24,1979,3,24,NA,NA,4.349999964,NA,NA,NA,NA,NA,Cold
1979-03-25,1979,3,25,NA,NA,4.237499952,NA,NA,NA,NA,NA,Cold
1979-03-26,1979,3,26,NA,NA,4.375000119,NA,NA,NA,NA,NA,Cold
1979-03-27,1979,3,27,NA,NA,4.324999988,NA,NA,NA,NA,NA,Cold
1979-03-28,1979,3,28,NA,NA,4.274999917,NA,NA,NA,NA,NA,Cold
1979-03-29,1979,3,29,NA,NA,4.325000167,NA,NA,NA,NA,NA,Cold
1979-03-30,1979,3,30,NA,NA,4.371428694,NA,NA,NA,NA,NA,Cold
1979-03-31,1979,3,31,NA,NA,4.425000072,NA,NA,NA,NA,NA,Cold
1979-04-01,1979,4,1,NA,NA,4.371428694,NA,NA,NA,NA,NA,Cold
1979-04-02,1979,4,2,NA,NA,4.312500119,NA,NA,NA,NA,NA,Cold
1979-04-03,1979,4,3,NA,NA,4.485714299,NA,NA,NA,NA,NA,Cold
1979-04-04,1979,4,4,NA,NA,4.68749994,NA,NA,NA,NA,NA,Cold
1979-04-05,1979,4,5,NA,NA,4.724999905,NA,NA,NA,NA,NA,Cold
1979-04-06,1979,4,6,NA,NA,4.712499917,NA,NA,NA,NA,NA,Cold
1979-04-07,1979,4,7,NA,NA,4.642857007,NA,NA,NA,NA,NA,Cold
1979-04-08,1979,4,8,NA,NA,4.674999893,NA,NA,NA,NA,NA,Cold
1979-04-09,1979,4,9,NA,NA,4.637499869,NA,NA,NA,NA,NA,Cold
1979-04-10,1979,4,10,NA,NA,4.75,NA,NA,NA,NA,NA,Cold
1979-04-11,1979,4,11,NA,NA,4.800000032,NA,NA,NA,NA,NA,Cold
1979-04-12,1979,4,12,NA,NA,4.875000119,NA,NA,NA,NA,NA,Cold
1979-04-13,1979,4,13,NA,NA,4.771428653,NA,NA,NA,NA,NA,Cold
1979-04-14,1979,4,14,NA,NA,4.571428503,NA,NA,NA,NA,NA,Cold
1979-04-15,1979,4,15,NA,NA,4.56249994,NA,NA,NA,NA,NA,Cold
1979-04-16,1979,4,16,NA,NA,4.557142803,NA,NA,NA,NA,NA,Cold
1979-04-17,1979,4,17,NA,NA,4.775000036,NA,NA,NA,NA,NA,Cold
1979-04-18,1979,4,18,NA,NA,4.871428558,NA,NA,NA,NA,NA,Cold
1979-04-19,1979,4,19,NA,NA,5.050000012,NA,NA,NA,NA,NA,Cold
1979-04-20,1979,4,20,NA,NA,4.871428626,NA,NA,NA,NA,NA,Cold
1979-04-21,1979,4,21,NA,NA,5.185714313,NA,NA,NA,NA,NA,Cold
1979-04-22,1979,4,22,NA,NA,5.337499976,NA,NA,NA,NA,NA,Cold
1979-04-23,1979,4,23,NA,NA,5.912499964,NA,NA,NA,NA,NA,Cold
1979-04-24,1979,4,24,NA,NA,6.262500048,NA,NA,NA,NA,NA,Cold
1979-04-25,1979,4,25,NA,NA,6.599999984,NA,NA,NA,NA,NA,Cold
1979-04-26,1979,4,26,NA,NA,6.462500036,NA,NA,NA,NA,NA,Cold
1979-04-27,1979,4,27,NA,NA,6.087499976,NA,NA,NA,NA,NA,Cold
1979-04-28,1979,4,28,NA,NA,6.112500012,NA,NA,NA,NA,NA,Cold
