YY,MM,DD,AverageTemp
1996,11,3,10.89375
1996,11,4,10.613125
1996,11,5,10.614583333333334
1996,11,6,10.45875
1996,11,7,10.477708333333334
1996,11,8,10.558333333333334
1996,11,9,11.048333333333334
1996,11,10,11.001041666666667
1996,11,11,10.656458333333333
1996,11,12,10.468958333333333
1996,11,13,10.159583333333334
1996,11,14,9.936875
1996,11,15,9.44
1996,11,16,9.136458333333334
1996,11,17,8.941041666666667
1996,11,18,8.719583333333333
1996,11,19,8.653125
1996,11,20,8.454791666666667
1996,11,21,8.1345833333333335
1996,11,22,7.8758333333333335
1996,11,23,7.703541666666666
1996,11,24,7.723541666666667
1996,11,25,7.798541666666667
1996,11,26,7.946875
1996,11,27,7.648333333333333
1996,11,28,6.846875
1996,11,29,6.817708333333333
1996,11,30,6.857916666666666
1996,12,1,6.831041666666667
1996,12,2,6.9522916666666665
1996,12,3,7.216666666666667
1996,12,4,7.335625
1996,12,5,7.363333333333333
1996,12,6,7.083958333333333
1996,12,7,6.624583333333334
1996,12,8,6.610625
1996,12,9,6.702500000000001
1996,12,10,6.503541666666667
1996,12,11,6.495625
1996,12,12,6.426041666666666
1996,12,13,6.54
1996,12,14,6.735
1996,12,15,6.693333333333333
1996,12,16,6.623333333333333
1996,12,17,6.6433333333333335
1996,12,18,6.755625
1996,12,19,6.786875
1996,12,20,6.929583333333333
1996,12,21,6.728541666666667
1996,12,22,6.870208333333333
1996,12,23,6.407916666666667
1996,12,24,6.683125
1996,12,25,7.065625
1996,12,26,6.839166666666666
1996,12,27,6.897708333333333
1996,12,28,6.613958333333334
1996,12,29,6.919375
1996,12,30,7.131458333333333
1996,12,31,6.36375
1997,1,1,5.555
1997,1,2,5.180625
1997,1,3,5.38125
1997,1,4,5.416458333333334
1997,1,5,5.561875
1997,1,6,5.670833333333333
1997,1,7,5.520208333333334
1997,1,8,5.168541666666667
1997,1,9,4.958125
1997,1,10,5.028958333333333
1997,1,11,4.685833333333333
1997,1,12,4.378958333333333
1997,1,13,4.21125
1997,1,14,4.145625
1997,1,15,4.153125
1997,1,16,4.0375
1997,1,17,3.6570833333333335
1997,1,18,3.2710416666666666
1997,1,19,2.7581249999999997
1997,1,20,2.3204166666666666
1997,1,21,2.78125
1997,1,22,2.8227083333333334
1997,1,23,3.586666666666667
1997,1,24,3.2916666666666665
1997,1,25,3.2079166666666667
1997,1,26,3.3806249999999998
1997,1,27,2.8545833333333333
1997,1,28,3.029583333333333
1997,1,29,3.2962499999999997
1997,1,30,2.6799999999999997
1997,1,31,2.46
1997,2,1,2.68625
1997,2,2,2.953333333333333
1997,2,3,2.9966666666666666
1997,2,4,2.8954166666666667
1997,2,5,2.9066666666666667
1997,2,6,2.9699999999999998
1997,2,7,2.953333333333333
1997,2,8,2.7595833333333335
1997,2,9,2.3733333333333335
1997,2,10,2.6054166666666667
1997,2,11,2.5954166666666665
1997,2,12,2.4899999999999998
1997,2,13,2.5633333333333335
1997,2,14,2.52
1997,2,15,2.75875
1997,2,16,2.8172916666666667
1997,2,17,2.3797916666666667
1997,2,18,2.3433333333333333
1997,2,19,2.6829166666666664
1997,2,20,2.986666666666667
1997,2,21,3.2560416666666665
1997,2,22,3.668125
1997,2,23,3.763333333333333
1997,2,24,3.7733333333333334
1997,2,25,3.3595454545454544
1997,2,26,3.263333333333333
1997,2,27,3.581875
1997,2,28,3.69
1997,3,1,3.7666666666666666
1997,3,2,3.8066666666666666
1997,3,3,3.9066666666666667
1997,3,4,3.77
1997,3,5,3.84
1997,3,6,3.895625
1997,3,7,3.776666666666667
1997,3,8,3.62
1997,3,9,3.2227083333333333
1997,3,10,3.3433333333333333
1997,3,11,3.46
1997,3,12,3.2933333333333334
1997,3,13,2.94125
1997,3,14,2.9033333333333333
1997,3,15,3.05
1997,3,16,3.0933333333333333
1997,3,17,2.9966666666666666
1997,3,18,3.1766666666666667
1997,3,19,3.1766666666666667
1997,3,20,3.21
1997,3,21,3.466666666666667
1997,3,22,3.61
1997,3,23,3.373125
1997,3,24,3.236666666666667
1997,3,25,3.33
1997,3,26,3.5441666666666665
1997,3,27,3.6402083333333333
1997,3,28,3.7325
1997,3,29,3.8433333333333333
1997,3,30,3.9766666666666666
1997,3,31,4.719791666666667
1997,4,1,3.9360416666666667
1997,4,2,3.776666666666667
1997,4,3,3.9291666666666667
1997,4,4,4.040625
1997,4,5,4.456041666666667
1997,4,6,4.424375
1997,4,7,4.405208333333333
1997,4,8,4.263333333333334
1997,4,9,4.246666666666667
1997,4,10,4.0164583333333335
1997,4,11,4.106041666666667
1997,4,12,4.390833333333333
1997,4,13,4.569166666666667
1997,4,14,4.600208333333333
1997,4,15,4.83125
1997,4,16,4.868333333333333
1997,4,17,4.781666666666666
1997,4,18,5.3777083333333335
1997,4,19,5.662708333333333
1997,4,20,5.695
1997,4,21,5.833958333333333
1997,4,22,6.0877083333333335
1997,4,23,6.429583333333333
1997,4,24,7.138333333333334
1997,4,25,6.772916666666667
1997,4,26,6.858125
1997,4,27,7.1379166666666665
1997,4,28,7.020625
1997,4,29,7.238541666666666
1997,4,30,6.768541666666667
1997,5,1,5.829583333333334
1997,5,2,5.255208333333333
1997,5,3,5.971041666666666
1997,5,4,5.9852083333333335
1997,5,5,6.60625
1997,5,6,6.182708333333333
1997,5,7,5.249583333333333
1997,5,8,5.365833333333334
1997,5,9,5.774583333333333
1997,5,10,6.214166666666666
1997,5,11,6.258958333333333
1997,5,12,6.439583333333333
1997,5,13,5.669583333333334
1997,5,14,6.445625
1997,5,15,5.860416666666667
1997,5,16,5.461458333333333
1997,5,17,5.023333333333333
1997,5,18,5.214166666666666
1997,5,19,5.645
1997,5,20,6.070625
1997,5,21,6.57625
1997,5,22,5.8575
1997,5,23,6.257916666666667
1997,5,24,8.061666666666667
1997,5,25,8.3185416666666665
1997,5,26,8.335
1997,5,27,9.171041666666667
1997,5,28,9.554166666666667
1997,5,29,9.03125
1997,5,30,8.6502083333333335
1997,5,31,8.424166666666666
1997,6,1,9.274166666666666
1997,6,2,11.234583333333333
1997,6,3,11.18125
1997,6,4,11.359583333333333
1997,6,5,11.719166666666666
1997,6,6,11.947083333333333
1997,6,7,12.080208333333333
1997,6,8,12.227083333333333
1997,6,9,12.135833333333334
1997,6,10,11.219375
1997,6,11,10.910208333333333
1997,6,12,11.229375
1997,6,13,12.192708333333334
1997,6,14,11.845
1997,6,15,14.081458333333334
1997,6,16,13.767916666666666
1997,6,17,13.054375
1997,6,18,12.699166666666667
1997,6,19,12.774166666666666
1997,6,20,13.404583333333333
1997,6,21,13.042083333333334
1997,6,22,9.893125
1997,6,23,10.045416666666666
1997,6,24,9.742291666666667
