Date,YY,MM,DD,SHI_Tidbit,pred_via_HRI,pred_via_HRO,pred_via_DB,pred_via_44029_20m,pred_via_44013,pred_via_44098,pred_via_44005,pred_via_OISST,pred_via_44029_2m,pred_via_SHO,final_value
1979-01-01,1979,1,1,NA,NA,NA,NA,NA,NA,NA,4.389112916234319,NA,NA,NA,4.389112916234319
1979-01-02,1979,1,2,NA,NA,NA,NA,NA,NA,NA,4.584833122858473,NA,NA,NA,4.584833122858473
1979-01-03,1979,1,3,NA,NA,NA,NA,NA,NA,NA,4.425810454792861,NA,NA,NA,4.425810454792861
1979-01-04,1979,1,4,NA,NA,NA,NA,NA,NA,NA,4.261351062699768,NA,NA,NA,4.261351062699768
1979-01-05,1979,1,5,NA,NA,NA,NA,NA,NA,NA,4.283097804190579,NA,NA,NA,4.283097804190579
1979-01-06,1979,1,6,NA,NA,NA,NA,NA,NA,NA,4.022137061898569,NA,NA,NA,4.022137061898569
1979-01-07,1979,1,7,NA,NA,NA,NA,NA,NA,NA,4.022137061898569,NA,NA,NA,4.022137061898569
1979-01-08,1979,1,8,NA,NA,NA,NA,NA,NA,NA,4.168927450018604,NA,NA,NA,4.168927450018604
1979-01-09,1979,1,9,NA,NA,NA,NA,NA,NA,NA,4.11999728117498,NA,NA,NA,4.11999728117498
1979-01-10,1979,1,10,NA,NA,NA,NA,NA,NA,NA,3.924276958097192,NA,NA,NA,3.924276958097192
1979-01-11,1979,1,11,NA,NA,NA,NA,NA,NA,NA,3.85088188098011,NA,NA,NA,3.85088188098011
1979-01-12,1979,1,12,NA,NA,NA,NA,NA,NA,NA,3.789719315737274,NA,NA,NA,3.789719315737274
1979-01-13,1979,1,13,NA,NA,NA,NA,NA,NA,NA,3.789719257999758,NA,NA,NA,3.789719257999758
1979-01-14,1979,1,14,NA,NA,NA,NA,NA,NA,NA,3.8753469066858037,NA,NA,NA,3.8753469066858037
1979-01-15,1979,1,15,NA,NA,NA,NA,NA,NA,NA,3.8019518285901213,NA,NA,NA,3.8019518285901213
1979-01-16,1979,1,16,NA,NA,NA,NA,NA,NA,NA,3.7163241799040745,NA,NA,NA,3.7163241799040745
1979-01-17,1979,1,17,NA,NA,NA,NA,NA,NA,NA,3.6429288111636065,NA,NA,NA,3.6429288111636065
1979-01-18,1979,1,18,NA,NA,NA,NA,NA,NA,NA,3.6673938368693,NA,NA,NA,3.6673938368693
1979-01-19,1979,1,19,NA,NA,NA,NA,NA,NA,NA,3.7937968203477577,NA,NA,NA,3.7937968203477577
1979-01-20,1979,1,20,NA,NA,NA,NA,NA,NA,NA,3.6673938368693,NA,NA,NA,3.6673938368693
1979-01-21,1979,1,21,NA,NA,NA,NA,NA,NA,NA,3.7897191992836397,NA,NA,NA,3.7897191992836397
1979-01-22,1979,1,22,NA,NA,NA,NA,NA,NA,NA,3.948741983802886,NA,NA,NA,3.948741983802886
1979-01-23,1979,1,23,NA,NA,NA,NA,NA,NA,NA,3.840396869404183,NA,NA,NA,3.840396869404183
1979-01-24,1979,1,24,NA,NA,NA,NA,NA,NA,NA,3.789719315737274,NA,NA,NA,3.789719315737274
1979-01-25,1979,1,25,NA,NA,NA,NA,NA,NA,NA,3.865560895816366,NA,NA,NA,3.865560895816366
1979-01-26,1979,1,26,NA,NA,NA,NA,NA,NA,NA,3.985439522361427,NA,NA,NA,3.985439522361427
1979-01-27,1979,1,27,NA,NA,NA,NA,NA,NA,NA,4.0710671720260745,NA,NA,NA,4.0710671720260745
1979-01-28,1979,1,28,NA,NA,NA,NA,NA,NA,NA,4.034369574751416,NA,NA,NA,4.034369574751416
1979-01-29,1979,1,29,NA,NA,NA,NA,NA,NA,NA,4.095532255469285,NA,NA,NA,4.095532255469285
1979-01-30,1979,1,30,NA,NA,NA,NA,NA,NA,NA,4.095532139015651,NA,NA,NA,4.095532139015651
1979-01-31,1979,1,31,NA,NA,NA,NA,NA,NA,NA,4.132229736290309,NA,NA,NA,4.132229736290309
1979-02-01,1979,2,1,NA,NA,NA,NA,NA,NA,NA,3.743531217515213,NA,NA,NA,3.743531217515213
1979-02-02,1979,2,2,NA,NA,NA,NA,NA,NA,NA,3.6030990405777863,NA,NA,NA,3.6030990405777863
1979-02-03,1979,2,3,NA,NA,NA,NA,NA,NA,NA,3.48139119274537,NA,NA,NA,3.48139119274537
1979-02-04,1979,2,4,NA,NA,NA,NA,NA,NA,NA,3.490753334828711,NA,NA,NA,3.490753334828711
1979-02-05,1979,2,5,NA,NA,NA,NA,NA,NA,NA,3.453304766495344,NA,NA,NA,3.453304766495344
1979-02-06,1979,2,6,NA,NA,NA,NA,NA,NA,NA,3.490753334828711,NA,NA,NA,3.490753334828711
1979-02-07,1979,2,7,NA,NA,NA,NA,NA,NA,NA,3.4158560191576477,NA,NA,NA,3.4158560191576477
1979-02-08,1979,2,8,NA,NA,NA,NA,NA,NA,NA,3.3222344193199,NA,NA,NA,3.3222344193199
1979-02-09,1979,2,9,NA,NA,NA,NA,NA,NA,NA,3.266061566070878,NA,NA,NA,3.266061566070878
1979-02-10,1979,2,10,NA,NA,NA,NA,NA,NA,NA,3.2286129977375095,NA,NA,NA,3.2286129977375095
1979-02-11,1979,2,11,NA,NA,NA,NA,NA,NA,NA,3.097542918694072,NA,NA,NA,3.097542918694072
