YY,mean
1979,NA
1980,NA
1981,NA
1982,12.253536333837186
1983,12.613464317269997
1984,12.277326616036152
1985,12.343303370007561
1986,12.194456393872057
1987,12.538381737578344
1988,12.06895348264241
1989,12.584715299585428
1990,12.606258307362287
1991,12.708522891312318
1992,11.6458644852212
1993,12.253580316431428
1994,12.351510670248366
1995,12.54270139864931
1996,12.339981574728142
1997,13.368732923497268
1998,10.869969262295083
1999,12.070888235428418
2000,13.537968301235274
2001,11.028624970301735
2002,13.102156388240632
2003,11.73905959071009
2004,12.477869695384257
2005,11.592087542889821
2006,12.556998118479363
2007,12.397544577944029
2008,13.726190232240437
2009,14.36683428293205
2010,12.792015919982177
2011,13.906217725409835
2012,12.473535020002009
2013,14.027043802745226
2014,13.18708409401391
2015,14.702060581706899
2016,14.968394841706687
2017,13.257137171975067
2018,14.562282865880945
2019,13.328025682175
2020,14.109215195133485
2021,16.945364040119546
2022,14.089179917599706
