YY,MM,DD,AverageTemp
1999,6,3,7.65729166675
1999,6,4,7.772916666666666
1999,6,5,8.079166666666667
1999,6,6,8.702916666666667
1999,6,7,7.756666666666667
1999,6,8,7.238125
1999,6,9,9.255625
1999,6,10,10.7225
1999,6,11,11.317708333333334
1999,6,12,11.86375
1999,6,13,12.34125
1999,6,14,12.225208333333333
1999,6,15,10.774375
1999,6,16,11.687291666666667
1999,6,17,12.873541666666666
1999,6,18,12.132083333333334
1999,6,19,12.708125
1999,6,20,12.796875
1999,6,21,11.307083333333333
1999,6,22,11.200208333333332
1999,6,23,11.695
1999,6,24,12.073125
1999,6,25,10.705625
1999,6,26,10.033125
1999,6,27,10.268958333333334
1999,6,28,10.758750000000001
1999,6,29,10.17625
1999,6,30,9.771875
1999,7,1,10.473333333333333
1999,7,2,9.14125
1999,7,3,8.641875
1999,7,4,8.458333333333334
1999,7,5,9.170208333333333
1999,7,6,9.283958333333333
1999,7,7,9.981875
1999,7,8,9.4125
1999,7,9,10.178958333333334
1999,7,10,10.059166666666666
1999,7,11,10.115208333333333
1999,7,12,11.023333333333333
1999,7,13,12.128125
1999,7,14,12.3325
1999,7,15,11.547083333333333
1999,7,16,11.210208333333334
1999,7,17,10.424375
1999,7,18,9.861458333333333
1999,7,19,9.755416666666667
1999,7,20,10.946666666666667
1999,7,21,12.205416666666666
1999,7,22,11.464583333333334
1999,7,23,9.933125
1999,7,24,9.489791666666667
1999,7,25,10.110625
1999,7,26,10.208541666666667
1999,7,27,11.071041666666666
1999,7,28,11.249791666666667
1999,7,29,11.52
1999,7,30,12.409375
1999,7,31,12.115416666666667
1999,8,1,11.048958333333333
1999,8,2,10.862083333333333
1999,8,3,11.199375
1999,8,4,11.165416666666667
1999,8,5,10.92375
1999,8,6,10.985833333333334
1999,8,7,10.823958333333334
1999,8,8,10.088333333333333
1999,8,9,11.956875
1999,8,10,11.4425
1999,8,11,12.709166666666667
1999,8,12,12.619375
1999,8,13,12.40375
1999,8,14,11.27875
1999,8,15,12.304791666666667
1999,8,16,13.0875
1999,8,17,12.286666666666667
1999,8,18,11.062291666666667
1999,8,19,11.578125
1999,8,20,13.549583333333333
1999,8,21,15.535833333333333
1999,8,22,16.94
1999,8,23,16.826666666666668
1999,12,27,4.246666666666667
1999,12,28,4.95875
1999,12,29,4.49
1999,12,30,3.7291666666666665
1999,12,31,4.008541666666667
2000,1,1,4.298541666666667
2000,1,2,4.573333333333333
2000,1,3,4.859375
2000,1,4,5.292708333333334
2000,1,5,5.51125
2000,1,6,5.257916666666667
2000,1,7,5.18
2000,1,8,5.029583333333333
2000,1,9,4.912708333333333
2000,1,10,5.0564583333333335
2000,1,11,5.269791666666666
2000,1,12,5.367083333333333
2000,1,13,5.121458333333333
2000,1,14,3.8564583333333333
2000,1,15,3.67875
2000,1,16,3.5772916666666665
2000,1,17,2.9658333333333333
2000,1,18,3.2114583333333333
2000,1,19,3.1902083333333335
2000,1,20,2.94125
2000,1,21,2.2845833333333334
2000,1,22,1.2429166666666667
2000,1,23,1.585
2000,1,24,2.3095833333333333
