Date,YY,MM,DD,SHO_Tidbit,pred_via_HRI,pred_via_HRO,pred_via_DB,pred_via_44029_20m,pred_via_44013,pred_via_44098,pred_via_44005,pred_via_OISST,pred_via_SHI,pred_via_44029_2m,final_value
1979-01-01,1979,1,1,NA,NA,NA,NA,NA,NA,NA,4.54256217706468,NA,NA,NA,4.54256217706468
1979-01-02,1979,1,2,NA,NA,NA,NA,NA,NA,NA,4.78040334011089,NA,NA,NA,4.78040334011089
1979-01-03,1979,1,3,NA,NA,NA,NA,NA,NA,NA,4.587157394912868,NA,NA,NA,4.587157394912868
1979-01-04,1979,1,4,NA,NA,NA,NA,NA,NA,NA,4.387304688010673,NA,NA,NA,4.387304688010673
1979-01-05,1979,1,5,NA,NA,NA,NA,NA,NA,NA,4.413731546932667,NA,NA,NA,4.413731546932667
1979-01-06,1979,1,6,NA,NA,NA,NA,NA,NA,NA,4.0966094289526715,NA,NA,NA,4.0966094289526715
1979-01-07,1979,1,7,NA,NA,NA,NA,NA,NA,NA,4.0966094289526715,NA,NA,NA,4.0966094289526715
1979-01-08,1979,1,8,NA,NA,NA,NA,NA,NA,NA,4.274990584565884,NA,NA,NA,4.274990584565884
1979-01-09,1979,1,9,NA,NA,NA,NA,NA,NA,NA,4.2155301513968,NA,NA,NA,4.2155301513968
1979-01-10,1979,1,10,NA,NA,NA,NA,NA,NA,NA,3.9776888468349623,NA,NA,NA,3.9776888468349623
1979-01-11,1979,1,11,NA,NA,NA,NA,NA,NA,NA,3.888498411138586,NA,NA,NA,3.888498411138586
1979-01-12,1979,1,12,NA,NA,NA,NA,NA,NA,NA,3.8141730468690667,NA,NA,NA,3.8141730468690667
1979-01-13,1979,1,13,NA,NA,NA,NA,NA,NA,NA,3.8141729767058554,NA,NA,NA,3.8141729767058554
1979-01-14,1979,1,14,NA,NA,NA,NA,NA,NA,NA,3.9182285563707118,NA,NA,NA,3.9182285563707118
1979-01-15,1979,1,15,NA,NA,NA,NA,NA,NA,NA,3.8290381194851286,NA,NA,NA,3.8290381194851286
1979-01-16,1979,1,16,NA,NA,NA,NA,NA,NA,NA,3.724982539820273,NA,NA,NA,3.724982539820273
1979-01-17,1979,1,17,NA,NA,NA,NA,NA,NA,NA,3.6357917497402252,NA,NA,NA,3.6357917497402252
1979-01-18,1979,1,18,NA,NA,NA,NA,NA,NA,NA,3.665521894972351,NA,NA,NA,3.665521894972351
1979-01-19,1979,1,19,NA,NA,NA,NA,NA,NA,NA,3.8191280714708236,NA,NA,NA,3.8191280714708236
1979-01-20,1979,1,20,NA,NA,NA,NA,NA,NA,NA,3.665521894972351,NA,NA,NA,3.665521894972351
1979-01-21,1979,1,21,NA,NA,NA,NA,NA,NA,NA,3.814172905353439,NA,NA,NA,3.814172905353439
1979-01-22,1979,1,22,NA,NA,NA,NA,NA,NA,NA,4.0074189920670875,NA,NA,NA,4.0074189920670875
1979-01-23,1979,1,23,NA,NA,NA,NA,NA,NA,NA,3.8757569196452715,NA,NA,NA,3.8757569196452715
1979-01-24,1979,1,24,NA,NA,NA,NA,NA,NA,NA,3.8141730468690667,NA,NA,NA,3.8141730468690667
1979-01-25,1979,1,25,NA,NA,NA,NA,NA,NA,NA,3.9063364975643373,NA,NA,NA,3.9063364975643373
1979-01-26,1979,1,26,NA,NA,NA,NA,NA,NA,NA,4.052014209915276,NA,NA,NA,4.052014209915276
1979-01-27,1979,1,27,NA,NA,NA,NA,NA,NA,NA,4.1560697907693385,NA,NA,NA,4.1560697907693385
1979-01-28,1979,1,28,NA,NA,NA,NA,NA,NA,NA,4.111474501568733,NA,NA,NA,4.111474501568733
1979-01-29,1979,1,29,NA,NA,NA,NA,NA,NA,NA,4.1858000061646745,NA,NA,NA,4.1858000061646745
1979-01-30,1979,1,30,NA,NA,NA,NA,NA,NA,NA,4.185799864649047,NA,NA,NA,4.185799864649047
