YY,mean
1979,NA
1980,NA
1981,NA
1982,11.99402691744535
1983,12.250421674890493
1984,12.016056992472532
1985,12.148885549258004
1986,11.993359481590524
1987,12.191934426544412
1988,11.971836165927943
1989,12.238578092525145
1990,12.306387645651402
1991,12.267177501070204
1992,11.734452866167251
1993,12.03454632401969
1994,12.097011616319056
1995,12.197558178316529
1996,12.099951656868493
1997,12.541859550275667
1998,10.24928717373156
1999,11.286508020178664
2000,13.224338402048492
2001,10.411578551912568
2002,12.595069913173369
2003,10.876364339902336
2004,11.790302120907498
2005,10.96813381240025
2006,12.36643873860533
2007,11.413071283101921
2008,12.759685792349726
2009,13.6229081284153
2010,11.728864159874236
2011,12.881821892076502
2012,11.7252667467091
2013,13.045283318156704
2014,12.11102691519546
2015,13.69988327655264
2016,14.168503244535518
2017,12.511990604241989
2018,13.76689529555592
2019,12.706532202323434
2020,13.342474837263117
2021,16.022211648572522
2022,13.204573663207144
